station_id,station_name,year,month,profiles_total,profiles_good,profiles_with_inversion,mean_delta_t_top_surface_c,mean_inversion_delta_t_c
31004,Aldan,1999,10,22,21,10,-8.771,28.41
31004,Aldan,1999,11,18,18,12,-5.2,20.067
31004,Aldan,1999,12,20,19,12,-12.589,12.367
31004,Aldan,2000,1,23,21,20,-8.086,10.15
31004,Aldan,2000,2,29,28,22,-7.179,12.409
31004,Aldan,2000,3,22,21,15,-20.79,4.427
31004,Aldan,2000,4,19,18,6,-20.756,26.583
31004,Aldan,2000,5,38,37,21,-4.114,49.767
31004,Aldan,2000,6,33,31,16,-3.958,58.794
31004,Aldan,2000,7,31,28,11,-11.611,57.0
31004,Aldan,2000,8,31,27,14,-14.752,33.621
31004,Aldan,2000,9,30,28,17,-7.439,29.953
31004,Aldan,2000,10,31,31,10,-23.819,5.4
31004,Aldan,2000,11,30,30,14,-15.74,6.129
31004,Aldan,2000,12,32,30,23,-7.207,6.93
31004,Aldan,2001,1,31,30,20,-11.067,8.07
31004,Aldan,2001,2,28,27,15,-16.304,2.933
31004,Aldan,2001,3,28,26,15,-21.846,3.56
31004,Aldan,2001,4,29,29,8,-20.79,23.5
31004,Aldan,2001,5,61,61,21,-16.754,40.652
31004,Aldan,2001,6,58,57,29,-6.298,48.445
31004,Aldan,2001,7,61,59,24,-11.778,47.992
31004,Aldan,2001,8,47,46,21,-17.404,23.781
31004,Aldan,2001,9,57,57,13,-27.137,5.946
31004,Aldan,2001,10,62,61,20,-21.439,10.325
31004,Aldan,2001,11,60,60,17,-17.287,7.776
31004,Aldan,2001,12,62,62,35,-13.839,5.686
31004,Aldan,2002,1,61,61,28,-16.17,9.457
31004,Aldan,2002,2,56,54,21,-19.226,5.59
31004,Aldan,2002,3,56,54,26,-18.448,12.815
31004,Aldan,2002,4,57,55,22,-19.673,23.841
31004,Aldan,2002,5,61,61,12,-20.221,48.608
31004,Aldan,2002,6,59,57,8,-29.632,24.588
31004,Aldan,2002,7,46,44,10,-27.65,13.72
31004,Aldan,2002,8,62,61,37,-9.839,31.786
31004,Aldan,2002,9,59,59,31,-8.876,35.606
31004,Aldan,2002,10,62,62,31,-2.784,30.197
31004,Aldan,2002,11,60,60,26,-12.19,11.2
31004,Aldan,2002,12,62,62,29,-12.168,6.255
31004,Aldan,2003,1,62,62,44,-9.635,8.491
31004,Aldan,2003,2,55,55,39,-13.353,9.226
31004,Aldan,2003,3,62,61,35,-18.651,13.651
31004,Aldan,2003,4,52,51,9,-29.7,5.578
31004,Aldan,2003,5,47,46,8,-22.72,37.575
31004,Aldan,2003,6,59,59,23,-11.181,49.748
31004,Aldan,2003,7,61,61,25,-8.09,51.708
31004,Aldan,2003,8,58,57,23,-12.146,42.048
31004,Aldan,2003,9,57,56,29,-12.759,30.441
31004,Aldan,2003,10,36,36,13,-15.586,19.554
31004,Aldan,2003,11,30,30,24,-6.207,13.433
31004,Aldan,2003,12,31,31,15,-14.877,6.96
31004,Aldan,2004,1,31,30,21,-13.067,7.419
31004,Aldan,2004,2,27,26,15,-10.754,8.933
31004,Aldan,2004,3,30,30,13,-16.02,10.708
31004,Aldan,2004,4,29,29,13,-14.455,34.223
31004,Aldan,2004,5,31,31,13,-9.458,45.362
31004,Aldan,2004,6,29,28,15,-5.85,43.747
31004,Aldan,2004,7,30,30,13,-4.77,56.146
31004,Aldan,2004,8,31,31,19,1.571,47.905
31004,Aldan,2004,9,28,28,13,-11.339,32.369
31004,Aldan,2004,10,30,29,19,-15.979,11.711
31004,Aldan,2004,11,30,29,8,-15.921,15.788
31004,Aldan,2004,12,32,32,24,-9.25,10.192
31004,Aldan,2005,1,62,61,31,-10.42,9.748
31004,Aldan,2005,2,56,55,38,-9.287,7.4
31004,Aldan,2005,3,61,59,39,-15.234,11.692
31004,Aldan,2005,4,59,58,12,-27.541,5.217
31004,Aldan,2005,5,61,60,1,-31.348,1.0
31004,Aldan,2005,6,60,56,7,-30.954,1.029
31004,Aldan,2005,7,47,42,4,-29.629,1.6
31004,Aldan,2005,8,61,59,14,-25.885,2.257
31004,Aldan,2005,9,60,60,31,-27.23,2.677
31004,Aldan,2005,10,62,59,18,-25.12,2.067
31004,Aldan,2005,11,59,58,31,-17.703,5.394
31004,Aldan,2005,12,62,61,43,-8.148,8.265
31004,Aldan,2006,1,62,62,48,-9.635,8.388
31004,Aldan,2006,2,56,54,35,-14.707,3.269
31004,Aldan,2006,3,61,57,45,-21.786,2.916
31004,Aldan,2006,4,60,57,11,-28.644,1.136
31004,Aldan,2006,5,62,59,1,-30.019,0.8
31004,Aldan,2006,6,60,59,9,-29.99,7.078
31004,Aldan,2006,7,61,61,19,-30.097,1.442
31004,Aldan,2006,8,61,61,37,-28.043,1.635
31004,Aldan,2006,9,60,60,35,-26.7,3.66
31004,Aldan,2006,10,61,59,24,-21.91,4.363
31004,Aldan,2006,11,60,60,28,-11.193,10.171
31004,Aldan,2006,12,62,61,24,-17.036,4.192
31004,Aldan,2007,1,62,62,29,-17.703,5.952
31004,Aldan,2007,2,56,56,46,-15.329,5.078
31004,Aldan,2007,3,61,61,41,-20.039,4.615
31004,Aldan,2007,4,37,37,14,-24.538,10.214
31004,Aldan,2007,5,59,59,10,-30.051,1.1
31004,Aldan,2007,6,60,60,5,-30.973,1.96
31004,Aldan,2007,7,62,62,7,-27.556,10.557
31004,Aldan,2007,8,62,60,17,-23.297,14.788
31004,Aldan,2007,9,60,60,36,-13.95,23.556
31004,Aldan,2007,10,62,62,21,-20.939,12.771
31004,Aldan,2007,11,60,60,21,-11.45,21.019
31004,Aldan,2007,12,61,59,32,-12.786,9.3
31004,Aldan,2008,1,62,60,29,-13.047,7.841
31004,Aldan,2008,2,58,57,40,-15.849,6.49
31004,Aldan,2008,3,62,61,36,-15.431,14.828
31004,Aldan,2008,4,58,56,14,-21.882,22.071
31004,Aldan,2008,5,59,59,14,-18.251,55.871
31004,Aldan,2008,6,60,60,24,-10.065,54.258
31004,Aldan,2008,7,62,60,10,-23.762,32.37
31004,Aldan,2008,8,61,58,28,-7.555,40.107
31004,Aldan,2008,9,60,59,31,-14.697,20.152
31004,Aldan,2008,10,61,61,30,-9.708,31.487
31004,Aldan,2008,11,60,60,33,-15.87,7.758
31004,Aldan,2008,12,62,61,41,-11.249,5.941
31004,Aldan,2009,1,62,61,39,-11.934,8.974
31004,Aldan,2009,2,56,53,38,-11.275,7.284
31004,Aldan,2009,3,62,61,32,-15.518,13.091
31004,Aldan,2009,4,59,59,18,-19.11,36.556
31004,Aldan,2009,5,60,60,5,-29.278,9.62
31004,Aldan,2009,6,60,59,16,-17.161,55.3
31004,Aldan,2009,7,61,61,13,-18.385,58.631
31004,Aldan,2009,8,61,59,18,-23.395,15.789
31004,Aldan,2009,9,60,60,35,-14.603,23.166
31004,Aldan,2009,10,62,62,34,-9.45,26.756
31004,Aldan,2009,11,60,60,37,-6.537,19.141
31004,Aldan,2009,12,62,62,40,-2.968,13.185
31004,Aldan,2010,1,62,61,34,-8.105,12.441
31004,Aldan,2010,2,56,56,30,-13.968,6.387
31004,Aldan,2010,3,62,62,38,-15.7,9.458
31004,Aldan,2010,4,60,60,20,-18.228,25.585
31004,Aldan,2010,5,62,62,36,2.75,56.667
31004,Aldan,2010,6,59,59,40,11.041,57.63
31004,Aldan,2010,7,60,60,36,6.685,59.65
31004,Aldan,2010,8,62,62,26,-18.002,25.488
31004,Aldan,2010,9,60,60,35,-3.555,39.183
31004,Aldan,2010,10,62,62,49,4.082,36.314
31004,Aldan,2010,11,60,60,35,-7.957,20.949
31004,Aldan,2010,12,62,62,42,-4.168,10.481
31004,Aldan,2011,1,62,61,34,-4.974,14.206
31004,Aldan,2011,2,56,56,36,-6.904,16.772
31004,Aldan,2011,3,62,62,43,-9.273,21.467
31004,Aldan,2011,4,60,58,52,6.219,38.46
31004,Aldan,2011,5,62,62,35,-2.323,51.589
31004,Aldan,2011,6,60,59,45,12.964,59.618
31004,Aldan,2011,7,62,62,48,18.25,63.679
31004,Aldan,2011,8,61,61,51,21.92,59.653
31004,Aldan,2011,9,60,60,37,3.917,46.132
31004,Aldan,2011,10,62,62,34,-0.344,42.871
31004,Aldan,2011,11,60,60,43,-2.607,22.991
31004,Aldan,2011,12,62,62,47,-3.513,14.74
31004,Aldan,2012,1,62,62,46,-6.765,13.787
31004,Aldan,2012,2,58,58,35,-8.538,12.783
31004,Aldan,2012,3,62,62,50,-12.171,13.284
31004,Aldan,2012,4,60,60,27,-9.503,35.489
31004,Aldan,2012,5,62,62,27,-7.218,49.141
31004,Aldan,2012,6,59,59,31,-6.568,44.694
31004,Aldan,2012,7,59,59,34,2.173,54.15
31004,Aldan,2012,8,61,61,41,8.048,51.276
31004,Aldan,2012,9,60,60,43,1.38,38.167
31004,Aldan,2012,10,61,61,22,-9.644,26.786
31004,Aldan,2012,11,58,58,36,-10.459,10.622
31004,Aldan,2012,12,62,61,32,-9.036,9.556
31004,Aldan,2013,1,62,62,51,-10.555,6.753
31004,Aldan,2013,2,56,56,39,-15.011,5.031
31004,Aldan,2013,3,62,61,37,-13.161,11.714
31004,Aldan,2013,4,60,60,36,-5.447,34.672
31004,Aldan,2013,5,62,61,40,6.351,54.525
31004,Aldan,2013,6,59,58,46,16.686,60.539
31004,Aldan,2013,7,62,59,26,-2.276,56.465
31004,Aldan,2013,8,62,59,47,19.314,56.351
31004,Aldan,2013,9,59,59,46,13.385,50.857
31004,Aldan,2013,10,62,60,49,7.418,35.01
31004,Aldan,2013,11,60,58,47,6.834,33.281
31004,Aldan,2013,12,62,62,49,7.168,32.065
31004,Aldan,2014,1,62,59,43,-8.458,10.502
