profile_id,station_id,station_name,datetime_utc,year,month,cycle,n_levels_total,n_levels_to_500,p_surface_hpa,t_surface_c,p_top_hpa,t_top_c,delta_t_top_surface_c,inversion_detected,inversion_top_pressure_hpa,inversion_top_height_m,inversion_top_temp_c,inversion_delta_t_c,profile_status,source_file
31004_19991002_1200_12,31004,Aldan,1999-10-02T12:00:00,1999,10,12,40.0,9.0,935.0,-3.099999999999966,500.0,-33.69999999999999,-30.600000000000023,False,,,,,good,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr
31004_19991007_1200_12,31004,Aldan,1999-10-07T12:00:00,1999,10,12,36.0,10.0,925.0,-5.099999999999966,500.0,-23.69999999999999,-18.600000000000023,False,,,,,good,gdex_data\raw\1999\gdas.adpupa.t12z.19991007.bufr
31004_19991009_1200_12,31004,Aldan,1999-10-09T12:00:00,1999,10,12,39.0,11.0,921.0,2.2000000000000455,500.0,-25.299999999999983,-27.50000000000003,False,,,,,good,gdex_data\raw\1999\gdas.adpupa.t12z.19991009.bufr
31004_19991004_1200_12,31004,Aldan,1999-10-04T12:00:00,1999,10,12,61.0,11.0,1000.0,-45.49999999999997,500.0,-28.69999999999999,16.799999999999983,True,928.0,708.6,-7.2999999999999545,38.20000000000002,good,gdex_data\raw\1999\gdas.adpupa.t12z.19991004.bufr
31004_19991003_1200_12,31004,Aldan,1999-10-03T12:00:00,1999,10,12,35.0,8.0,930.0,-2.5,500.0,-28.099999999999966,-25.599999999999966,False,,,,,good,gdex_data\raw\1999\gdas.adpupa.t12z.19991003.bufr
31004_19991008_1200_12,31004,Aldan,1999-10-08T12:00:00,1999,10,12,60.0,13.0,1000.0,-47.29999999999998,500.0,-23.49999999999997,23.80000000000001,True,922.0,679.8,3.2000000000000455,50.50000000000003,good,gdex_data\raw\1999\gdas.adpupa.t12z.19991008.bufr
31004_19991005_1200_12,31004,Aldan,1999-10-05T12:00:00,1999,10,12,56.0,9.0,935.0,-15.699999999999989,500.0,-31.299999999999983,-15.599999999999994,True,920.0,697.9,-10.5,5.199999999999989,good,gdex_data\raw\1999\gdas.adpupa.t12z.19991005.bufr
31004_19991006_1200_12,31004,Aldan,1999-10-06T12:00:00,1999,10,12,69.0,13.0,1000.0,-47.69999999999999,500.0,-30.099999999999966,17.600000000000023,True,915.0,743.1,-8.5,39.19999999999999,good,gdex_data\raw\1999\gdas.adpupa.t12z.19991006.bufr
31004_19991014_1200_12,31004,Aldan,1999-10-14T12:00:00,1999,10,12,54.0,12.0,938.0,-14.699999999999989,500.0,-38.69999999999999,-24.0,False,,,,,good,gdex_data\raw\1999\gdas.adpupa.t12z.19991014.bufr
31004_19991016_1200_12,31004,Aldan,1999-10-16T12:00:00,1999,10,12,55.0,12.0,990.0,-53.29999999999998,500.0,-30.099999999999966,23.200000000000017,True,933.0,581.2,-11.299999999999955,42.00000000000003,good,gdex_data\raw\1999\gdas.adpupa.t12z.19991016.bufr
31004_19991013_1200_12,31004,Aldan,1999-10-13T12:00:00,1999,10,12,50.0,9.0,934.0,-14.099999999999966,500.0,-33.29999999999998,-19.200000000000017,False,,,,,good,gdex_data\raw\1999\gdas.adpupa.t12z.19991013.bufr
31004_19991018_1200_12,31004,Aldan,1999-10-18T12:00:00,1999,10,12,56.0,9.0,1000.0,-51.89999999999998,500.0,-30.099999999999966,21.80000000000001,True,921.0,1247.1,-1.5,50.39999999999998,good,gdex_data\raw\1999\gdas.adpupa.t12z.19991018.bufr
31004_19991015_1200_12,31004,Aldan,1999-10-15T12:00:00,1999,10,12,23.0,5.0,1000.0,-55.29999999999998,580.0,-45.69999999999999,9.599999999999994,True,920.0,697.9,-49.89999999999998,5.400000000000006,no_500,gdex_data\raw\1999\gdas.adpupa.t12z.19991015.bufr
31004_19991017_1200_12,31004,Aldan,1999-10-17T12:00:00,1999,10,12,39.0,9.0,926.0,-9.899999999999977,500.0,-29.49999999999997,-19.599999999999994,False,,,,,good,gdex_data\raw\1999\gdas.adpupa.t12z.19991017.bufr
31004_19991022_1200_12,31004,Aldan,1999-10-22T12:00:00,1999,10,12,65.0,16.0,1000.0,-55.49999999999997,500.0,-22.099999999999966,33.400000000000006,True,901.0,870.8,-6.099999999999966,49.400000000000006,good,gdex_data\raw\1999\gdas.adpupa.t12z.19991022.bufr
31004_19991113_1200_12,31004,Aldan,1999-11-13T12:00:00,1999,11,12,51.0,9.0,944.0,-24.49999999999997,500.0,-39.099999999999966,-14.599999999999994,True,929.0,862.1,-23.49999999999997,1.0,good,gdex_data\raw\1999\gdas.adpupa.t12z.19991113.bufr
31004_19991115_1200_12,31004,Aldan,1999-11-15T12:00:00,1999,11,12,56.0,13.0,1000.0,-60.49999999999997,500.0,-35.49999999999997,25.0,True,945.0,474.7,-18.099999999999966,42.400000000000006,good,gdex_data\raw\1999\gdas.adpupa.t12z.19991115.bufr
31004_19991116_1200_12,31004,Aldan,1999-11-16T12:00:00,1999,11,12,55.0,10.0,935.0,-12.699999999999989,500.0,-31.69999999999999,-19.0,False,,,,,good,gdex_data\raw\1999\gdas.adpupa.t12z.19991116.bufr
