profile_id,station_name,source_file,station_id,subset_index,report_datetime_utc,data_status,REC,OBS,REPORT TIME,WMO/STATION/SATELLITE ID,LATI-,LONGI-,STN,SEQ,VSIG,PRES,GEOPOT,FLVL,AIR,DEW-,REL,WIND,WIND.1,replication_index,pressure_hpa,geopotential_height_m,height_010009_m,height_007007_m,height_bufr_m,height_phi_m,height_decoded_m,height_msl_m,height_msl_source,height_agl_m,station_elevation_m,below_station,in_working_profile,qc_flag,geopotential_m2s2,air_temperature_c,dew_point_temperature_c,wind_direction_deg,wind_speed,relative_humidity_percent,vertical_significance_code,VSIG_fxy,VSIG_unit,VSIG_kind,PRES_fxy,PRES_unit,PRES_kind,GEOPOT_fxy,GEOPOT_unit,GEOPOT_kind,FLVL_fxy,FLVL_unit,FLVL_kind,AIR_fxy,AIR_unit,AIR_kind,DEW-_fxy,DEW-_unit,DEW-_kind,REL_fxy,REL_unit,REL_kind,WIND_fxy,WIND_unit,WIND_kind,WIND.1_fxy,WIND.1_unit,WIND.1_kind
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,OK,ADPUPA,RAOBF,200009141200,31004,58.62,125.37,,1,SFC,927.0,,680.0,12.0,9.700000000000045,85.8,,,0,927.0,680.0,,,,,680.0,680.0,enriched,0.0,680.0,False,True,,,12.0,9.700000000000045,,,85.8,64,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,OK,ADPUPA,RAOBF,200009141200,31004,58.62,125.37,,2,MAXW,914.0,,799.0,17.400000000000034,11.400000000000034,67.9,,,1,914.0,799.0,,,,,799.0,799.0,enriched,119.0,680.0,False,True,,,17.400000000000034,11.400000000000034,,,67.9,4,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,OK,ADPUPA,RAOBF,200009141200,31004,58.62,125.37,,3,MAXW,852.0,,1386.0,15.200000000000045,1.2000000000000455,38.7,,,2,852.0,1386.0,,,,,1386.0,1386.0,enriched,706.0,680.0,False,True,,,15.200000000000045,1.2000000000000455,,,38.7,4,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,OK,ADPUPA,RAOBF,200009141200,31004,58.62,125.37,,4,MAXW,685.0,,3160.1,-0.6999999999999886,-6.699999999999989,63.9,,,3,685.0,3160.1,,,,,3160.1,3160.1,enriched,2480.1,680.0,False,True,,,-0.6999999999999886,-6.699999999999989,,,63.9,4,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,OK,ADPUPA,RAOBF,200009141200,31004,58.62,125.37,,5,MAXW,572.0,,4571.5,-13.099999999999966,-15.699999999999989,80.8,,,4,572.0,4571.5,,,,,4571.5,4571.5,enriched,3891.5,680.0,False,True,,,-13.099999999999966,-15.699999999999989,,,80.8,4,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,OK,ADPUPA,RAOBF,200009141200,31004,58.62,125.37,,6,MAXW,475.0,,5976.5,-20.899999999999977,-30.899999999999977,40.3,,,5,475.0,5976.5,,,,,5976.5,5976.5,enriched,5296.5,680.0,False,False,,,-20.899999999999977,-30.899999999999977,,,40.3,4,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,OK,ADPUPA,RAOBF,200009141200,31004,58.62,125.37,,7,MAXW,334.0,,8506.8,-40.49999999999997,-46.49999999999997,52.5,,,6,334.0,8506.8,,,,,8506.8,8506.8,enriched,7826.8,680.0,False,False,,,-40.49999999999997,-46.49999999999997,,,52.5,4,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,OK,ADPUPA,RAOBF,200009141200,31004,58.62,125.37,,8,MAXW,266.0,,10054.3,-52.099999999999966,-57.099999999999966,54.7,,,7,266.0,10054.3,,,,,10054.3,10054.3,enriched,9374.3,680.0,False,False,,,-52.099999999999966,-57.099999999999966,,,54.7,4,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,OK,ADPUPA,RAOBF,200009141200,31004,58.62,125.37,,9,MAXW,210.0,,11592.0,-59.099999999999966,-63.099999999999966,59.6,,,8,210.0,11592.0,,,,,11592.0,11592.0,enriched,10912.0,680.0,False,False,,,-59.099999999999966,-63.099999999999966,,,59.6,4,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,OK,ADPUPA,RAOBF,200009141200,31004,58.62,125.37,,10,MAXW,194.0,,12092.2,-57.69999999999999,-61.69999999999999,60.1,,,9,194.0,12092.2,,,,,12092.2,12092.2,enriched,11412.2,680.0,False,False,,,-57.69999999999999,-61.69999999999999,,,60.1,4,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
