profile_id,layer_index,base_idx,top_idx,base_height_m,top_height_m,base_height_agl_m,top_height_agl_m,base_pressure_hpa,top_pressure_hpa,base_temperature_c,top_temperature_c,depth_m,delta_t_c,mean_gradient_c_100m,position_type,embedded_gap_count,embedded_gap_depth_total_m,method
31004_19991009_1200_12,0,9,10,5350.9,5381.1,4670.9,4701.1,500.0,511.0,-25.299999999999983,-24.69999999999999,30.200000000000728,0.5999999999999943,1.9867549668873505,HE,0,0.0,gap_v3
31004_19991012_1200_12,0,4,5,1905.7,2123.4,1225.7,1443.4,800.0,779.0,-17.69999999999999,-17.299999999999983,217.70000000000005,0.4000000000000057,0.18373909049150464,HE,0,0.0,gap_v3
31004_19991012_1200_12,1,7,9,2772.5,3419.3,2092.5,2739.3,719.0,663.0,-18.49999999999997,-17.099999999999966,646.8000000000002,1.4000000000000057,0.21645021645021728,HE,0,0.0,gap_v3
31004_19991001_1200_12,0,6,7,3379.1,3592.7,2699.1,2912.7,675.0,657.0,-19.899999999999977,-18.899999999999977,213.5999999999999,1.0,0.46816479400749084,HE,0,0.0,gap_v3
31004_19991007_1200_12,0,3,4,1877.7,2084.8,1197.7,1404.8000000000002,801.0,781.0,-10.099999999999966,-9.299999999999956,207.10000000000014,0.8000000000000096,0.38628681796234143,HE,0,0.0,gap_v3
31004_19991008_1200_12,0,0,1,680.0,799.6,0.0,119.60000000000002,922.0,909.0,3.200000000000045,4.400000000000034,119.60000000000002,1.199999999999989,1.0033444816053418,G,0,0.0,gap_v3
31004_19991010_1200_12,0,0,1,680.0,808.6,0.0,128.60000000000002,924.0,910.0,0.0,1.400000000000034,128.60000000000002,1.400000000000034,1.0886469673406174,G,0,0.0,gap_v3
31004_19991010_1200_12,1,7,8,2859.3,2893.0,2179.3,2213.0,700.0,706.0,-11.099999999999966,-10.5,33.69999999999982,0.5999999999999659,1.7804154302669708,HE,0,0.0,gap_v3
31004_19991006_1200_12,0,0,2,680.0,807.9,0.0,127.89999999999998,929.0,915.0,-12.299999999999956,-8.5,127.89999999999998,3.7999999999999563,2.9710711493353847,G,0,0.0,gap_v3
31004_19991014_1200_12,0,4,7,1941.2,2592.2,1261.2,1912.1999999999998,806.0,744.0,-22.299999999999983,-17.099999999999966,650.9999999999998,5.200000000000017,0.7987711213517694,HE,0,0.0,gap_v3
31004_19991005_1200_12,0,0,2,680.0,816.2,0.0,136.20000000000005,935.0,920.0,-15.699999999999989,-10.5,136.20000000000005,5.199999999999989,3.8179148311306808,G,0,0.0,gap_v3
31004_19991005_1200_12,1,4,5,2340.9,2774.8,1660.9,2094.8,765.0,725.0,-20.299999999999983,-18.09999999999997,433.9000000000001,2.2000000000000135,0.5070292694169194,HE,0,0.0,gap_v3
31004_19991011_1200_12,0,9,10,5360.9,5389.3,4680.9,4709.3,500.0,511.0,-26.09999999999997,-24.899999999999977,28.400000000000546,1.1999999999999922,4.225352112675948,HE,0,0.0,gap_v3
31004_19991013_1200_12,0,4,5,1487.4,1926.5,807.4000000000001,1246.5,848.0,804.0,-18.299999999999983,-17.49999999999997,439.0999999999999,0.8000000000000114,0.1821908449100459,HE,0,0.0,gap_v3
31004_19991017_1200_12,0,0,2,680.0,808.3,0.0,128.29999999999995,926.0,912.0,-9.899999999999975,-8.099999999999966,128.29999999999995,1.8000000000000096,1.4029618082618942,G,0,0.0,gap_v3
31004_19991017_1200_12,1,4,5,2104.1,2315.6,1424.1,1635.6,780.0,760.0,-13.299999999999956,-12.899999999999975,211.5,0.3999999999999808,0.18912529550826515,HE,0,0.0,gap_v3
31004_19991019_1200_12,0,4,7,2156.8,3237.8,1476.8000000000002,2557.8,780.0,682.0,-21.899999999999977,-19.09999999999997,1081.0,2.800000000000008,0.259019426456985,HE,0,0.0,gap_v3
31004_19991115_1200_12,0,8,9,5290.8,5648.4,4610.8,4968.4,500.0,506.0,-35.49999999999997,-34.89999999999998,357.59999999999945,0.5999999999999943,0.16778523489932753,HE,0,0.0,gap_v3
31004_19991113_1200_12,0,0,1,680.0,814.9,0.0,134.89999999999998,944.0,929.0,-24.49999999999997,-23.49999999999997,134.89999999999998,1.0,0.7412898443291328,G,0,0.0,gap_v3
31004_19991113_1200_12,1,4,5,2418.7,2643.7,1738.6999999999998,1963.6999999999998,765.0,744.0,-28.49999999999997,-28.09999999999997,225.0,0.40000000000000213,0.17777777777777873,HE,0,0.0,gap_v3
