profile_id,n_inversion_layers,has_G,has_E,has_HE,lowest_layer_index,strongest_layer_index,lowest_base_agl_m,lowest_top_agl_m,lowest_delta_t_c,strongest_delta_t_c,strongest_depth_m,pattern
31004_19991003_1200_12,0,False,False,False,,,,,,,,NONE
31004_19991002_1200_12,0,False,False,False,,,,,,,,NONE
31004_19991009_1200_12,1,False,False,True,0,0,4670.9,4701.1,0.5999999999999943,0.5999999999999943,30.200000000000728,HE
31004_19991004_1200_12,0,False,False,False,,,,,,,,NONE
31004_19991012_1200_12,2,False,False,True,0,1,1225.7,1443.4,0.4000000000000057,1.4000000000000057,646.8000000000002,MULTI
31004_19991001_1200_12,1,False,False,True,0,0,2699.1,2912.7,1.0,1.0,213.5999999999999,HE
31004_19991007_1200_12,1,False,False,True,0,0,1197.7,1404.8000000000002,0.8000000000000096,0.8000000000000096,207.10000000000014,HE
31004_19991008_1200_12,1,True,False,False,0,0,0.0,119.60000000000002,1.199999999999989,1.199999999999989,119.60000000000002,G
31004_19991010_1200_12,2,True,False,True,0,0,0.0,128.60000000000002,1.400000000000034,1.400000000000034,128.60000000000002,G+HE
31004_19991006_1200_12,1,True,False,False,0,0,0.0,127.89999999999998,3.7999999999999563,3.7999999999999563,127.89999999999998,G
31004_19991014_1200_12,1,False,False,True,0,0,1261.2,1912.1999999999998,5.200000000000017,5.200000000000017,650.9999999999998,HE
31004_19991005_1200_12,2,True,False,True,0,0,0.0,136.20000000000005,5.199999999999989,5.199999999999989,136.20000000000005,G+HE
31004_19991011_1200_12,1,False,False,True,0,0,4680.9,4709.3,1.1999999999999922,1.1999999999999922,28.400000000000546,HE
31004_19991013_1200_12,1,False,False,True,0,0,807.4000000000001,1246.5,0.8000000000000114,0.8000000000000114,439.0999999999999,HE
31004_19991017_1200_12,2,True,False,True,0,0,0.0,128.29999999999995,1.8000000000000096,1.8000000000000096,128.29999999999995,G+HE
31004_19991019_1200_12,1,False,False,True,0,0,1476.8000000000002,2557.8,2.800000000000008,2.800000000000008,1081.0,HE
31004_19991115_1200_12,1,False,False,True,0,0,4610.8,4968.4,0.5999999999999943,0.5999999999999943,357.59999999999945,HE
31004_19991113_1200_12,2,True,False,True,0,0,0.0,134.89999999999998,1.0,1.0,134.89999999999998,G+HE
31004_19991114_1200_12,4,False,False,True,0,3,1035.2,1255.5,0.5999999999999943,1.8000000000000114,197.69999999999982,MULTI
31004_19991117_1200_12,1,False,False,True,0,0,2049.3,2125.1,1.0,1.0,75.79999999999973,HE
31004_19991021_1200_12,1,False,False,True,0,0,580.0999999999999,1459.9,4.799999999999983,4.799999999999983,879.8000000000002,HE
31004_19991118_1200_12,1,True,False,False,0,0,0.0,129.20000000000005,0.6000000000000192,0.6000000000000192,129.20000000000005,G
31004_19991020_1200_12,2,True,False,True,0,0,0.0,358.0,2.4000000000000057,2.4000000000000057,358.0,G+HE
31004_19991116_1200_12,1,False,False,True,0,0,1234.9,1660.9,1.599999999999966,1.599999999999966,426.0,HE
31004_19991016_1200_12,2,False,False,True,0,0,1005.8,1879.9,0.9999999999999716,0.9999999999999716,874.1000000000001,MULTI
31004_19991022_1200_12,1,True,False,False,0,0,0.0,347.0999999999999,7.400000000000034,7.400000000000034,347.0999999999999,G
31004_19991018_1200_12,0,False,False,False,,,,,,,,NONE
31004_19991120_1200_12,1,True,False,False,0,0,0.0,137.10000000000002,6.0,6.0,137.10000000000002,G
31004_19991121_1200_12,1,True,False,False,0,0,0.0,136.79999999999995,6.400000000000006,6.400000000000006,136.79999999999995,G
31004_19991119_1200_12,2,True,False,True,0,0,0.0,138.0,5.599999999999998,5.599999999999998,138.0,G+HE
31004_19991124_1200_12,3,True,False,True,0,0,0.0,119.60000000000002,0.6000000000000192,0.6000000000000192,119.60000000000002,MULTI
31004_19991122_1200_12,1,True,False,False,0,0,0.0,604.4000000000001,5.599999999999994,5.599999999999994,604.4000000000001,G
31004_19991123_1200_12,2,False,False,True,0,0,624.2,1554.8000000000002,4.200000000000017,4.200000000000017,930.6000000000001,MULTI
31004_19991128_1200_12,2,False,False,True,0,0,2159.0,2387.6,0.8000000000000114,0.8000000000000114,228.5999999999999,MULTI
31004_19991126_1200_12,1,False,False,True,0,0,4390.6,4405.0,3.0,3.0,14.399999999999636,HE
31004_19991125_1200_12,3,True,False,True,0,1,0.0,137.10000000000002,3.4000000000000057,4.399999999999977,903.8000000000002,MULTI
31004_19991130_1200_12,1,True,False,False,0,0,0.0,136.79999999999995,1.1999999999999922,1.1999999999999922,136.79999999999995,G
31004_19991129_1200_12,2,False,False,True,0,0,1522.1999999999998,1974.3000000000002,1.8000000000000114,1.8000000000000114,452.10000000000036,MULTI
31004_19991127_1200_12,1,True,False,False,0,0,0.0,137.10000000000002,1.1999999999999886,1.1999999999999886,137.10000000000002,G
31004_19991201_1200_12,2,False,False,True,0,0,616.7,1539.3000000000002,2.5999999999999943,2.5999999999999943,922.6000000000001,MULTI
31004_19991202_1200_12,1,False,False,True,0,0,1029.9,1466.6,0.8000000000000114,0.8000000000000114,436.6999999999998,HE
31004_19991204_1200_12,2,False,False,True,0,0,2575.8,2788.7,1.0,1.0,212.89999999999964,MULTI
31004_19991205_1200_12,0,False,False,False,,,,,,,,NONE
31004_19991203_1200_12,1,False,False,True,0,0,2796.9,3012.9,0.7999999999999865,0.7999999999999865,216.0,HE
31004_19991209_1200_12,2,True,False,True,0,0,0.0,1078.3,10.200000000000017,10.200000000000017,1078.3,G+HE
31004_19991207_1200_12,0,False,False,False,,,,,,,,NONE
31004_19991206_1200_12,0,False,False,False,,,,,,,,NONE
31004_19991210_1200_12,3,True,False,True,0,1,0.0,144.89999999999998,2.8000000000000114,6.199999999999989,1160.2000000000003,MULTI
31004_19991208_1200_12,1,False,False,True,0,0,592.4000000000001,817.5,1.0,1.0,225.0999999999999,HE
31004_19991224_1200_12,1,True,False,False,0,0,0.0,358.4000000000001,8.400000000000007,8.400000000000007,358.4000000000001,G
