profile_id,station_name,source_file,station_id,subset_index,report_datetime_utc,seq,fxy,name,value,value_text,unit,kind,scale,reference,nbits
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,1,063000,BYTCNT,1239,,BYTES,numeric,0,0,16
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,2,004001,Year,1999,,a,numeric,0,0,12
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,3,004002,Month,10,,mon,numeric,0,0,4
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,4,004003,Day,2,,d,numeric,0,0,6
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,5,004004,Hour,12,,h,numeric,0,0,5
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,6,031001,Delayed descriptor replication factor,3,,Numeric,numeric,0,0,8
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,7,008202,RCTS     RECEIPT TIME SIGNIFICANCE,5,,CODE TABLE,code,0,0,6
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,8,004200,RCYR     YEAR   - TIME OF RECEIPT,1999,,YEAR,numeric,0,0,12
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,9,004201,RCMO     MONTH  - TIME OF RECEIPT,10,,MONTH,numeric,0,0,4
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,10,004202,RCDY     DAY    - TIME OF RECEIPT,2,,DAY,numeric,0,0,6
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,11,004203,RCHR     HOUR   - TIME OF RECEIPT,13,,HOUR,numeric,0,0,5
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,12,004204,RCMI     MINUTE - TIME OF RECEIPT,49,,MINUTE,numeric,0,0,6
