profile_id,station_name,source_file,station_id,subset_index,report_datetime_utc,data_status,REC,OBS,REPORT TIME,WMO/STATION/SATELLITE ID,LATI-,LONGI-,STN,SEQ,VSIG,PRES,GEOPOT,FLVL,AIR,DEW-,REL,WIND,WIND.1,replication_index,pressure_hpa,geopotential_height_m,geopotential_m2s2,air_temperature_c,dew_point_temperature_c,wind_direction_deg,wind_speed,relative_humidity_percent,vertical_significance_code,VSIG_fxy,VSIG_unit,VSIG_kind,PRES_fxy,PRES_unit,PRES_kind,GEOPOT_fxy,GEOPOT_unit,GEOPOT_kind,FLVL_fxy,FLVL_unit,FLVL_kind,AIR_fxy,AIR_unit,AIR_kind,DEW-_fxy,DEW-_unit,DEW-_kind,REL_fxy,REL_unit,REL_kind,WIND_fxy,WIND_unit,WIND_kind,WIND.1_fxy,WIND.1_unit,WIND.1_kind
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,1,SFC,935.0,,563.4,-3.099999999999966,-6.0,80.4,,,0,935.0,563.4,,-3.099999999999966,-6.0,,,80.4,64,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,2,TXPR,921.0,,688.8,-3.8999999999999773,-6.0,85.3,,,1,921.0,688.8,,-3.8999999999999773,-6.0,,,85.3,4,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,3,TXPR,729.0,,2587.9,-16.69999999999999,-17.899999999999977,90.4,,,2,729.0,2587.9,,-16.69999999999999,-17.899999999999977,,,90.4,4,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,4,TXPR,603.0,,4068.3,-26.099999999999966,-27.399999999999977,88.8,,,3,603.0,4068.3,,-26.099999999999966,-27.399999999999977,,,88.8,4,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,5,TXPR,539.0,,4918.9,-29.69999999999999,-31.99999999999997,80.4,,,4,539.0,4918.9,,-29.69999999999999,-31.99999999999997,,,80.4,4,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,6,TXPR,422.0,,6712.1,-41.89999999999998,-44.29999999999998,77.3,,,5,422.0,6712.1,,-41.89999999999998,-44.29999999999998,,,77.3,4,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,7,TXPR,269.0,,9801.4,-49.89999999999998,-52.89999999999998,70.5,,,6,269.0,9801.4,,-49.89999999999998,-52.89999999999998,,,70.5,4,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,8,TXPR,184.0,,12208.7,-50.099999999999966,-53.89999999999998,64.0,,,7,184.0,12208.7,,-50.099999999999966,-53.89999999999998,,,64.0,4,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,9,TXPR,107.0,,15357.3,-51.49999999999997,-56.49999999999997,54.9,,,8,107.0,15357.3,,-51.49999999999997,-56.49999999999997,,,54.9,4,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,10,SFC,935.0,,563.4,,,,305.0,6.0,9,935.0,563.4,,,,305.0,6.0,,64,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
