profile_id,station_id,station_name,datetime_utc,year,month,cycle,n_levels_total,n_levels_to_500,p_surface_hpa,t_surface_c,p_top_hpa,t_top_c,delta_t_top_surface_c,inversion_detected,inversion_top_pressure_hpa,inversion_top_height_m,inversion_top_temp_c,inversion_delta_t_c,profile_status,source_file
31004_19990101_0000_00,31004,Aldan,1999-01-01T00:00:00Z,1999,1,00,6,6,1000.0,-27.7,500.0,-33.7,-6.0000000000000036,True,850.0,1000.0,-24.7,3.0,good,gdas.adpupa.t00z.19990101.bufr
31004_19990101_1200_12,31004,Aldan,1999-01-01T12:00:00Z,1999,1,12,6,6,1000.0,-27.7,500.0,-33.7,-6.0000000000000036,True,850.0,1000.0,-24.7,3.0,good,gdas.adpupa.t12z.19990101.bufr
31004_19990102_0000_00,31004,Aldan,1999-01-02T00:00:00Z,1999,1,00,6,6,1000.0,-27.4,500.0,-33.4,-6.0,True,850.0,1000.0,-24.4,3.0,good,gdas.adpupa.t00z.19990102.bufr
31004_19990102_1200_12,31004,Aldan,1999-01-02T12:00:00Z,1999,1,12,6,6,1000.0,-27.4,500.0,-33.4,-6.0,True,850.0,1000.0,-24.4,3.0,good,gdas.adpupa.t12z.19990102.bufr
31004_19990103_0000_00,31004,Aldan,1999-01-03T00:00:00Z,1999,1,00,6,6,1000.0,-27.1,500.0,-33.1,-6.0,True,850.0,1000.0,-24.1,3.0,good,gdas.adpupa.t00z.19990103.bufr
31004_19990103_1200_12,31004,Aldan,1999-01-03T12:00:00Z,1999,1,12,6,6,1000.0,-27.1,500.0,-33.1,-6.0,True,850.0,1000.0,-24.1,3.0,good,gdas.adpupa.t12z.19990103.bufr
31004_19990104_0000_00,31004,Aldan,1999-01-04T00:00:00Z,1999,1,00,6,6,1000.0,-26.8,500.0,-32.8,-5.9999999999999964,True,850.0,1000.0,-23.8,3.0,good,gdas.adpupa.t00z.19990104.bufr
31004_19990104_1200_12,31004,Aldan,1999-01-04T12:00:00Z,1999,1,12,6,6,1000.0,-26.8,500.0,-32.8,-5.9999999999999964,True,850.0,1000.0,-23.8,3.0,good,gdas.adpupa.t12z.19990104.bufr
31004_19990105_0000_00,31004,Aldan,1999-01-05T00:00:00Z,1999,1,00,6,6,1000.0,-26.5,500.0,-32.5,-6.0,True,850.0,1000.0,-23.5,3.0,good,gdas.adpupa.t00z.19990105.bufr
31004_19990105_1200_12,31004,Aldan,1999-01-05T12:00:00Z,1999,1,12,6,6,1000.0,-26.5,500.0,-32.5,-6.0,True,850.0,1000.0,-23.5,3.0,good,gdas.adpupa.t12z.19990105.bufr
31004_19990106_0000_00,31004,Aldan,1999-01-06T00:00:00Z,1999,1,00,6,6,1000.0,-26.2,500.0,-32.2,-6.0000000000000036,True,850.0,1000.0,-23.2,3.0,good,gdas.adpupa.t00z.19990106.bufr
