source_file,source_path,cycle,file_ymd,obs_datetime,subset_index,delayed
gdas.adpupa.t12z.19991001.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991001.bufr,12,19991001,1999-10-01T12:00:00,1,0
gdas.adpupa.t12z.19991002.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,12,19991002,1999-10-02T12:00:00,1,0
gdas.adpupa.t12z.19991003.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991003.bufr,12,19991003,1999-10-03T12:00:00,3,0
gdas.adpupa.t12z.19991004.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991004.bufr,12,19991004,1999-10-04T12:00:00,1,0
gdas.adpupa.t12z.19991005.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991005.bufr,12,19991005,1999-10-05T12:00:00,1,0
gdas.adpupa.t12z.19991006.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991006.bufr,12,19991006,1999-10-06T12:00:00,1,0
gdas.adpupa.t12z.19991007.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991007.bufr,12,19991007,1999-10-07T12:00:00,1,0
gdas.adpupa.t12z.19991008.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991008.bufr,12,19991008,1999-10-08T12:00:00,1,0
gdas.adpupa.t12z.19991009.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991009.bufr,12,19991009,1999-10-09T12:00:00,1,0
gdas.adpupa.t12z.19991010.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991010.bufr,12,19991010,1999-10-10T12:00:00,1,0
gdas.adpupa.t12z.19991011.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991011.bufr,12,19991011,1999-10-11T12:00:00,1,0
gdas.adpupa.t12z.19991012.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991012.bufr,12,19991012,1999-10-12T12:00:00,1,0
gdas.adpupa.t12z.19991013.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991013.bufr,12,19991013,1999-10-13T12:00:00,1,0
gdas.adpupa.t12z.19991014.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991014.bufr,12,19991014,1999-10-14T12:00:00,1,0
gdas.adpupa.t12z.19991015.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991015.bufr,12,19991015,1999-10-15T12:00:00,1,0
gdas.adpupa.t12z.19991016.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991016.bufr,12,19991016,1999-10-16T12:00:00,1,0
gdas.adpupa.t12z.19991017.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991017.bufr,12,19991017,1999-10-17T12:00:00,1,0
gdas.adpupa.t12z.19991018.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991018.bufr,12,19991018,1999-10-18T12:00:00,2,0
gdas.adpupa.t12z.19991019.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991019.bufr,12,19991019,1999-10-19T12:00:00,1,0
gdas.adpupa.t12z.19991020.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991020.bufr,12,19991020,1999-10-20T12:00:00,1,0
