path_src,path_dst,size,mode,obs_datetimes
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991001.bufr,gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991001.bufr,1109696,hardlink,1999-10-01T12:00:00
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991002.bufr,1075496,hardlink,1999-10-02T12:00:00
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991003.bufr,gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991003.bufr,1035736,hardlink,1999-10-03T12:00:00
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991004.bufr,gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991004.bufr,1053528,hardlink,1999-10-04T12:00:00
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991005.bufr,gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991005.bufr,1076640,hardlink,1999-10-05T12:00:00
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991006.bufr,gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991006.bufr,1081032,hardlink,1999-10-06T12:00:00
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991007.bufr,gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991007.bufr,1056352,hardlink,1999-10-07T12:00:00
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991008.bufr,gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991008.bufr,1092952,hardlink,1999-10-08T12:00:00
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991009.bufr,gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991009.bufr,1041784,hardlink,1999-10-09T12:00:00
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991010.bufr,gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991010.bufr,1047808,hardlink,1999-10-10T12:00:00
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991011.bufr,gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991011.bufr,1081192,hardlink,1999-10-11T12:00:00
