profile_id,station_id,station_name,datetime_utc,year,month,cycle,subset_index,latitude_deg,longitude_deg,data_status,data_status_reason,table_edition,n_pressure_raw,n_temp_raw,n_wind_raw,n_levels_total,n_levels_to_500,p_surface_hpa,t_surface_c,p_top_hpa,t_top_c,delta_t_top_surface_c,inversion_detected,inversion_top_pressure_hpa,inversion_top_height_m,inversion_top_temp_c,inversion_delta_t_c,profile_status,source_file
31004_19991001_1200_12,31004,Aldan,1999-10-01T12:00:00,1999,10,12,1,58.62,125.37,OK,,4,23,13,13,23,11,939.0,-3.5,500.0,-30.899999999999977,-27.399999999999977,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991001.bufr
31004_19991002_1200_12,31004,Aldan,1999-10-02T12:00:00,1999,10,12,1,58.62,125.37,OK,,4,40,23,27,40,9,935.0,-3.099999999999966,500.0,-33.69999999999999,-30.600000000000023,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991002.bufr
31004_19991003_1200_12,31004,Aldan,1999-10-03T12:00:00,1999,10,12,3,58.62,125.37,OK,,4,35,22,23,35,8,930.0,-2.5,500.0,-28.099999999999966,-25.599999999999966,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991003.bufr
31004_19991004_1200_12,31004,Aldan,1999-10-04T12:00:00,1999,10,12,1,58.62,125.37,OK,,4,69,35,49,69,10,928.0,-7.2999999999999545,500.0,-28.69999999999999,-21.400000000000034,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991004.bufr
31004_19991005_1200_12,31004,Aldan,1999-10-05T12:00:00,1999,10,12,1,58.62,125.37,OK,,4,56,30,39,56,9,935.0,-15.699999999999989,500.0,-31.299999999999983,-15.599999999999994,True,920.0,697.9,-10.5,5.199999999999989,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991005.bufr
31004_19991006_1200_12,31004,Aldan,1999-10-06T12:00:00,1999,10,12,1,58.62,125.37,OK,,4,76,36,55,76,11,929.0,-12.299999999999955,500.0,-30.099999999999966,-17.80000000000001,True,915.0,743.1,-8.5,3.7999999999999545,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991006.bufr
31004_19991007_1200_12,31004,Aldan,1999-10-07T12:00:00,1999,10,12,1,58.62,125.37,OK,,4,36,23,23,36,10,925.0,-5.099999999999966,500.0,-23.69999999999999,-18.600000000000023,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991007.bufr
31004_19991008_1200_12,31004,Aldan,1999-10-08T12:00:00,1999,10,12,1,58.62,125.37,OK,,4,65,34,46,65,9,922.0,3.2000000000000455,500.0,-23.49999999999997,-26.700000000000017,True,909.0,797.6,4.400000000000034,1.1999999999999886,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991008.bufr
31004_19991009_1200_12,31004,Aldan,1999-10-09T12:00:00,1999,10,12,1,58.62,125.37,OK,,4,39,23,25,39,11,921.0,2.2000000000000455,500.0,-25.299999999999983,-27.50000000000003,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991009.bufr
31004_19991010_1200_12,31004,Aldan,1999-10-10T12:00:00,1999,10,12,1,58.62,125.37,OK,,4,46,28,29,46,11,924.0,0.0,500.0,-29.899999999999977,-29.899999999999977,True,910.0,788.5,1.400000000000034,1.400000000000034,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991010.bufr
31004_19991011_1200_12,31004,Aldan,1999-10-11T12:00:00,1999,10,12,1,58.62,125.37,OK,,4,45,28,26,45,11,922.0,-4.2999999999999545,500.0,-26.099999999999966,-21.80000000000001,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991011.bufr
31004_19991012_1200_12,31004,Aldan,1999-10-12T12:00:00,1999,10,12,1,58.62,125.37,OK,,4,44,28,26,44,12,927.0,-9.699999999999989,500.0,-28.099999999999966,-18.399999999999977,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991012.bufr
31004_19991013_1200_12,31004,Aldan,1999-10-13T12:00:00,1999,10,12,1,58.62,125.37,OK,,4,50,28,34,50,9,934.0,-14.099999999999966,500.0,-33.29999999999998,-19.200000000000017,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991013.bufr
31004_19991014_1200_12,31004,Aldan,1999-10-14T12:00:00,1999,10,12,1,58.62,125.37,OK,,4,54,31,35,54,12,938.0,-14.699999999999989,500.0,-38.69999999999999,-24.0,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991014.bufr
31004_19991015_1200_12,31004,Aldan,1999-10-15T12:00:00,1999,10,12,1,58.62,125.37,OK,,4,28,12,21,28,0,,,,,,False,,,,,no_surface_level,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991015.bufr
31004_19991016_1200_12,31004,Aldan,1999-10-16T12:00:00,1999,10,12,1,58.62,125.37,OK,,4,59,33,36,59,11,933.0,-11.299999999999955,500.0,-30.099999999999966,-18.80000000000001,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991016.bufr
31004_19991017_1200_12,31004,Aldan,1999-10-17T12:00:00,1999,10,12,1,58.62,125.37,OK,,4,39,24,25,39,9,926.0,-9.899999999999977,500.0,-29.49999999999997,-19.599999999999994,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991017.bufr
31004_19991018_1200_12,31004,Aldan,1999-10-18T12:00:00,1999,10,12,2,58.62,125.37,OK,,4,63,33,44,63,7,921.0,-1.5,500.0,-30.099999999999966,-28.599999999999966,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991018.bufr
31004_19991019_1200_12,31004,Aldan,1999-10-19T12:00:00,1999,10,12,1,58.62,125.37,OK,,4,43,23,30,43,10,932.0,-15.299999999999955,500.0,-30.69999999999999,-15.400000000000034,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991019.bufr
31004_19991020_1200_12,31004,Aldan,1999-10-20T12:00:00,1999,10,12,1,58.62,125.37,OK,,4,62,35,41,62,13,935.0,-21.69999999999999,500.0,-37.49999999999997,-15.799999999999983,True,896.0,916.8,-19.299999999999983,2.4000000000000057,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991020.bufr
31004_19991021_1200_12,31004,Aldan,1999-10-21T12:00:00,1999,10,12,1,58.62,125.37,OK,,4,57,32,40,57,11,942.0,-17.299999999999983,500.0,-28.69999999999999,-11.400000000000006,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991021.bufr
31004_19991022_1200_12,31004,Aldan,1999-10-22T12:00:00,1999,10,12,1,58.62,125.37,OK,,4,70,44,42,70,12,939.0,-13.5,500.0,-22.099999999999966,-8.599999999999966,True,901.0,870.8,-6.099999999999966,7.400000000000034,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991022.bufr
31004_19991113_1200_12,31004,Aldan,1999-11-13T12:00:00,1999,11,12,1,58.62,125.37,OK,,4,54,34,36,54,9,944.0,-24.49999999999997,500.0,-39.099999999999966,-14.599999999999994,True,929.0,616.9,-23.49999999999997,1.0,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991113.bufr
31004_19991114_1200_12,31004,Aldan,1999-11-14T12:00:00,1999,11,12,1,58.62,125.37,OK,,4,65,41,40,65,13,942.0,-19.099999999999966,500.0,-37.69999999999999,-18.600000000000023,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991114.bufr
31004_19991115_1200_12,31004,Aldan,1999-11-15T12:00:00,1999,11,12,1,58.62,125.37,OK,,4,64,35,45,64,10,945.0,-18.099999999999966,500.0,-35.49999999999997,-17.400000000000006,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991115.bufr
31004_19991116_1200_12,31004,Aldan,1999-11-16T12:00:00,1999,11,12,1,58.62,125.37,OK,,4,55,32,36,55,10,935.0,-12.699999999999989,500.0,-31.69999999999999,-19.0,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991116.bufr
31004_19991117_1200_12,31004,Aldan,1999-11-17T12:00:00,1999,11,12,1,58.62,125.37,OK,,4,43,23,30,43,7,923.0,-15.099999999999966,500.0,-39.89999999999998,-24.80000000000001,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991117.bufr
31004_19991118_1200_12,31004,Aldan,1999-11-18T12:00:00,1999,11,12,1,58.62,125.37,OK,,4,59,34,40,59,7,920.0,-18.69999999999999,500.0,-42.49999999999997,-23.799999999999983,True,906.0,825.0,-18.099999999999966,0.6000000000000227,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991118.bufr
31004_19991119_1200_12,31004,Aldan,1999-11-19T12:00:00,1999,11,12,1,58.62,125.37,OK,,4,73,34,54,73,7,923.0,-30.099999999999966,500.0,-48.49999999999997,-18.400000000000006,True,908.0,806.7,-24.49999999999997,5.599999999999994,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991119.bufr
31004_19991120_1200_12,31004,Aldan,1999-11-20T12:00:00,1999,11,12,1,58.62,125.37,OK,,4,49,30,29,49,15,929.0,-33.29999999999998,500.0,-41.29999999999998,-8.0,True,914.0,752.2,-27.299999999999983,6.0,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991120.bufr
31004_19991121_1200_12,31004,Aldan,1999-11-21T12:00:00,1999,11,12,1,58.62,125.37,OK,,4,45,27,30,45,10,931.0,-30.69999999999999,500.0,-41.49999999999997,-10.799999999999983,True,916.0,734.0,-24.299999999999983,6.400000000000006,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991121.bufr
31004_19991122_1200_12,31004,Aldan,1999-11-22T12:00:00,1999,11,12,1,58.62,125.37,OK,,4,61,33,43,61,10,934.0,-32.49999999999997,500.0,-43.89999999999998,-11.400000000000006,True,869.0,1168.8,-26.899999999999977,5.599999999999994,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991122.bufr
31004_19991123_1200_12,31004,Aldan,1999-11-23T12:00:00,1999,11,12,1,58.62,125.37,OK,,4,58,33,40,58,11,947.0,-31.899999999999977,500.0,-44.69999999999999,-12.800000000000011,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991123.bufr
31004_19991124_1200_12,31004,Aldan,1999-11-24T12:00:00,1999,11,12,1,58.62,125.37,OK,,4,43,27,27,43,11,940.0,-25.69999999999999,500.0,-41.099999999999966,-15.399999999999977,True,925.0,799.5,-25.099999999999966,0.6000000000000227,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991124.bufr
31004_19991125_1200_12,31004,Aldan,1999-11-25T12:00:00,1999,11,12,1,58.62,125.37,OK,,4,65,33,47,65,10,929.0,-25.299999999999983,500.0,-42.099999999999966,-16.799999999999983,True,914.0,752.2,-21.899999999999977,3.4000000000000057,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991125.bufr
31004_19991126_1200_12,31004,Aldan,1999-11-26T12:00:00,1999,11,12,1,58.62,125.37,OK,,4,71,41,44,71,11,929.0,-25.099999999999966,500.0,-42.69999999999999,-17.600000000000023,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991126.bufr
31004_19991127_1200_12,31004,Aldan,1999-11-27T12:00:00,1999,11,12,1,58.62,125.37,OK,,4,58,32,40,58,9,929.0,-22.899999999999977,500.0,-42.49999999999997,-19.599999999999994,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991127.bufr
31004_19991128_1200_12,31004,Aldan,1999-11-28T12:00:00,1999,11,12,1,58.62,125.37,OK,,4,61,32,43,61,10,923.0,-19.099999999999966,500.0,-39.49999999999997,-20.400000000000006,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991128.bufr
31004_19991129_1200_12,31004,Aldan,1999-11-29T12:00:00,1999,11,12,1,58.62,125.37,OK,,4,57,34,37,57,12,930.0,-21.69999999999999,500.0,-43.49999999999997,-21.799999999999983,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991129.bufr
31004_19991130_1200_12,31004,Aldan,1999-11-30T12:00:00,1999,11,12,1,58.62,125.37,OK,,4,27,17,17,27,8,931.0,-24.099999999999966,500.0,-44.29999999999998,-20.200000000000017,True,916.0,734.0,-22.899999999999977,1.1999999999999886,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991130.bufr
31004_19991201_1200_12,31004,Aldan,1999-12-01T12:00:00,1999,12,12,2,58.62,125.37,OK,,4,40,28,24,40,11,944.0,-29.69999999999999,500.0,-41.89999999999998,-12.199999999999989,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991201.bufr
31004_19991202_1200_12,31004,Aldan,1999-12-02T12:00:00,1999,12,12,2,58.62,125.37,OK,,4,43,28,25,43,12,938.0,-17.899999999999977,500.0,-37.099999999999966,-19.19999999999999,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991202.bufr
31004_19991203_1200_12,31004,Aldan,1999-12-03T12:00:00,1999,12,12,2,58.62,125.37,OK,,4,54,36,33,54,13,938.0,-15.099999999999966,500.0,-37.099999999999966,-22.0,False,,,,,good,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991203.bufr
