month,bin_left,bin_right,n_intervals,value
1,0.0,100.0,1486,0.7839446898406103
1,100.0,200.0,631,1.0169491525423633
1,200.0,400.0,958,-0.09547168022865565
1,400.0,600.0,1045,-0.23762376237623536
1,600.0,800.0,879,0.0
1,800.0,1000.0,806,0.0
1,1000.0,1500.0,1462,-0.02238506862981377
1,1500.0,2000.0,1550,-0.3518627171753663
1,2000.0,3000.0,2360,-0.23401540479339059
1,3000.0,4000.0,1656,-0.584797517213332
1,4000.0,,1267,-0.972762645914398
2,0.0,100.0,1408,1.2054393102780196
2,100.0,200.0,625,1.0647737355811826
2,200.0,400.0,782,-0.29813785068219134
2,400.0,600.0,955,-0.49778761061947135
2,600.0,800.0,628,0.0
2,800.0,1000.0,694,-0.12281658359483916
2,1000.0,1500.0,1307,-0.09730781706130302
2,1500.0,2000.0,1346,-0.3676062972183134
2,2000.0,3000.0,2018,-0.24077421874739127
2,3000.0,4000.0,1467,-0.5871768159863636
2,4000.0,,1106,-0.9196107035384824
3,0.0,100.0,1479,1.1750881316098705
3,100.0,200.0,671,0.7007007007007179
3,200.0,400.0,821,-0.4617515776512237
3,400.0,600.0,1011,-0.7375776397515551
3,600.0,800.0,421,-0.4184100418409808
3,800.0,1000.0,466,-0.4148900766823864
3,1000.0,1500.0,1377,-0.5826656955571813
3,1500.0,2000.0,1228,-0.45540303361052686
3,2000.0,3000.0,2222,-0.32596756345979777
3,3000.0,4000.0,1619,-0.6038276532596465
3,4000.0,,1351,-0.8470474346563402
4,0.0,100.0,1322,0.0
4,100.0,200.0,414,0.0
4,200.0,400.0,860,-0.714650518021307
4,400.0,600.0,826,-0.8242433271446622
4,600.0,800.0,434,-0.6634909072649913
4,800.0,1000.0,342,-0.5013169071781496
4,1000.0,1500.0,1299,-0.72031513787282
4,1500.0,2000.0,1023,-0.5077498663816156
4,2000.0,3000.0,2653,-0.3970223325062091
4,3000.0,4000.0,1687,-0.5815490351572832
4,4000.0,,1559,-0.8523192919193582
5,0.0,100.0,1297,-0.633245382585776
5,100.0,200.0,287,-0.42283298097251587
5,200.0,400.0,973,-0.7545494895694577
5,400.0,600.0,792,-0.8164758560095645
5,600.0,800.0,508,-0.6458565072302194
5,800.0,1000.0,409,-0.5941329372447063
5,1000.0,1500.0,1267,-0.7098823089856178
5,1500.0,2000.0,1149,-0.6304558680892391
5,2000.0,3000.0,2874,-0.4964833286773089
5,3000.0,4000.0,1954,-0.593002847554865
5,4000.0,,2005,-0.7692307692307785
6,0.0,100.0,1443,-0.6600660066007161
6,100.0,200.0,314,-0.41931669838646585
6,200.0,400.0,867,-0.7518796992481166
6,400.0,600.0,837,-0.8035466888334734
6,600.0,800.0,552,-0.6951112721562744
6,800.0,1000.0,454,-0.6721882223844879
6,1000.0,1500.0,1022,-0.743666547220992
6,1500.0,2000.0,1206,-0.726937578064693
6,2000.0,3000.0,2860,-0.5651713880737206
6,3000.0,4000.0,2070,-0.5816066884769161
6,4000.0,,2291,-0.6406632749199137
7,0.0,100.0,1428,-0.4575380605724295
7,100.0,200.0,354,0.0
7,200.0,400.0,914,-0.6218648779317335
7,400.0,600.0,841,-0.7115855014454058
7,600.0,800.0,632,-0.6351563920911513
7,800.0,1000.0,471,-0.6263048016701405
7,1000.0,1500.0,1047,-0.720980533525595
7,1500.0,2000.0,1239,-0.6386511687316387
7,2000.0,3000.0,2823,-0.551343900758106
7,3000.0,4000.0,2100,-0.5494588071421826
7,4000.0,,2357,-0.5604656175899903
8,0.0,100.0,1564,0.0
8,100.0,200.0,526,0.23451738862311206
8,200.0,400.0,859,-0.5585674388040139
8,400.0,600.0,919,-0.6988934187536417
8,600.0,800.0,672,-0.7256894049346876
8,800.0,1000.0,432,-0.55334735440067
8,1000.0,1500.0,1128,-0.68635610290203
8,1500.0,2000.0,1235,-0.5892351274787525
8,2000.0,3000.0,3029,-0.4944375772558428
8,3000.0,4000.0,2025,-0.5504055619930492
8,4000.0,,2251,-0.6230529595015635
9,0.0,100.0,1505,0.0
9,100.0,200.0,546,0.3246521126540279
9,200.0,400.0,845,-0.5256241787122099
9,400.0,600.0,930,-0.6793933968959774
9,600.0,800.0,595,-0.7785888077858975
9,800.0,1000.0,473,-0.5102040816326451
9,1000.0,1500.0,1283,-0.6131479140328691
9,1500.0,2000.0,1211,-0.5203064026593468
9,2000.0,3000.0,2928,-0.47341158659814025
9,3000.0,4000.0,1911,-0.5657708628005673
9,4000.0,,1970,-0.738007380073799
10,0.0,100.0,1541,-0.12307692307691608
10,100.0,200.0,427,0.15564202334629465
10,200.0,400.0,802,-0.5327916551149219
10,400.0,600.0,1003,-0.6741951795044617
10,600.0,800.0,530,-0.47040730523551266
10,800.0,1000.0,574,-0.3495499531625431
10,1000.0,1500.0,1466,-0.5023643018646093
10,1500.0,2000.0,1415,-0.4192872117400435
10,2000.0,3000.0,2718,-0.3445060641523517
10,3000.0,4000.0,1783,-0.5475701574264178
10,4000.0,,1763,-0.8155474579212219
11,0.0,100.0,1463,0.3342618384401241
11,100.0,200.0,514,0.8688677353527542
11,200.0,400.0,937,-0.34578146611341626
11,400.0,600.0,922,-0.3736102663547902
11,600.0,800.0,783,0.0
11,800.0,1000.0,740,-0.06606162726098434
11,1000.0,1500.0,1389,-0.21863897239682945
11,1500.0,2000.0,1395,-0.39048633297834395
11,2000.0,3000.0,2342,-0.28007954272087165
11,3000.0,4000.0,1611,-0.5827187471546943
11,4000.0,,1362,-0.8764956197828495
12,0.0,100.0,1501,0.6493506493506122
12,100.0,200.0,603,1.0327022375215045
12,200.0,400.0,1061,-0.19905449116695273
12,400.0,600.0,983,-0.15077271013946691
12,600.0,800.0,963,0.14942099364960854
12,800.0,1000.0,824,0.08359457000420799
12,1000.0,1500.0,1435,0.0
12,1500.0,2000.0,1552,-0.3383619332568807
12,2000.0,3000.0,2349,-0.2236302646291497
12,3000.0,4000.0,1667,-0.5868231528407574
12,4000.0,,1316,-0.9015514962917615
