folder,figure,metric,formula,unit,filter,period,N,NaN,mean,median,min,max,q25,q75,N_00,N_12,N_other,N_profiles,N_layers
01_thickness,inversion_depth_vs_base_joint,base_height_agl_m,AGL от нижнего уровня профиля (z0),m,eligible,1999–2026,19996,0,1429.229805961192,908.65,0.0,5011.2,0.0,2229.65,8938,9053,0,17991,19996
01_thickness,inversion_depth_vs_base_joint,depth_m,top_height_agl_m - base_height_agl_m,m,eligible,1999–2026,19996,0,331.7587517503501,236.5,0.0999999999994543,2860.6,133.20000000000027,395.5,8938,9053,0,17991,19996
02_gamma_sfc_P,type03_gamma_annual_cycle_850_700_500,gamma_sfc_850,"100*(T_850-T_sfc)/(H_850-H_sfc), no extrapolation",°C/100 m,eligible,1999–2026,17991,0,-0.29215132526420035,-0.4716263502205943,-4.817371297095196,4.940937380922136,-0.7000259268861853,-0.06188610878272788,8938,9053,0,17991,19996
02_gamma_sfc_P,type03_gamma_annual_cycle_850_700_500,gamma_sfc_700,"100*(T_700-T_sfc)/(H_700-H_sfc), no extrapolation",°C/100 m,eligible,1999–2026,17991,0,-0.41228774778197996,-0.4980163754537018,-1.3225602599981947,1.221835652750166,-0.6525616171873663,-0.23209395163162047,8938,9053,0,17991,19996
02_gamma_sfc_P,type03_gamma_annual_cycle_850_700_500,gamma_sfc_500,"100*(T_500-T_sfc)/(H_500-H_sfc), no extrapolation",°C/100 m,eligible,1999–2026,17991,0,-0.500018156856399,-0.5352287567706444,-0.9267709030439458,0.2971831284892484,-0.6225110039823935,-0.4033781432384086,8938,9053,0,17991,19996
03_gamma_local,gamma_local_month_height_median,gamma_local_median,median over intervals: 100*ΔT/Δz,°C/100 m,eligible,1999–2026,132,0,-0.3640748776945244,-0.5089769740071304,-0.972762645914398,1.2054393102780196,-0.6419615829974901,-0.21374285208936028,8938,9053,0,17991,19996
03_gamma_local,gamma_local_month_height_median,gamma_local_intervals,100*(T_{i+1}-T_i)/(z_{i+1}-z_i),°C/100 m,eligible,1999–2026,163729,0,-0.2688398348158802,-0.492610837438391,-5800.000000005287,2999.999999989086,-0.7474889044615743,0.0,8938,9053,0,17991,19996
04_multilayer,n_layers_histogram,n_inversion_layers,count v3 layers per eligible profile,count,eligible,1999–2026,17991,0,1.1114446111944862,1.0,0.0,6.0,0.0,2.0,8938,9053,0,17991,19996
06_extra,violin_depth_by_month,depth_m,layer depth_m,m,eligible,1999–2026,19996,0,331.7587517503501,236.5,0.0999999999994543,2860.6,133.20000000000027,395.5,8938,9053,0,17991,19996
diagnostic,qc_depth_histogram,depth_m,same as 01/06 depth_m,m,eligible,1999–2026,19996,0,331.7587517503501,236.5,0.0999999999994543,2860.6,133.20000000000027,395.5,8938,9053,0,17991,19996
02_gamma_sfc_P,type03_gamma_annual_cycle_850_700_500,gamma_sfc_850,shared compute_sfc_level_gamma,°C/100 m,eligible,1999–2026,17991,0,-0.29215132526420035,-0.4716263502205943,-4.817371297095196,4.940937380922136,-0.7000259268861853,-0.06188610878272788,8938,9053,0,17991,19996
diagnostic,qc_eligible_counts,gamma_sfc_850,shared compute_sfc_level_gamma,°C/100 m,eligible,1999–2026,17991,0,-0.29215132526420035,-0.4716263502205943,-4.817371297095196,4.940937380922136,-0.7000259268861853,-0.06188610878272788,8938,9053,0,17991,19996
