month,bin_left,bin_right,n_layers,n_profiles,n_eligible,frequency_percent
1,0.0,50.0,865,865,1511,57.246856386499005
1,50.0,100.0,13,13,1511,0.8603573792190602
1,100.0,150.0,15,15,1511,0.9927200529450695
1,150.0,250.0,44,44,1511,2.911978821972204
1,250.0,400.0,59,59,1511,3.9046988749172735
1,400.0,600.0,146,146,1511,9.662475181998676
1,600.0,800.0,216,216,1511,14.295168762409
1,800.0,1000.0,152,152,1511,10.059563203176705
1,1000.0,1500.0,226,226,1511,14.956982131039046
1,1500.0,2000.0,158,158,1511,10.456651224354731
1,2000.0,3000.0,310,300,1511,19.85440105890139
1,3000.0,4500.0,234,230,1511,15.221707478491066
1,4500.0,,126,126,1511,8.338848444738584
2,0.0,50.0,828,828,1388,59.654178674351584
2,50.0,100.0,4,4,1388,0.2881844380403458
2,100.0,150.0,8,8,1388,0.5763688760806917
2,150.0,250.0,19,19,1388,1.3688760806916427
2,250.0,400.0,38,38,1388,2.7377521613832854
2,400.0,600.0,80,80,1388,5.763688760806916
2,600.0,800.0,178,178,1388,12.82420749279539
2,800.0,1000.0,145,145,1388,10.446685878962535
2,1000.0,1500.0,228,226,1388,16.282420749279538
2,1500.0,2000.0,106,105,1388,7.564841498559078
2,2000.0,3000.0,289,281,1388,20.244956772334294
2,3000.0,4500.0,240,230,1388,16.570605187319885
2,4500.0,,102,102,1388,7.348703170028818
3,0.0,50.0,878,878,1509,58.184227965540096
3,50.0,100.0,5,5,1509,0.3313452617627568
3,100.0,150.0,7,7,1509,0.4638833664678595
3,150.0,250.0,12,12,1509,0.7952286282306164
3,250.0,400.0,21,21,1509,1.3916500994035785
3,400.0,600.0,31,31,1509,2.054340622929092
3,600.0,800.0,49,49,1509,3.2471835652750167
3,800.0,1000.0,55,55,1509,3.6447978793903246
3,1000.0,1500.0,167,166,1509,11.000662690523525
3,1500.0,2000.0,98,98,1509,6.4943671305500335
3,2000.0,3000.0,242,234,1509,15.506958250497018
3,3000.0,4500.0,170,166,1509,11.000662690523525
3,4500.0,,197,197,1509,13.055003313452618
4,0.0,50.0,411,411,1460,28.15068493150685
4,50.0,100.0,17,17,1460,1.1643835616438356
4,100.0,150.0,1,1,1460,0.0684931506849315
4,150.0,250.0,6,6,1460,0.410958904109589
4,250.0,400.0,17,17,1460,1.1643835616438356
4,400.0,600.0,22,22,1460,1.5068493150684932
4,600.0,800.0,39,39,1460,2.671232876712329
4,800.0,1000.0,26,26,1460,1.7808219178082192
4,1000.0,1500.0,88,88,1460,6.027397260273973
4,1500.0,2000.0,126,126,1460,8.63013698630137
4,2000.0,3000.0,262,257,1460,17.602739726027398
4,3000.0,4500.0,90,88,1460,6.027397260273973
4,4500.0,,216,216,1460,14.794520547945206
5,0.0,50.0,147,147,1578,9.315589353612168
5,50.0,100.0,11,11,1578,0.697084917617237
5,100.0,150.0,5,5,1578,0.31685678073510776
5,150.0,250.0,9,9,1578,0.5703422053231939
5,250.0,400.0,23,23,1578,1.4575411913814955
5,400.0,600.0,23,23,1578,1.4575411913814955
5,600.0,800.0,43,43,1578,2.7249683143219263
