month,bin_left,bin_right,n_layers,n_profiles,n_eligible,frequency_percent
1,0.0,50.0,164,158,1511,10.456651224354731
1,50.0,100.0,142,133,1511,8.802117802779616
1,100.0,150.0,194,185,1511,12.243547319655857
1,150.0,250.0,429,397,1511,26.273990734612838
1,250.0,400.0,574,499,1511,33.02448709463931
1,400.0,600.0,350,324,1511,21.4427531436135
1,600.0,800.0,269,261,1511,17.273328921244207
1,800.0,1200.0,241,238,1511,15.751158173395103
1,1200.0,2000.0,180,180,1511,11.912640635340834
1,2000.0,,21,21,1511,1.3898080741230974
2,0.0,50.0,157,140,1388,10.086455331412104
2,50.0,100.0,178,164,1388,11.815561959654179
2,100.0,150.0,206,192,1388,13.832853025936599
2,150.0,250.0,486,432,1388,31.123919308357348
2,250.0,400.0,496,440,1388,31.70028818443804
2,400.0,600.0,277,259,1388,18.659942363112393
2,600.0,800.0,199,197,1388,14.193083573487032
2,800.0,1200.0,160,159,1388,11.455331412103746
2,1200.0,2000.0,102,102,1388,7.348703170028818
2,2000.0,,4,4,1388,0.2881844380403458
3,0.0,50.0,182,170,1509,11.265738899933732
3,50.0,100.0,207,192,1509,12.723658051689862
3,100.0,150.0,233,218,1509,14.446653412856197
3,150.0,250.0,553,499,1509,33.068257123923125
3,250.0,400.0,435,395,1509,26.176275679257788
3,400.0,600.0,172,164,1509,10.868124585818423
3,600.0,800.0,86,84,1509,5.566600397614314
3,800.0,1200.0,54,54,1509,3.5785288270377733
3,1200.0,2000.0,10,10,1509,0.6626905235255136
3,2000.0,,0,0,1509,0.0
4,0.0,50.0,169,161,1460,11.027397260273972
4,50.0,100.0,210,197,1460,13.493150684931507
4,100.0,150.0,220,207,1460,14.178082191780822
4,150.0,250.0,368,335,1460,22.945205479452056
4,250.0,400.0,227,215,1460,14.726027397260275
4,400.0,600.0,76,74,1460,5.068493150684931
4,600.0,800.0,35,35,1460,2.3972602739726026
4,800.0,1200.0,12,12,1460,0.821917808219178
4,1200.0,2000.0,4,4,1460,0.273972602739726
4,2000.0,,0,0,1460,0.0
5,0.0,50.0,119,117,1578,7.414448669201521
5,50.0,100.0,117,112,1578,7.097591888466413
5,100.0,150.0,126,122,1578,7.731305449936628
5,150.0,250.0,272,263,1578,16.666666666666668
5,250.0,400.0,195,189,1578,11.977186311787072
5,400.0,600.0,59,59,1578,3.738910012674271
5,600.0,800.0,19,19,1578,1.2040557667934093
5,800.0,1200.0,15,15,1578,0.9505703422053232
5,1200.0,2000.0,1,1,1578,0.06337135614702155
5,2000.0,,0,0,1578,0.0
6,0.0,50.0,59,58,1526,3.800786369593709
6,50.0,100.0,78,76,1526,4.980340760157274
6,100.0,150.0,107,101,1526,6.618610747051114
6,150.0,250.0,285,268,1526,17.562254259501966
6,250.0,400.0,132,128,1526,8.387942332896461
6,400.0,600.0,66,65,1526,4.259501965923985
6,600.0,800.0,14,14,1526,0.9174311926605505
6,800.0,1200.0,1,1,1526,0.0655307994757536
6,1200.0,2000.0,1,1,1526,0.0655307994757536
6,2000.0,,0,0,1526,0.0
7,0.0,50.0,54,54,1520,3.5526315789473686
7,50.0,100.0,98,95,1520,6.25
7,100.0,150.0,107,104,1520,6.842105263157895
7,150.0,250.0,359,336,1520,22.105263157894736
7,250.0,400.0,180,176,1520,11.578947368421053
7,400.0,600.0,53,52,1520,3.4210526315789473
7,600.0,800.0,14,14,1520,0.9210526315789473
7,800.0,1200.0,4,4,1520,0.2631578947368421
7,1200.0,2000.0,0,0,1520,0.0
7,2000.0,,0,0,1520,0.0
8,0.0,50.0,71,69,1495,4.615384615384615
8,50.0,100.0,128,126,1495,8.42809364548495
8,100.0,150.0,205,198,1495,13.244147157190636
8,150.0,250.0,470,429,1495,28.695652173913043
8,250.0,400.0,273,257,1495,17.190635451505017
8,400.0,600.0,88,87,1495,5.8193979933110365
8,600.0,800.0,17,17,1495,1.137123745819398
8,800.0,1200.0,3,3,1495,0.20066889632107024
8,1200.0,2000.0,0,0,1495,0.0
8,2000.0,,0,0,1495,0.0
9,0.0,50.0,100,98,1471,6.662134602311353
9,50.0,100.0,172,164,1471,11.14887831407206
9,100.0,150.0,188,180,1471,12.236573759347383
9,150.0,250.0,488,426,1471,28.959891230455472
9,250.0,400.0,310,289,1471,19.64649898028552
9,400.0,600.0,133,131,1471,8.905506458191706
9,600.0,800.0,30,30,1471,2.0394289598912305
9,800.0,1200.0,11,11,1471,0.7477906186267845
9,1200.0,2000.0,2,2,1471,0.13596193065941536
9,2000.0,,0,0,1471,0.0
10,0.0,50.0,181,174,1531,11.365120836054865
10,50.0,100.0,185,175,1531,11.430437622468974
