year,1,2,3,4,5,6,7,8,9,10,11,12
1999,,,,,,,,,,0.0,0.0,0.0
2000,4.761904761904762,0.0,0.0,5.555555555555555,2.7027027027027026,0.0,7.142857142857142,7.4074074074074066,0.0,0.0,6.666666666666667,3.3333333333333335
2001,13.333333333333334,11.11111111111111,3.8461538461538463,3.4482758620689653,3.278688524590164,3.4482758620689653,6.779661016949152,2.2222222222222223,1.7543859649122806,1.6129032258064515,1.6666666666666667,1.5873015873015872
2002,4.918032786885246,0.0,3.7037037037037033,1.8181818181818181,3.278688524590164,1.7543859649122806,2.2222222222222223,1.639344262295082,5.084745762711865,4.838709677419355,1.6666666666666667,3.225806451612903
2003,1.6129032258064515,3.6363636363636362,1.639344262295082,0.0,2.127659574468085,1.694915254237288,6.557377049180328,1.7543859649122806,3.571428571428571,0.0,0.0,3.225806451612903
2004,3.3333333333333335,3.8461538461538463,6.666666666666667,0.0,0.0,3.571428571428571,0.0,3.225806451612903,7.142857142857142,0.0,3.4482758620689653,0.0
2005,3.278688524590164,0.0,0.0,1.7241379310344827,3.3333333333333335,0.0,2.380952380952381,1.694915254237288,1.6666666666666667,1.694915254237288,1.7241379310344827,5.172413793103448
2006,0.0,0.0,0.0,3.508771929824561,0.0,3.3333333333333335,1.639344262295082,3.278688524590164,1.6666666666666667,1.694915254237288,1.6666666666666667,4.918032786885246
2007,0.0,0.0,4.918032786885246,0.0,0.0,5.0,1.6129032258064515,3.3333333333333335,5.0,9.67741935483871,5.0,0.0
2008,5.0,0.0,3.278688524590164,3.571428571428571,0.0,3.3333333333333335,3.3333333333333335,1.7241379310344827,0.0,1.639344262295082,1.6666666666666667,3.278688524590164
2009,3.278688524590164,0.0,0.0,0.0,0.0,3.4482758620689653,1.639344262295082,5.084745762711865,3.3333333333333335,3.225806451612903,0.0,12.903225806451612
2010,3.389830508474576,5.357142857142857,3.225806451612903,1.6666666666666667,0.0,1.694915254237288,0.0,3.225806451612903,1.6666666666666667,0.0,8.333333333333332,6.451612903225806
2011,1.639344262295082,3.571428571428571,1.6129032258064515,0.0,0.0,1.694915254237288,3.225806451612903,1.639344262295082,1.6666666666666667,1.6129032258064515,1.6666666666666667,1.6129032258064515
2012,8.064516129032258,0.0,0.0,1.6666666666666667,1.6129032258064515,0.0,3.389830508474576,0.0,1.6666666666666667,0.0,10.344827586206897,3.278688524590164
2013,3.225806451612903,5.357142857142857,0.0,6.666666666666667,1.639344262295082,3.4482758620689653,1.7241379310344827,3.389830508474576,0.0,3.3333333333333335,3.4482758620689653,1.6129032258064515
2014,8.47457627118644,0.0,0.0,1.694915254237288,3.278688524590164,0.0,3.3333333333333335,3.3333333333333335,1.7241379310344827,1.639344262295082,3.3333333333333335,3.225806451612903
2015,3.225806451612903,7.142857142857142,3.225806451612903,0.0,0.0,1.7543859649122806,1.6666666666666667,3.278688524590164,0.0,0.0,6.666666666666667,3.225806451612903
2016,5.0,1.7241379310344827,1.639344262295082,1.694915254237288,1.6129032258064515,3.389830508474576,1.639344262295082,6.666666666666667,5.084745762711865,1.6129032258064515,1.6666666666666667,3.3333333333333335
2017,9.67741935483871,0.0,1.6129032258064515,0.0,0.0,8.620689655172415,1.639344262295082,1.6666666666666667,0.0,1.6129032258064515,0.0,4.838709677419355
2018,6.451612903225806,0.0,1.6129032258064515,0.0,0.0,1.6666666666666667,6.451612903225806,8.064516129032258,3.3333333333333335,1.6129032258064515,3.3333333333333335,4.838709677419355
2019,6.451612903225806,0.0,0.0,3.389830508474576,4.918032786885246,3.3333333333333335,3.3333333333333335,4.838709677419355,1.694915254237288,0.0,1.6666666666666667,3.225806451612903
2020,6.451612903225806,5.263157894736842,0.0,0.0,3.278688524590164,3.389830508474576,5.0,12.903225806451612,1.6666666666666667,4.838709677419355,0.0,6.451612903225806
2021,1.6129032258064515,3.6363636363636362,1.6129032258064515,1.6666666666666667,3.278688524590164,0.0,1.6129032258064515,0.0,7.142857142857142,1.6129032258064515,5.0,1.6129032258064515
2022,3.225806451612903,1.7857142857142856,1.639344262295082,1.694915254237288,1.6129032258064515,3.4482758620689653,3.225806451612903,0.0,0.0,1.6129032258064515,3.3333333333333335,4.838709677419355
2023,4.918032786885246,3.571428571428571,0.0,3.3333333333333335,0.0,0.0,6.451612903225806,1.6129032258064515,3.3333333333333335,3.225806451612903,0.0,13.114754098360656
2024,4.918032786885246,3.4482758620689653,3.225806451612903,5.0,4.918032786885246,3.389830508474576,4.838709677419355,6.451612903225806,5.0,1.6129032258064515,10.0,1.6129032258064515
2025,17.741935483870968,8.928571428571429,6.557377049180328,1.694915254237288,4.918032786885246,0.0,3.225806451612903,1.694915254237288,5.084745762711865,4.838709677419355,6.666666666666667,6.557377049180328
2026,15.686274509803921,2.0,4.838709677419355,5.172413793103448,8.333333333333332,5.172413793103448,13.157894736842104,,,,,
