profile_id,datetime_utc,date,year,month,cycle,season,gamma_local_c_100m,z_mid_agl_m,dz_m,dt_c
31004_19991126_1200_12,1999-11-26 12:00:00,1999-11-26,1999,11,12,SON,20.833333333333858,4397.8,14.399999999999636,3.0
31004_19991210_1200_12,1999-12-10 12:00:00,1999-12-10,1999,12,12,DJF,-28.571428571428573,2035.8000000000002,7.0,-2.0
31004_19991210_1200_12,1999-12-10 12:00:00,1999-12-10,1999,12,12,DJF,111.76470588236523,4322.2,3.399999999999636,3.8000000000000114
31004_20000104_1200_12,2000-01-04 12:00:00,2000-01-04,2000,1,12,DJF,23.03664921465956,179.04999999999995,19.100000000000023,4.399999999999981
31004_20000114_1200_12,2000-01-14 12:00:00,2000-01-14,2000,1,12,DJF,-24.24242424242282,2146.0,6.600000000000364,-1.5999999999999943
31004_20000205_1200_12,2000-02-05 12:00:00,2000-02-05,2000,2,12,DJF,52.17391304347812,141.79999999999995,4.600000000000023,2.4000000000000057
31004_20000216_1200_12,2000-02-16 12:00:00,2000-02-16,2000,2,12,DJF,-28.571428571428573,2167.55,3.5,-1.0
31004_20000506_1200_12,2000-05-06 12:00:00,2000-05-06,2000,5,12,MAM,49.99999999998579,2199.1000000000004,0.40000000000009095,0.19999999999998863
31004_20000820_1200_12,2000-08-20 12:00:00,2000-08-20,2000,8,12,JJA,-33.73702422145331,98.5,57.799999999999955,-19.5
31004_20001029_1200_12,2000-10-29 12:00:00,2000-10-29,2000,10,12,SON,-16.129032258063805,4384.4,12.400000000000546,-2.0
31004_20001108_1200_12,2000-11-08 12:00:00,2000-11-08,2000,11,12,SON,-28.571428571428573,2167.55,3.5,-1.0
31004_20001203_1200_12,2000-12-03 12:00:00,2000-12-03,2000,12,12,DJF,18.09045226130642,659.45,19.90000000000009,3.5999999999999943
31004_20001205_1200_12,2000-12-05 12:00:00,2000-12-05,2000,12,12,DJF,108.33333333330846,4541.9,2.4000000000005457,2.5999999999999943
31004_20010108_1200_12,2001-01-08 12:00:00,2001-01-08,2001,1,12,DJF,26.388888888889635,4568.0,14.399999999999636,3.8000000000000114
31004_20010110_1200_12,2001-01-10 12:00:00,2001-01-10,2001,1,12,DJF,46.428571428570194,636.5999999999999,5.600000000000136,2.5999999999999943
31004_20010114_1200_12,2001-01-14 12:00:00,2001-01-14,2001,1,12,DJF,-23.80952380952484,4454.4,12.599999999999454,-3.0
31004_20010123_1200_12,2001-01-23 12:00:00,2001-01-23,2001,1,12,DJF,15.384615384617739,2129.95,1.2999999999997272,0.19999999999998863
31004_20010206_1200_12,2001-02-06 12:00:00,2001-02-06,2001,2,12,DJF,23.25581395348985,2011.4499999999998,4.299999999999727,1.0
