profile_id,year,month,cycle,season,gamma_local_c_100m,z_mid_agl_m,dz_m,dt_c
31004_19991001_1200_12,1999,10,12,SON,-0.9124087591240874,54.799999999999955,109.60000000000002,-1.0
31004_19991001_1200_12,1999,10,12,SON,-0.7692307692307255,122.60000000000002,26.0,-0.19999999999998863
31004_19991001_1200_12,1999,10,12,SON,-0.7258955341644261,452.45000000000005,633.6999999999999,-4.599999999999968
31004_19991001_1200_12,1999,10,12,SON,-0.6029684601113179,1416.1,1293.6000000000001,-7.80000000000001
31004_19991001_1200_12,1999,10,12,SON,-1.072386058981235,2156.15,186.5,-2.0000000000000036
31004_19991001_1200_12,1999,10,12,SON,-0.17789637536135383,2474.25,449.6999999999998,-0.8000000000000078
31004_19991001_1200_12,1999,10,12,SON,0.46816479400749084,2805.8999999999996,213.5999999999999,1.0
31004_19991001_1200_12,1999,10,12,SON,-0.4290311047550939,3332.25,839.1000000000004,-3.5999999999999943
31004_19991001_1200_12,1999,10,12,SON,-0.8490566037735858,4069.8,636.0,-5.400000000000006
31004_19991001_1200_12,1999,10,12,SON,-0.9285051067780888,4549.35,323.09999999999945,-3.0
31004_19991002_1200_12,1999,10,12,SON,-0.7537688442211339,39.799999999999955,79.60000000000002,-0.6000000000000227
31004_19991002_1200_12,1999,10,12,SON,-0.42105263157892253,103.35000000000002,47.5,-0.1999999999999882
31004_19991002_1200_12,1999,10,12,SON,-0.7839294463498303,433.25,612.3000000000001,-4.800000000000011
31004_19991002_1200_12,1999,10,12,SON,-0.6101746624971398,1394.9499999999998,1311.1,-8.0
31004_19991002_1200_12,1999,10,12,SON,-1.302545885139128,2134.95,168.9000000000001,-2.1999999999999886
31004_19991002_1200_12,1999,10,12,SON,-0.5410686105057482,2884.75,1330.7000000000003,-7.199999999999992
31004_19991002_1200_12,1999,10,12,SON,-0.4178757980266999,3980.8500000000004,861.5,-3.600000000000019
31004_19991002_1200_12,1999,10,12,SON,-1.6044925792218259,4536.25,249.29999999999927,-4.0
31004_19991003_1200_12,1999,10,12,SON,-0.5050505050504761,19.799999999999955,39.60000000000002,-0.19999999999998863
31004_19991003_1200_12,1999,10,12,SON,-0.22675736961449977,83.70000000000005,88.19999999999993,-0.19999999999998863
31004_19991003_1200_12,1999,10,12,SON,-0.5845942228335586,418.5999999999999,581.6000000000001,-3.3999999999999773
31004_19991003_1200_12,1999,10,12,SON,-0.5859375000000009,1375.0,1331.1999999999998,-7.800000000000011
31004_19991003_1200_12,1999,10,12,SON,-1.2602394454946417,2119.95,158.70000000000027,-2.0
31004_19991003_1200_12,1999,10,12,SON,-0.42498937526561914,2434.6000000000004,470.5999999999999,-2.0000000000000036
31004_19991003_1200_12,1999,10,12,SON,-0.4972650422675287,3675.3999999999996,2010.9999999999995,-10.0
31004_19991004_1200_12,1999,10,12,SON,-1.0204081632655415,9.799999999999955,19.600000000000023,-0.20000000000004636
31004_19991004_1200_12,1999,10,12,SON,-0.5097706032285185,78.45000000000005,117.69999999999993,-0.5999999999999659
31004_19991004_1200_12,1999,10,12,SON,-0.3738317757009399,244.29999999999995,214.0,-0.8000000000000114
31004_19991004_1200_12,1999,10,12,SON,0.0914913083257038,460.5999999999999,218.60000000000014,0.19999999999998863
31004_19991004_1200_12,1999,10,12,SON,-0.7305936073059465,624.6500000000001,109.5,-0.8000000000000114
31004_19991004_1200_12,1999,10,12,SON,-0.5000337860666245,1419.3500000000004,1479.9,-7.399999999999977
31004_19991004_1200_12,1999,10,12,SON,-0.3035822707953859,2324.0,329.39999999999964,-1.0
31004_19991004_1200_12,1999,10,12,SON,-0.53228962818004,3127.45,1277.5,-6.800000000000011
31004_19991004_1200_12,1999,10,12,SON,-0.4680552305172008,4193.5,854.6000000000004,-4.0
31004_19991005_1200_12,1999,10,12,SON,4.52261306532666,39.799999999999955,79.60000000000002,3.6000000000000227
31004_19991005_1200_12,1999,10,12,SON,2.8268551236748505,107.90000000000009,56.60000000000002,1.599999999999966
31004_19991005_1200_12,1999,10,12,SON,-0.7417397167902858,432.8000000000002,593.2,-4.3999999999999755
31004_19991005_1200_12,1999,10,12,SON,-0.5797101449275371,1195.15,931.5,-5.4000000000000075
31004_19991005_1200_12,1999,10,12,SON,0.5070292694169194,1877.8500000000004,433.9000000000001,2.2000000000000135
31004_19991005_1200_12,1999,10,12,SON,-0.9467455621301868,2137.05,84.5,-0.8000000000000078
31004_19991005_1200_12,1999,10,12,SON,-0.371138521995416,3095.4,1832.1999999999998,-6.800000000000011
31004_19991005_1200_12,1999,10,12,SON,-0.9042467301792334,4321.15,619.3000000000002,-5.599999999999994
31004_19991006_1200_12,1999,10,12,SON,3.378378378378376,14.799999999999955,29.600000000000023,1.0
31004_19991006_1200_12,1999,10,12,SON,2.8484231943031104,78.75,98.29999999999995,2.7999999999999563
31004_19991006_1200_12,1999,10,12,SON,-0.652765185856748,403.6500000000001,551.5000000000001,-3.599999999999966
31004_19991006_1200_12,1999,10,12,SON,-0.47244094488189137,1377.9,1397.0,-6.600000000000023
31004_19991006_1200_12,1999,10,12,SON,-1.9204389574759657,2112.8500000000004,72.90000000000009,-1.3999999999999808
31004_19991006_1200_12,1999,10,12,SON,-0.2031230163767957,2543.15,787.6999999999998,-1.6000000000000192
31004_19991006_1200_12,1999,10,12,SON,-0.2872187649593078,3041.45,208.9000000000001,-0.5999999999999943
31004_19991006_1200_12,1999,10,12,SON,-0.18735362997658345,3252.65,213.5,-0.4000000000000057
31004_19991006_1200_12,1999,10,12,SON,-0.27485112230874714,3468.55,218.29999999999973,-0.5999999999999943
31004_19991006_1200_12,1999,10,12,SON,-0.6646466621053645,4089.25,1023.1000000000004,-6.7999999999999865
31004_19991007_1200_12,1999,10,12,SON,-0.15564202334629465,64.25,128.5,-0.19999999999998863
31004_19991007_1200_12,1999,10,12,SON,-0.5650781691467318,393.95000000000005,530.9000000000001,-3.0
31004_19991007_1200_12,1999,10,12,SON,-0.3343860300947448,928.5500000000002,538.3,-1.8000000000000114
31004_19991007_1200_12,1999,10,12,SON,0.38628681796234143,1301.25,207.10000000000014,0.8000000000000096
31004_19991007_1200_12,1999,10,12,SON,-0.3711066931742889,1782.0500000000002,754.5,-2.8000000000000096
31004_19991007_1200_12,1999,10,12,SON,-0.3713817586018606,2617.05,915.5,-3.400000000000034
31004_19991007_1200_12,1999,10,12,SON,-0.5418326693227078,3702.3,1255.0,-6.799999999999983
31004_19991007_1200_12,1999,10,12,SON,0.0,4429.700000000001,199.80000000000018,0.0
31004_19991007_1200_12,1999,10,12,SON,-0.9907997169143757,4600.25,141.29999999999927,-1.4000000000000057
31004_19991008_1200_12,1999,10,12,SON,1.0033444816053418,59.799999999999955,119.60000000000002,1.199999999999989
31004_19991008_1200_12,1999,10,12,SON,-0.6298629121897061,389.5,539.8000000000001,-3.400000000000034
31004_19991008_1200_12,1999,10,12,SON,-0.7499999999999574,699.4000000000001,80.0,-0.5999999999999659
31004_19991008_1200_12,1999,10,12,SON,-0.9388924252068802,1053.6,628.3999999999999,-5.900000000000034
31004_19991008_1200_12,1999,10,12,SON,-0.6573341448569657,1778.5500000000002,821.5000000000002,-5.3999999999999755
31004_19991008_1200_12,1999,10,12,SON,-0.45814641595876815,2713.15,1047.6999999999998,-4.800000000000013
31004_19991008_1200_12,1999,10,12,SON,-0.38993955936829783,3749.8999999999996,1025.8000000000002,-4.0
31004_19991008_1200_12,1999,10,12,SON,-0.8295132067234201,4491.85,458.09999999999945,-3.799999999999983
31004_19991009_1200_12,1999,10,12,SON,-0.31007751937987105,64.5,129.0,-0.40000000000003366
31004_19991009_1200_12,1999,10,12,SON,-0.6857366771159873,384.20000000000005,510.4000000000001,-3.5
31004_19991009_1200_12,1999,10,12,SON,-0.6301197227473221,1115.5,952.1999999999998,-6.0
31004_19991009_1200_12,1999,10,12,SON,-0.5636779989431012,1875.4499999999998,567.7000000000003,-3.199999999999987
31004_19991009_1200_12,1999,10,12,SON,-0.34115138592751054,2393.8,469.0,-1.6000000000000245
31004_19991009_1200_12,1999,10,12,SON,-0.462534690101758,2736.4,216.19999999999982,-1.0
