profile_id,year,month,cycle,season,t_surface_c,h_surface_m,p_surface_hpa,t_850_c,h_850_m,delta_t_surface_850,delta_h_surface_850,gamma_sfc_850,t_700_c,h_700_m,delta_t_surface_700,delta_h_surface_700,gamma_sfc_700,t_500_c,h_500_m,delta_t_surface_500,delta_h_surface_500,gamma_sfc_500
31004_19991001_1200_12,1999,10,12,SON,-3.5,680.0,939.0,-9.299999999999956,1449.3,-5.799999999999956,769.3,-0.7539321461068448,-19.09999999999997,2929.4,-15.59999999999997,2249.4,-0.6935182715390757,-30.899999999999977,5390.9,-27.399999999999977,4710.9,-0.5816298371860998
31004_19991002_1200_12,1999,10,12,SON,-3.099999999999966,680.0,935.0,-8.699999999999989,1419.4,-5.600000000000023,739.4000000000001,-0.7573708412226159,-18.899999999999977,2899.4,-15.800000000000011,2219.4,-0.7119041182301528,-33.69999999999999,5340.9,-30.600000000000023,4660.9,-0.656525563732327
31004_19991003_1200_12,1999,10,12,SON,-2.5,680.0,930.0,-6.2999999999999545,1389.4,-3.7999999999999545,709.4000000000001,-0.5356639413588884,-16.099999999999966,2879.3,-13.599999999999966,2199.3,-0.6183785750011351,-28.09999999999997,5360.9,-25.59999999999997,4680.9,-0.546903373282915
31004_19991004_1200_12,1999,10,12,SON,-7.299999999999954,680.0,928.0,-9.5,1359.4,-2.2000000000000464,679.4000000000001,-0.3238151309979461,-16.899999999999977,2839.3,-9.600000000000023,2159.3,-0.44458852405872373,-28.69999999999999,5300.8,-21.400000000000034,4620.8,-0.4631232686980617
31004_19991005_1200_12,1999,10,12,SON,-15.699999999999989,680.0,935.0,-14.899999999999975,1409.4,0.8000000000000131,729.4000000000001,0.10967918837400781,-18.899999999999977,2859.3,-3.1999999999999886,2179.3,-0.14683614004496803,-31.299999999999983,5310.8,-15.599999999999994,4630.8,-0.33687483804094315
31004_19991006_1200_12,1999,10,12,SON,-12.299999999999956,680.0,929.0,-12.099999999999966,1359.4,0.1999999999999904,679.4000000000001,0.029437739181629435,-20.09999999999997,2829.3,-7.800000000000013,2149.3,-0.36290885404550377,-30.09999999999997,5280.8,-17.80000000000001,4600.8,-0.3868892366544951
31004_19991007_1200_12,1999,10,12,SON,-5.099999999999966,680.0,925.0,-8.299999999999955,1339.4,-3.1999999999999886,659.4000000000001,-0.4852896572641778,-12.099999999999966,2839.3,-7.0,2159.3,-0.32417913212615196,-23.69999999999999,5350.9,-18.600000000000023,4670.9,-0.3982101950373595
31004_19991008_1200_12,1999,10,12,SON,3.200000000000045,680.0,922.0,1.0,1339.4,-2.200000000000045,659.4000000000001,-0.3336366393691302,-10.899999999999975,2869.3,-14.100000000000021,2189.3,-0.644041474443887,-23.49999999999997,5400.9,-26.700000000000017,4720.9,-0.5655701243406982
31004_19991009_1200_12,1999,10,12,SON,2.200000000000045,680.0,921.0,-1.6999999999999886,1319.4,-3.9000000000000337,639.4000000000001,-0.6099468251485819,-10.899999999999975,2839.3,-13.100000000000021,2159.3,-0.6066780901217996,-25.299999999999983,5350.9,-27.50000000000003,4670.9,-0.5887516324477088
31004_19991010_1200_12,1999,10,12,SON,0.0,680.0,924.0,-0.5,1349.4,-0.5,669.4000000000001,-0.07469375560203166,-11.099999999999966,2859.3,-11.099999999999966,2179.3,-0.5093378607809831,-29.899999999999977,5350.9,-29.899999999999977,4670.9,-0.6401335930976895
31004_19991011_1200_12,1999,10,12,SON,-4.2999999999999545,680.0,922.0,-4.699999999999989,1319.4,-0.4000000000000341,639.4000000000001,-0.06255864873319268,-9.299999999999956,2839.3,-5.000000000000002,2159.3,-0.2315565229472515,-26.09999999999997,5360.9,-21.800000000000015,4680.9,-0.4657224038112332
31004_19991012_1200_12,1999,10,12,SON,-9.699999999999989,680.0,927.0,-15.5,1339.4,-5.800000000000011,659.4000000000001,-0.879587503791327,-18.299999999999983,2799.3,-8.599999999999994,2119.3,-0.4057943660642662,-28.09999999999997,5280.8,-18.39999999999998,4600.8,-0.39993044687880325
