month,n_profiles,median_850,q25_850,q75_850,n_850,median_700,q25_700,q75_700,n_700,median_500,q25_500,q75_500,n_500
1,1511,0.1440092165898615,-0.3421770644976314,0.7601511859636151,1511,-0.030591954316014594,-0.30654481000161443,0.22217738451152924,1511,-0.30626491915506954,-0.44061951745348804,-0.19241366636295598,1511
2,1388,-0.054689636313919286,-0.47246994695157196,0.49277083081314477,1388,-0.1500340614197478,-0.3669106140508186,0.05968746315726075,1388,-0.359275814491471,-0.46502411715022124,-0.25691500978038784,1388
3,1509,-0.274641440341769,-0.5940888162780336,0.08238363311821974,1509,-0.4347235429968763,-0.5962239152037095,-0.23636191736787232,1509,-0.5067185449938922,-0.5920014032625854,-0.41040866224240263,1509
4,1460,-0.6337356336877125,-0.7701904571427587,-0.43926053269892706,1460,-0.6425800146980105,-0.741840500656784,-0.5146324155158398,1460,-0.6166142692404775,-0.681033286637902,-0.5542646400477521,1460
5,1578,-0.7411347088960754,-0.869772928039875,-0.5844535359438924,1578,-0.6953361695707778,-0.7955949785755956,-0.5747961182119957,1578,-0.6546437822199487,-0.7153622450062624,-0.5825160456692582,1578
6,1526,-0.714954422148208,-0.8555872439719945,-0.5537865152983525,1526,-0.7109201166042434,-0.7936176475267681,-0.6062807996476144,1526,-0.6575113548440563,-0.7100901190859352,-0.5941879093914139,1526
7,1520,-0.603336251565186,-0.7413421830631167,-0.45070729466155607,1520,-0.6373264668250089,-0.715464495776043,-0.5473782953491441,1520,-0.6028690798958637,-0.6486422153016087,-0.5477235583251588,1520
8,1495,-0.4765876325509351,-0.6128992151460224,-0.2957850628543228,1495,-0.5654040726097866,-0.6331578773465285,-0.48412960929671656,1495,-0.5727469591791303,-0.611024158974095,-0.5236800372403656,1495
9,1471,-0.44981726173741754,-0.6301691842313026,-0.18950609972758095,1471,-0.5177514792899398,-0.605767502151884,-0.41331119520531495,1471,-0.5538270068450527,-0.6061953046443413,-0.4957565539561499,1471
10,1531,-0.5317485142320889,-0.7049221332101188,-0.20972039192207148,1531,-0.46817322409291334,-0.5954393178389374,-0.316857289725632,1531,-0.518101436553983,-0.5843904281807455,-0.44714243844439483,1531
11,1477,-0.17740981667652475,-0.5634638196915756,0.3771395416303985,1477,-0.21431233693626525,-0.41173443129181597,-0.009353224524155499,1477,-0.3956308592070182,-0.49880864898568106,-0.29792804586286253,1477
12,1525,0.13563000135630002,-0.36563071297989114,0.7972833308725832,1525,-0.017901897601144624,-0.27100271002709997,0.24265300620113248,1525,-0.2889510617804888,-0.4183331034799795,-0.17945266935845683,1525
