year,1,2,3,4,5,6,7,8,9,10,11,12
1999,,,,,,,,,,80.95238095238095,100.0,84.21052631578947
2000,100.0,96.42857142857143,85.71428571428571,50.0,24.324324324324326,41.935483870967744,39.285714285714285,59.25925925925925,64.28571428571429,74.19354838709677,96.66666666666667,96.66666666666667
2001,93.33333333333333,92.5925925925926,92.3076923076923,79.3103448275862,50.81967213114754,32.758620689655174,44.06779661016949,73.33333333333333,56.14035087719298,66.12903225806451,73.33333333333333,98.4126984126984
2002,90.1639344262295,79.62962962962963,70.37037037037037,63.63636363636363,42.62295081967213,38.59649122807017,55.55555555555556,75.40983606557377,76.27118644067797,98.38709677419355,90.0,93.54838709677419
2003,91.93548387096774,94.54545454545455,68.85245901639344,56.86274509803921,48.93617021276596,45.76271186440678,36.0655737704918,50.877192982456144,64.28571428571429,63.888888888888886,93.33333333333333,74.19354838709677
2004,93.33333333333333,92.3076923076923,70.0,48.275862068965516,38.70967741935484,50.0,46.666666666666664,54.83870967741935,75.0,89.65517241379311,86.20689655172413,100.0
2005,98.36065573770492,96.42857142857143,83.05084745762711,60.3448275862069,38.333333333333336,23.214285714285715,38.095238095238095,57.6271186440678,75.0,69.49152542372882,91.37931034482759,100.0
2006,98.38709677419355,90.74074074074075,89.47368421052632,63.1578947368421,32.20338983050847,35.0,60.65573770491803,86.88524590163934,78.33333333333333,93.22033898305084,95.0,91.80327868852459
2007,87.09677419354838,94.64285714285714,88.52459016393442,62.16216216216216,45.76271186440678,45.0,51.61290322580645,51.66666666666667,78.33333333333333,72.58064516129032,75.0,94.91525423728814
2008,100.0,89.47368421052632,83.60655737704919,67.85714285714286,40.67796610169492,35.0,45.0,55.172413793103445,72.88135593220339,67.21311475409836,88.33333333333333,100.0
2009,95.08196721311475,92.45283018867924,85.24590163934425,44.06779661016949,53.333333333333336,22.413793103448278,31.147540983606557,67.79661016949152,66.66666666666666,67.74193548387096,91.66666666666666,96.7741935483871
2010,98.30508474576271,94.64285714285714,85.48387096774194,63.33333333333333,33.87096774193548,54.23728813559322,33.33333333333333,59.67741935483871,70.0,72.58064516129032,86.66666666666667,96.7741935483871
2011,91.80327868852459,80.35714285714286,69.35483870967742,55.932203389830505,43.54838709677419,30.508474576271187,48.38709677419355,63.934426229508205,53.333333333333336,64.51612903225806,91.66666666666666,100.0
2012,91.93548387096774,91.37931034482759,80.64516129032258,51.66666666666667,48.38709677419355,50.847457627118644,64.40677966101694,55.73770491803278,65.0,83.60655737704919,98.27586206896551,95.08196721311475
2013,100.0,91.07142857142857,93.44262295081968,71.66666666666667,40.98360655737705,39.6551724137931,55.172413793103445,69.49152542372882,66.10169491525424,73.33333333333333,79.3103448275862,88.70967741935483
2014,96.61016949152543,94.64285714285714,79.03225806451613,76.27118644067797,42.62295081967213,50.847457627118644,46.666666666666664,81.66666666666667,79.3103448275862,81.9672131147541,91.66666666666666,96.7741935483871
2015,83.87096774193549,96.42857142857143,77.41935483870968,68.33333333333333,52.459016393442624,33.33333333333333,48.333333333333336,73.77049180327869,75.86206896551724,87.09677419354838,88.33333333333333,82.25806451612904
2016,96.66666666666667,94.82758620689656,81.9672131147541,69.49152542372882,54.83870967741935,45.76271186440678,40.98360655737705,66.66666666666666,79.66101694915254,85.48387096774194,88.33333333333333,88.33333333333333
2017,91.93548387096774,92.72727272727272,80.64516129032258,50.847457627118644,50.0,46.55172413793103,39.34426229508197,55.00000000000001,72.41379310344827,75.80645161290323,88.33333333333333,95.16129032258065
2018,91.93548387096774,94.54545454545455,77.41935483870968,68.33333333333333,61.29032258064516,45.0,48.38709677419355,69.35483870967742,73.33333333333333,66.12903225806451,93.33333333333333,91.93548387096774
2019,87.09677419354838,83.92857142857143,85.48387096774194,66.10169491525424,52.459016393442624,36.666666666666664,56.666666666666664,67.74193548387096,66.10169491525424,62.295081967213115,98.33333333333333,96.7741935483871
2020,85.48387096774194,84.21052631578947,72.1311475409836,81.66666666666667,57.377049180327866,32.20338983050847,43.333333333333336,70.96774193548387,76.66666666666667,83.87096774193549,77.58620689655173,80.64516129032258
2021,96.7741935483871,98.18181818181819,75.80645161290323,70.0,34.42622950819672,36.206896551724135,51.61290322580645,61.29032258064516,78.57142857142857,66.12903225806451,85.0,93.54838709677419
2022,100.0,96.42857142857143,85.24590163934425,52.54237288135594,51.61290322580645,34.48275862068966,56.451612903225815,45.16129032258064,58.620689655172406,61.29032258064516,81.66666666666667,90.32258064516128
2023,90.1639344262295,82.14285714285714,77.41935483870968,61.66666666666667,56.451612903225815,50.847457627118644,54.83870967741935,75.80645161290323,80.0,83.87096774193549,93.10344827586206,98.36065573770492
2024,96.72131147540983,94.82758620689656,75.80645161290323,83.33333333333334,59.01639344262295,38.983050847457626,62.903225806451616,82.25806451612904,71.66666666666667,75.80645161290323,90.0,96.7741935483871
2025,100.0,98.21428571428571,86.88524590163934,76.27118644067797,65.57377049180327,63.33333333333333,53.2258064516129,74.57627118644068,83.05084745762711,90.32258064516128,85.0,100.0
2026,98.0392156862745,94.0,87.09677419354838,75.86206896551724,65.0,63.793103448275865,52.63157894736842,,,,,
