year,1,2,3,4,5,6,7,8,9,10,11,12
1999,,,,,,,,,,28.57142857142857,44.44444444444444,42.10526315789473
2000,33.33333333333333,53.57142857142857,52.38095238095239,11.11111111111111,2.7027027027027026,3.225806451612903,3.571428571428571,11.11111111111111,21.428571428571427,25.806451612903224,73.33333333333333,73.33333333333333
2001,53.333333333333336,55.55555555555556,53.84615384615385,13.793103448275861,8.19672131147541,6.896551724137931,6.779661016949152,20.0,14.035087719298245,29.03225806451613,33.33333333333333,55.55555555555556
2002,32.78688524590164,37.03703703703704,22.22222222222222,12.727272727272727,8.19672131147541,1.7543859649122806,13.333333333333334,21.311475409836063,23.728813559322035,46.774193548387096,46.666666666666664,50.0
2003,54.83870967741935,54.54545454545454,21.311475409836063,7.8431372549019605,8.51063829787234,6.779661016949152,4.918032786885246,3.508771929824561,17.857142857142858,27.77777777777778,40.0,45.16129032258064
2004,60.0,34.61538461538461,40.0,10.344827586206897,3.225806451612903,7.142857142857142,6.666666666666667,12.903225806451612,17.857142857142858,48.275862068965516,41.37931034482759,50.0
2005,44.26229508196721,64.28571428571429,35.59322033898305,13.793103448275861,6.666666666666667,0.0,4.761904761904762,10.16949152542373,26.666666666666668,11.864406779661017,39.6551724137931,65.51724137931035
2006,45.16129032258064,46.2962962962963,35.08771929824561,12.280701754385964,3.389830508474576,5.0,9.836065573770492,21.311475409836063,23.333333333333332,44.06779661016949,48.333333333333336,50.81967213114754
2007,54.83870967741935,48.214285714285715,40.98360655737705,27.027027027027028,13.559322033898304,8.333333333333332,6.451612903225806,18.333333333333332,20.0,29.03225806451613,35.0,38.983050847457626
2008,63.33333333333333,43.859649122807014,34.42622950819672,21.428571428571427,6.779661016949152,6.666666666666667,10.0,5.172413793103448,22.033898305084744,22.950819672131146,45.0,63.934426229508205
2009,40.98360655737705,43.39622641509434,37.704918032786885,15.254237288135593,6.666666666666667,5.172413793103448,3.278688524590164,16.94915254237288,15.0,22.58064516129032,53.333333333333336,51.61290322580645
2010,62.71186440677966,39.285714285714285,35.483870967741936,18.333333333333332,4.838709677419355,6.779661016949152,1.6666666666666667,8.064516129032258,31.666666666666664,29.03225806451613,45.0,61.29032258064516
2011,63.934426229508205,39.285714285714285,29.03225806451613,13.559322033898304,3.225806451612903,1.694915254237288,4.838709677419355,11.475409836065573,11.666666666666666,22.58064516129032,65.0,69.35483870967742
2012,54.83870967741935,56.896551724137936,29.03225806451613,16.666666666666664,11.29032258064516,10.16949152542373,6.779661016949152,11.475409836065573,10.0,44.26229508196721,44.827586206896555,52.459016393442624
2013,61.29032258064516,33.92857142857143,57.377049180327866,16.666666666666664,16.39344262295082,6.896551724137931,10.344827586206897,15.254237288135593,23.728813559322035,35.0,31.03448275862069,46.774193548387096
2014,55.932203389830505,55.35714285714286,33.87096774193548,32.20338983050847,3.278688524590164,15.254237288135593,3.3333333333333335,15.0,31.03448275862069,37.704918032786885,41.66666666666667,54.83870967741935
2015,29.03225806451613,53.57142857142857,35.483870967741936,15.0,8.19672131147541,5.263157894736842,10.0,26.229508196721312,29.310344827586203,22.58064516129032,58.333333333333336,50.0
2016,51.66666666666667,53.44827586206896,22.950819672131146,18.64406779661017,11.29032258064516,5.084745762711865,1.639344262295082,20.0,16.94915254237288,38.70967741935484,46.666666666666664,38.333333333333336
2017,43.54838709677419,52.72727272727272,40.32258064516129,13.559322033898304,11.29032258064516,3.4482758620689653,18.0327868852459,16.666666666666664,20.689655172413794,29.03225806451613,56.666666666666664,56.451612903225815
2018,53.2258064516129,52.72727272727272,27.419354838709676,36.666666666666664,11.29032258064516,6.666666666666667,11.29032258064516,12.903225806451612,23.333333333333332,32.25806451612903,50.0,59.67741935483871
2019,46.774193548387096,46.42857142857143,33.87096774193548,20.33898305084746,4.918032786885246,3.3333333333333335,15.0,19.35483870967742,25.423728813559322,22.950819672131146,70.0,54.83870967741935
2020,29.03225806451613,40.35087719298245,36.0655737704918,26.666666666666668,16.39344262295082,1.694915254237288,8.333333333333332,27.419354838709676,30.0,25.806451612903224,50.0,46.774193548387096
2021,66.12903225806451,74.54545454545455,37.096774193548384,18.333333333333332,6.557377049180328,1.7241379310344827,4.838709677419355,8.064516129032258,17.857142857142858,22.58064516129032,48.333333333333336,56.451612903225815
2022,74.19354838709677,46.42857142857143,27.86885245901639,18.64406779661017,12.903225806451612,6.896551724137931,14.516129032258066,4.838709677419355,18.96551724137931,19.35483870967742,30.0,62.903225806451616
2023,67.21311475409836,53.57142857142857,40.32258064516129,45.0,3.225806451612903,6.779661016949152,6.451612903225806,19.35483870967742,41.66666666666667,48.38709677419355,60.3448275862069,73.77049180327869
2024,72.1311475409836,63.793103448275865,38.70967741935484,43.333333333333336,4.918032786885246,10.16949152542373,12.903225806451612,37.096774193548384,26.666666666666668,38.70967741935484,60.0,80.64516129032258
2025,80.64516129032258,75.0,49.18032786885246,35.59322033898305,27.86885245901639,20.0,8.064516129032258,35.59322033898305,27.11864406779661,45.16129032258064,56.666666666666664,77.04918032786885
2026,72.54901960784314,76.0,50.0,31.03448275862069,16.666666666666664,15.517241379310345,5.263157894736842,,,,,
