month,bin_left,bin_right,n_intervals,value
1,0.0,100.0,1486,30.148048452220728
1,100.0,200.0,631,20.28526148969889
1,200.0,400.0,958,53.5490605427975
1,400.0,600.0,1045,59.90430622009569
1,600.0,800.0,879,39.81797497155859
1,800.0,1000.0,806,44.91315136476427
1,1000.0,1500.0,1462,50.41039671682627
1,1500.0,2000.0,1550,73.29032258064517
1,2000.0,3000.0,2360,71.39830508474576
1,3000.0,4000.0,1656,94.5048309178744
1,4000.0,,1267,71.50749802683505
2,0.0,100.0,1408,26.349431818181817
2,100.0,200.0,625,18.88
2,200.0,400.0,782,62.9156010230179
2,400.0,600.0,955,77.38219895287958
2,600.0,800.0,628,47.611464968152866
2,800.0,1000.0,694,58.06916426512968
2,1000.0,1500.0,1307,55.39403213465952
2,1500.0,2000.0,1346,74.81426448736998
2,2000.0,3000.0,2018,71.15956392467791
2,3000.0,4000.0,1467,94.06952965235173
2,4000.0,,1106,67.99276672694394
3,0.0,100.0,1479,22.650439486139284
3,100.0,200.0,671,17.58569299552906
3,200.0,400.0,821,71.98538367844093
3,400.0,600.0,1011,93.86745796241345
3,600.0,800.0,421,66.5083135391924
3,800.0,1000.0,466,84.12017167381974
3,1000.0,1500.0,1377,82.71604938271605
3,1500.0,2000.0,1228,81.43322475570032
3,2000.0,3000.0,2222,77.992799279928
3,3000.0,4000.0,1619,95.98517603458924
3,4000.0,,1351,71.57660991857882
4,0.0,100.0,1322,46.066565809379725
4,100.0,200.0,414,41.78743961352657
4,200.0,400.0,860,93.95348837209302
4,400.0,600.0,826,95.15738498789347
4,600.0,800.0,434,77.18894009216591
4,800.0,1000.0,342,83.91812865497076
4,1000.0,1500.0,1299,91.83987682832948
4,1500.0,2000.0,1023,81.13391984359725
4,2000.0,3000.0,2653,77.83641160949868
4,3000.0,4000.0,1687,93.4202726733847
4,4000.0,,1559,79.92302758178319
5,0.0,100.0,1297,69.69930609097918
5,100.0,200.0,287,66.89895470383276
5,200.0,400.0,973,96.30010277492292
5,400.0,600.0,792,94.6969696969697
5,600.0,800.0,508,76.96850393700787
5,800.0,1000.0,409,87.28606356968214
5,1000.0,1500.0,1267,91.55485398579322
5,1500.0,2000.0,1149,88.07658833768495
5,2000.0,3000.0,2874,82.18510786360473
5,3000.0,4000.0,1954,90.6345957011259
5,4000.0,,2005,87.73067331670823
6,0.0,100.0,1443,65.9043659043659
6,100.0,200.0,314,65.28662420382165
6,200.0,400.0,867,94.57900807381776
6,400.0,600.0,837,95.6989247311828
6,600.0,800.0,552,83.15217391304348
6,800.0,1000.0,454,89.64757709251101
6,1000.0,1500.0,1022,92.85714285714286
6,1500.0,2000.0,1206,92.45439469320065
6,2000.0,3000.0,2860,86.32867132867132
6,3000.0,4000.0,2070,90.24154589371982
6,4000.0,,2291,93.45264076822349
7,0.0,100.0,1428,57.773109243697476
7,100.0,200.0,354,46.61016949152542
7,200.0,400.0,914,91.68490153172867
7,400.0,600.0,841,94.29250891795482
7,600.0,800.0,632,79.74683544303798
7,800.0,1000.0,471,88.32271762208069
7,1000.0,1500.0,1047,92.64565425023878
7,1500.0,2000.0,1239,90.71832122679581
7,2000.0,3000.0,2823,86.00779312787814
7,3000.0,4000.0,2100,90.76190476190476
7,4000.0,,2357,93.21170980059398
8,0.0,100.0,1564,38.74680306905371
8,100.0,200.0,526,29.84790874524715
8,200.0,400.0,859,87.31082654249127
8,400.0,600.0,919,95.42981501632208
8,600.0,800.0,672,84.22619047619048
8,800.0,1000.0,432,84.49074074074075
8,1000.0,1500.0,1128,90.86879432624113
8,1500.0,2000.0,1235,88.25910931174089
8,2000.0,3000.0,3029,82.10630571145593
8,3000.0,4000.0,2025,90.5679012345679
8,4000.0,,2251,93.06974677920924
9,0.0,100.0,1505,41.12956810631229
9,100.0,200.0,546,29.853479853479854
9,200.0,400.0,845,80.11834319526628
9,400.0,600.0,930,93.97849462365592
9,600.0,800.0,595,84.36974789915966
9,800.0,1000.0,473,83.72093023255815
9,1000.0,1500.0,1283,86.36009353078722
9,1500.0,2000.0,1211,82.32865400495459
9,2000.0,3000.0,2928,81.04508196721312
9,3000.0,4000.0,1911,89.37728937728939
9,4000.0,,1970,90.55837563451776
10,0.0,100.0,1541,50.55158987670344
10,100.0,200.0,427,33.25526932084309
10,200.0,400.0,802,78.6783042394015
10,400.0,600.0,1003,90.9272183449651
10,600.0,800.0,530,65.84905660377358
10,800.0,1000.0,574,71.42857142857143
10,1000.0,1500.0,1466,78.30832196452933
10,1500.0,2000.0,1415,75.05300353356891
10,2000.0,3000.0,2718,73.80426784400295
10,3000.0,4000.0,1783,91.69938306225463
10,4000.0,,1763,81.9058423142371
11,0.0,100.0,1463,35.20164046479836
11,100.0,200.0,514,19.26070038910506
11,200.0,400.0,937,66.06189967982924
11,400.0,600.0,922,70.39045553145337
11,600.0,800.0,783,43.16730523627076
11,800.0,1000.0,740,51.75675675675676
11,1000.0,1500.0,1389,63.57091432685385
11,1500.0,2000.0,1395,75.77060931899642
11,2000.0,3000.0,2342,71.22117847993168
11,3000.0,4000.0,1611,93.97889509621353
11,4000.0,,1362,72.17327459618208
12,0.0,100.0,1501,33.97734843437708
12,100.0,200.0,603,20.23217247097844
12,200.0,400.0,1061,60.226201696512724
12,400.0,600.0,983,54.323499491353
12,600.0,800.0,963,34.994807892004154
12,800.0,1000.0,824,35.92233009708738
12,1000.0,1500.0,1435,48.153310104529616
12,1500.0,2000.0,1552,72.68041237113401
12,2000.0,3000.0,2349,68.83780332056195
12,3000.0,4000.0,1667,94.48110377924415
12,4000.0,,1316,67.5531914893617
