month,bin_left,bin_right,n_intervals,value
1,0.0,100.0,1486,59.959623149394346
1,100.0,200.0,631,70.68145800316957
1,200.0,400.0,958,42.275574112734866
1,400.0,600.0,1045,38.37320574162679
1,600.0,800.0,879,47.44027303754266
1,800.0,1000.0,806,46.15384615384615
1,1000.0,1500.0,1462,46.92202462380301
1,1500.0,2000.0,1550,23.741935483870968
1,2000.0,3000.0,2360,22.71186440677966
1,3000.0,4000.0,1656,4.710144927536232
1,4000.0,,1267,27.071823204419886
2,0.0,100.0,1408,65.55397727272727
2,100.0,200.0,625,73.92
2,200.0,400.0,782,32.608695652173914
2,400.0,600.0,955,20.209424083769633
2,600.0,800.0,628,37.738853503184714
2,800.0,1000.0,694,33.71757925072046
2,1000.0,1500.0,1307,40.85692425401683
2,1500.0,2000.0,1346,21.173848439821693
2,2000.0,3000.0,2018,22.547076313181368
2,3000.0,4000.0,1467,4.226312201772324
2,4000.0,,1106,30.560578661844485
3,0.0,100.0,1479,66.39621365787694
3,100.0,200.0,671,72.87630402384501
3,200.0,400.0,821,23.38611449451888
3,400.0,600.0,1011,5.341246290801187
3,600.0,800.0,421,21.140142517814727
3,800.0,1000.0,466,9.871244635193133
3,1000.0,1500.0,1377,15.758896151053015
3,1500.0,2000.0,1228,16.286644951140065
3,2000.0,3000.0,2222,17.506750675067508
3,3000.0,4000.0,1619,2.7794935145151327
3,4000.0,,1351,27.239082161361956
4,0.0,100.0,1322,38.27534039334342
4,100.0,200.0,414,45.410628019323674
4,200.0,400.0,860,4.302325581395349
4,400.0,600.0,826,4.23728813559322
4,600.0,800.0,434,13.594470046082948
4,800.0,1000.0,342,11.988304093567251
4,1000.0,1500.0,1299,7.159353348729793
4,1500.0,2000.0,1023,16.32453567937439
4,2000.0,3000.0,2653,16.24575951752733
4,3000.0,4000.0,1687,4.6828689982216956
4,4000.0,,1559,19.371391917896087
5,0.0,100.0,1297,15.882806476484193
5,100.0,200.0,287,24.738675958188153
5,200.0,400.0,973,3.1860226104830422
5,400.0,600.0,792,4.545454545454546
5,600.0,800.0,508,11.811023622047244
5,800.0,1000.0,409,10.757946210268948
5,1000.0,1500.0,1267,7.49802683504341
5,1500.0,2000.0,1149,10.008703220191471
5,2000.0,3000.0,2874,12.45650661099513
5,3000.0,4000.0,1954,7.318321392016376
5,4000.0,,2005,10.723192019950124
6,0.0,100.0,1443,17.671517671517673
6,100.0,200.0,314,28.02547770700637
6,200.0,400.0,867,5.190311418685121
6,400.0,600.0,837,3.942652329749104
6,600.0,800.0,552,8.333333333333332
6,800.0,1000.0,454,7.048458149779736
6,1000.0,1500.0,1022,5.6751467710371815
6,1500.0,2000.0,1206,5.970149253731343
6,2000.0,3000.0,2860,9.335664335664335
6,3000.0,4000.0,2070,7.342995169082125
6,4000.0,,2291,4.233958969882147
7,0.0,100.0,1428,24.159663865546218
7,100.0,200.0,354,46.04519774011299
7,200.0,400.0,914,6.892778993435448
7,400.0,600.0,841,5.112960760998811
7,600.0,800.0,632,9.968354430379748
7,800.0,1000.0,471,9.554140127388536
7,1000.0,1500.0,1047,6.112702960840497
7,1500.0,2000.0,1239,8.232445520581114
7,2000.0,3000.0,2823,8.71413390010627
7,3000.0,4000.0,2100,7.000000000000001
7,4000.0,,2357,4.327535002121341
8,0.0,100.0,1564,43.8618925831202
8,100.0,200.0,526,62.16730038022814
8,200.0,400.0,859,11.059371362048893
8,400.0,600.0,919,3.6996735582154514
8,600.0,800.0,672,8.779761904761903
8,800.0,1000.0,432,10.416666666666668
8,1000.0,1500.0,1128,8.51063829787234
8,1500.0,2000.0,1235,9.473684210526317
8,2000.0,3000.0,3029,11.88511059755695
8,3000.0,4000.0,2025,7.604938271604938
8,4000.0,,2251,5.286539315859618
9,0.0,100.0,1505,47.70764119601329
9,100.0,200.0,546,60.98901098901099
9,200.0,400.0,845,16.80473372781065
9,400.0,600.0,930,5.483870967741936
9,600.0,800.0,595,9.57983193277311
9,800.0,1000.0,473,8.24524312896406
9,1000.0,1500.0,1283,11.457521434138737
9,1500.0,2000.0,1211,14.203137902559867
9,2000.0,3000.0,2928,14.139344262295081
9,3000.0,4000.0,1911,8.791208791208792
9,4000.0,,1970,7.614213197969544
10,0.0,100.0,1541,37.11875405580792
10,100.0,200.0,427,55.26932084309133
10,200.0,400.0,802,17.331670822942645
10,400.0,600.0,1003,8.47457627118644
10,600.0,800.0,530,23.77358490566038
10,800.0,1000.0,574,19.860627177700348
10,1000.0,1500.0,1466,19.918144611186904
10,1500.0,2000.0,1415,21.554770318021202
10,2000.0,3000.0,2718,20.60338484179544
10,3000.0,4000.0,1783,7.122826696578801
10,4000.0,,1763,16.27906976744186
11,0.0,100.0,1463,53.383458646616546
11,100.0,200.0,514,71.01167315175097
11,200.0,400.0,937,30.4162219850587
11,400.0,600.0,922,25.704989154013013
11,600.0,800.0,783,39.71902937420179
11,800.0,1000.0,740,38.513513513513516
11,1000.0,1500.0,1389,32.82937365010799
11,1500.0,2000.0,1395,21.36200716845878
11,2000.0,3000.0,2342,22.929120409906062
11,3000.0,4000.0,1611,5.462445685909373
11,4000.0,,1362,26.358296622613803
12,0.0,100.0,1501,57.49500333111259
12,100.0,200.0,603,70.3150912106136
12,200.0,400.0,1061,36.28652214891612
12,400.0,600.0,983,42.726347914547304
12,600.0,800.0,963,52.336448598130836
12,800.0,1000.0,824,53.640776699029125
