month,n_eligible,n_G,F_G,n_E,F_E,n_HE,F_HE,n_any,F_any
1,1511,855,56.58504301786896,82,5.42686962276638,1106,73.19655857048312,1425,94.3084050297816
2,1388,826,59.51008645533141,33,2.377521613832853,963,69.38040345821325,1273,91.71469740634005
3,1509,874,57.919151756129885,29,1.9218025182239893,785,52.02120609675281,1222,80.98078197481776
4,1460,406,27.80821917808219,29,1.9863013698630136,703,48.15068493150685,948,64.93150684931507
5,1578,140,8.871989860583016,32,2.0278833967046896,641,40.62103929024081,760,48.162230671736374
6,1526,192,12.581913499344692,38,2.490170380078637,461,30.209698558322412,633,41.48099606815203
7,1520,273,17.960526315789473,53,3.486842105263158,487,32.03947368421053,738,48.55263157894737
8,1495,548,36.65551839464883,51,3.411371237458194,575,38.46153846153846,986,65.95317725752508
9,1471,593,40.312712440516655,38,2.5832766825288918,674,45.81917063222298,1052,71.51597552685249
10,1531,467,30.502939255388636,33,2.155453951665578,940,61.39777922926192,1164,76.02873938602221
11,1477,660,44.68517264725796,50,3.3852403520649967,1042,70.54840893703452,1304,88.28706838185511
12,1525,807,52.91803278688525,64,4.19672131147541,1153,75.60655737704919,1431,93.8360655737705
