year,profiles,inversions,frequency_percent,moving_average_percent,sen_trend_percent
2005,685,129,18.83211678832117,23.092761251125154,21.838109739076003
2006,709,186,26.234132581100138,22.165076556321395,21.53751044400053
2007,698,169,24.212034383954155,21.922005379135328,21.23691114892506
2008,712,138,19.382022471910112,22.29922843031087,20.93631185384959
2009,716,150,20.949720670391063,20.390332948573604,20.635712558774117
2010,724,150,20.718232044198896,20.139903941768942,20.335113263698645
2011,725,121,16.689655172413794,20.577224937583,20.034513968623173
2012,723,166,22.959889349930844,22.13344537812124,19.733914673547588
2013,714,154,21.568627450980394,21.672338651821146,19.433315378472116
2014,717,206,28.730822873082285,21.635378491124797,19.132716083396645
2015,630,116,18.412698412698415,20.372110745965255,18.832116788321173
2016,721,119,16.50485436893204,20.50282970021362,18.5315174932457
2017,721,120,16.643550624133148,19.867162363166223,18.23091819817023
2018,729,162,22.22222222222222,19.77578290162102,17.930318903094758
2019,724,185,25.552486187845304,20.13132172312547,17.629719608019286
2020,724,130,17.955801104972377,20.172777344155197,17.329120312943814
2021,722,132,18.282548476454295,19.066263934193508,17.028521017868343
2022,724,122,16.85082872928177,16.534641868092212,16.72792172279287
2023,725,121,16.689655172413794,16.54458968033873,16.4273224277174
2024,729,94,12.894375857338819,16.11009998130984,16.126723132641928
2025,722,130,18.005540166204987,15.863190398652533,15.826123837566456
