year,position_type,median,n
2000,E,431.65,10
2001,E,400.75,22
2002,E,378.29999999999995,20
2003,E,372.95000000000005,14
2004,E,480.5999999999999,9
2005,E,751.7,13
2006,E,367.70000000000005,13
2007,E,350.5,21
2008,E,493.04999999999995,16
2009,E,669.9000000000001,20
2010,E,688.3,21
2011,E,390.79999999999995,12
2012,E,597.95,18
2013,E,257.2,20
2014,E,433.45000000000005,18
2015,E,408.35,14
2016,E,454.29999999999995,21
2017,E,510.94999999999993,18
2018,E,539.9000000000001,23
2019,E,308.40000000000003,20
2020,E,377.04999999999995,30
2021,E,460.70000000000005,17
2022,E,506.0,16
2023,E,383.8499999999999,24
2024,E,319.29999999999995,33
2025,E,347.0999999999999,41
2026,E,414.6500000000001,28
1999,G,137.10000000000002,28
2000,G,136.70000000000005,134
2001,G,192.29999999999995,177
2002,G,245.85000000000002,230
2003,G,235.25,204
2004,G,258.25,120
2005,G,274.29999999999995,263
2006,G,248.10000000000002,333
2007,G,236.79999999999995,279
2008,G,247.79999999999995,261
2009,G,278.05,256
2010,G,263.6,261
2011,G,234.70000000000005,246
2012,G,283.5,293
2013,G,248.39999999999998,307
2014,G,207.20000000000005,345
2015,G,201.5,193
2016,G,198.70000000000005,215
2017,G,209.55,234
2018,G,193.3,298
2019,G,209.60000000000002,300
2020,G,216.89999999999998,237
2021,G,221.5,265
2022,G,225.15000000000003,268
2023,G,100.60000000000002,253
2024,G,73.94999999999999,226
2025,G,71.89999999999998,287
2026,G,85.10000000000002,128
1999,HE,2214.3,50
2000,HE,2132.2,217
2001,HE,2176.15,370
2002,HE,2183.85,488
2003,HE,2252.85,352
2004,HE,2245.4,239
2005,HE,2179.7,445
2006,HE,2130.6,441
2007,HE,2266.75,446
2008,HE,2203.95,476
2009,HE,2207.6,445
2010,HE,2236.8,499
2011,HE,2222.8,492
2012,HE,2206.9,483
2013,HE,2182.35,466
2014,HE,2194.9,476
2015,HE,2240.0,451
2016,HE,2174.9,540
2017,HE,2201.6,531
2018,HE,2116.15,490
2019,HE,2227.15,462
2020,HE,2241.3,496
2021,HE,2203.3,516
2022,HE,2260.6,465
2023,HE,2169.3,661
2024,HE,2185.4,741
2025,HE,2231.4,735
2026,HE,2229.3,350
