bin_left,bin_right,bin_center,month,position_type,profiles,eligible_profiles,recurrence_percent
0.0,50.0,25.0,0,E,87,17991,0.4835751208937802
50.0,100.0,75.0,0,E,147,17991,0.8170752042688011
100.0,150.0,125.0,0,E,106,17991,0.5891834806292036
150.0,250.0,200.0,0,E,189,17991,1.0505252626313157
250.0,400.0,325.0,0,E,3,17991,0.01667500416875104
400.0,600.0,500.0,0,E,0,17991,0.0
600.0,800.0,700.0,0,E,0,17991,0.0
800.0,1000.0,900.0,0,E,0,17991,0.0
1000.0,1500.0,1250.0,0,E,0,17991,0.0
1500.0,2000.0,1750.0,0,E,0,17991,0.0
2000.0,3000.0,2500.0,0,E,0,17991,0.0
3000.0,4500.0,3750.0,0,E,0,17991,0.0
4500.0,inf,4500.0,0,E,0,17991,0.0
0.0,50.0,25.0,0,G,6641,17991,36.91290089489189
50.0,100.0,75.0,0,G,0,17991,0.0
100.0,150.0,125.0,0,G,0,17991,0.0
150.0,250.0,200.0,0,G,0,17991,0.0
250.0,400.0,325.0,0,G,0,17991,0.0
400.0,600.0,500.0,0,G,0,17991,0.0
600.0,800.0,700.0,0,G,0,17991,0.0
800.0,1000.0,900.0,0,G,0,17991,0.0
1000.0,1500.0,1250.0,0,G,0,17991,0.0
1500.0,2000.0,1750.0,0,G,0,17991,0.0
2000.0,3000.0,2500.0,0,G,0,17991,0.0
3000.0,4500.0,3750.0,0,G,0,17991,0.0
4500.0,inf,4500.0,0,G,0,17991,0.0
0.0,50.0,25.0,0,HE,0,17991,0.0
50.0,100.0,75.0,0,HE,0,17991,0.0
100.0,150.0,125.0,0,HE,0,17991,0.0
150.0,250.0,200.0,0,HE,0,17991,0.0
250.0,400.0,325.0,0,HE,404,17991,2.2455672280584738
400.0,600.0,500.0,0,HE,765,17991,4.252126063031516
600.0,800.0,700.0,0,HE,1173,17991,6.519926629981658
800.0,1000.0,900.0,0,HE,824,17991,4.5800678116836195
1000.0,1500.0,1250.0,0,HE,1697,17991,9.432494024790172
1500.0,2000.0,1750.0,0,HE,1401,17991,7.787226946806737
2000.0,3000.0,2500.0,0,HE,3097,17991,17.214162636873994
3000.0,4500.0,3750.0,0,HE,1988,17991,11.049969429159024
4500.0,inf,4500.0,0,HE,1474,17991,8.192985381579678
