year,month,observed_profiles,expected_profiles,completeness_percent
1999,10,21,62,33.87096774193548
1999,11,18,60,30.0
1999,12,20,62,32.25806451612903
2000,1,22,62,35.483870967741936
2000,2,29,58,50.0
2000,3,21,62,33.87096774193548
2000,4,19,60,31.666666666666664
2000,5,38,62,61.29032258064516
2000,6,33,60,55.00000000000001
2000,7,31,62,50.0
2000,8,31,62,50.0
2000,9,30,60,50.0
2000,10,31,62,50.0
2000,11,30,60,50.0
2000,12,31,62,50.0
2001,1,31,62,50.0
2001,2,28,56,50.0
2001,3,28,62,45.16129032258064
2001,4,29,60,48.333333333333336
2001,5,61,62,98.38709677419355
2001,6,57,60,95.0
2001,7,61,62,98.38709677419355
2001,8,47,62,75.80645161290323
2001,9,57,60,95.0
2001,10,61,62,98.38709677419355
2001,11,60,60,100.0
2001,12,61,62,98.38709677419355
2002,1,61,62,98.38709677419355
2002,2,56,56,100.0
2002,3,56,62,90.32258064516128
2002,4,57,60,95.0
2002,5,61,62,98.38709677419355
2002,6,59,60,98.33333333333333
2002,7,45,62,72.58064516129032
2002,8,62,62,100.0
2002,9,59,60,98.33333333333333
2002,10,62,62,100.0
2002,11,60,60,100.0
2002,12,62,62,100.0
2003,1,62,62,100.0
2003,2,55,56,98.21428571428571
2003,3,62,62,100.0
2003,4,52,60,86.66666666666667
2003,5,46,62,74.19354838709677
2003,6,59,60,98.33333333333333
2003,7,61,62,98.38709677419355
2003,8,58,62,93.54838709677419
2003,9,56,60,93.33333333333333
2003,10,36,62,58.06451612903226
2003,11,30,60,50.0
2003,12,31,62,50.0
2004,1,31,62,50.0
2004,2,27,58,46.55172413793103
2004,3,30,62,48.38709677419355
2004,4,29,60,48.333333333333336
2004,5,31,62,50.0
2004,6,28,60,46.666666666666664
2004,7,30,62,48.38709677419355
2004,8,31,62,50.0
2004,9,28,60,46.666666666666664
2004,10,30,62,48.38709677419355
2004,11,30,60,50.0
2004,12,32,62,51.61290322580645
2005,1,62,62,100.0
2005,2,56,56,100.0
2005,3,61,62,98.38709677419355
