year,1,2,3,4,5,6,7,8,9,10,11,12
1999,,,,,,,,,,0.0,0.0,5.263157894736842
2000,19.047619047619047,3.571428571428571,0.0,0.0,2.7027027027027026,0.0,7.142857142857142,7.4074074074074066,3.571428571428571,3.225806451612903,6.666666666666667,6.666666666666667
2001,16.666666666666664,11.11111111111111,0.0,6.896551724137931,3.278688524590164,3.4482758620689653,5.084745762711865,2.2222222222222223,1.7543859649122806,1.6129032258064515,1.6666666666666667,3.1746031746031744
2002,3.278688524590164,3.7037037037037033,5.555555555555555,1.8181818181818181,3.278688524590164,1.7543859649122806,4.444444444444445,1.639344262295082,5.084745762711865,3.225806451612903,1.6666666666666667,3.225806451612903
2003,1.6129032258064515,3.6363636363636362,1.639344262295082,0.0,2.127659574468085,1.694915254237288,6.557377049180328,5.263157894736842,5.357142857142857,0.0,0.0,0.0
2004,3.3333333333333335,0.0,3.3333333333333335,0.0,0.0,3.571428571428571,0.0,3.225806451612903,14.285714285714285,0.0,0.0,0.0
2005,0.0,3.571428571428571,5.084745762711865,8.620689655172415,5.0,0.0,2.380952380952381,1.694915254237288,10.0,0.0,1.7241379310344827,1.7241379310344827
2006,1.6129032258064515,0.0,1.7543859649122806,5.263157894736842,0.0,3.3333333333333335,4.918032786885246,4.918032786885246,3.3333333333333335,3.389830508474576,1.6666666666666667,4.918032786885246
2007,1.6129032258064515,0.0,4.918032786885246,0.0,1.694915254237288,8.333333333333332,1.6129032258064515,3.3333333333333335,6.666666666666667,9.67741935483871,1.6666666666666667,3.389830508474576
2008,6.666666666666667,1.7543859649122806,3.278688524590164,3.571428571428571,5.084745762711865,5.0,6.666666666666667,1.7241379310344827,1.694915254237288,1.639344262295082,1.6666666666666667,1.639344262295082
2009,3.278688524590164,1.8867924528301887,1.639344262295082,0.0,0.0,3.4482758620689653,6.557377049180328,10.16949152542373,5.0,3.225806451612903,1.6666666666666667,4.838709677419355
2010,0.0,5.357142857142857,4.838709677419355,1.6666666666666667,0.0,1.694915254237288,1.6666666666666667,1.6129032258064515,3.3333333333333335,0.0,5.0,4.838709677419355
2011,0.0,5.357142857142857,3.225806451612903,5.084745762711865,0.0,1.694915254237288,4.838709677419355,3.278688524590164,0.0,1.6129032258064515,1.6666666666666667,0.0
2012,9.67741935483871,1.7241379310344827,0.0,1.6666666666666667,3.225806451612903,1.694915254237288,11.864406779661017,1.639344262295082,1.6666666666666667,1.639344262295082,5.172413793103448,4.918032786885246
2013,4.838709677419355,8.928571428571429,1.639344262295082,8.333333333333332,1.639344262295082,1.7241379310344827,5.172413793103448,5.084745762711865,0.0,5.0,3.4482758620689653,3.225806451612903
2014,8.47457627118644,0.0,0.0,1.694915254237288,3.278688524590164,0.0,5.0,3.3333333333333335,0.0,4.918032786885246,1.6666666666666667,1.6129032258064515
2015,3.225806451612903,3.571428571428571,6.451612903225806,1.6666666666666667,0.0,3.508771929824561,3.3333333333333335,1.639344262295082,3.4482758620689653,0.0,3.3333333333333335,1.6129032258064515
2016,5.0,1.7241379310344827,3.278688524590164,3.389830508474576,1.6129032258064515,1.694915254237288,1.639344262295082,6.666666666666667,5.084745762711865,0.0,3.3333333333333335,3.3333333333333335
2017,6.451612903225806,3.6363636363636362,1.6129032258064515,1.694915254237288,0.0,6.896551724137931,4.918032786885246,1.6666666666666667,0.0,3.225806451612903,1.6666666666666667,1.6129032258064515
2018,1.6129032258064515,0.0,3.225806451612903,0.0,1.6129032258064515,1.6666666666666667,8.064516129032258,8.064516129032258,5.0,4.838709677419355,3.3333333333333335,6.451612903225806
2019,6.451612903225806,0.0,0.0,5.084745762711865,3.278688524590164,5.0,3.3333333333333335,9.67741935483871,5.084745762711865,1.639344262295082,1.6666666666666667,4.838709677419355
2020,3.225806451612903,5.263157894736842,1.639344262295082,1.6666666666666667,4.918032786885246,3.389830508474576,1.6666666666666667,16.129032258064516,3.3333333333333335,4.838709677419355,0.0,3.225806451612903
2021,3.225806451612903,3.6363636363636362,4.838709677419355,1.6666666666666667,3.278688524590164,0.0,3.225806451612903,3.225806451612903,12.5,3.225806451612903,3.3333333333333335,0.0
2022,1.6129032258064515,1.7857142857142856,1.639344262295082,3.389830508474576,3.225806451612903,3.4482758620689653,3.225806451612903,0.0,0.0,3.225806451612903,5.0,3.225806451612903
2023,3.278688524590164,3.571428571428571,0.0,1.6666666666666667,0.0,0.0,4.838709677419355,4.838709677419355,3.3333333333333335,1.6129032258064515,1.7241379310344827,6.557377049180328
2024,6.557377049180328,5.172413793103448,3.225806451612903,0.0,3.278688524590164,3.389830508474576,1.6129032258064515,8.064516129032258,8.333333333333332,1.6129032258064515,11.666666666666666,1.6129032258064515
2025,14.516129032258066,3.571428571428571,8.19672131147541,1.694915254237288,3.278688524590164,0.0,3.225806451612903,3.389830508474576,3.389830508474576,4.838709677419355,3.3333333333333335,8.19672131147541
2026,9.803921568627452,2.0,6.451612903225806,5.172413793103448,5.0,5.172413793103448,10.526315789473683,,,,,
