year,1,2,3,4,5,6,7,8,9,10,11,12
1999,,,,,,,,,,42.857142857142854,33.33333333333333,26.31578947368421
2000,19.047619047619047,39.285714285714285,23.809523809523807,27.77777777777778,16.216216216216218,25.806451612903224,25.0,22.22222222222222,17.857142857142858,32.25806451612903,56.666666666666664,43.333333333333336
2001,26.666666666666668,51.85185185185185,38.46153846153847,31.03448275862069,22.950819672131146,17.24137931034483,15.254237288135593,37.77777777777778,22.807017543859647,27.419354838709676,43.333333333333336,46.03174603174603
2002,27.86885245901639,38.88888888888889,20.37037037037037,10.909090909090908,16.39344262295082,8.771929824561402,26.666666666666668,37.704918032786885,45.76271186440678,66.12903225806451,41.66666666666667,50.0
2003,46.774193548387096,38.18181818181819,16.39344262295082,7.8431372549019605,23.404255319148938,28.8135593220339,19.672131147540984,19.298245614035086,30.357142857142854,44.44444444444444,30.0,38.70967741935484
2004,33.33333333333333,19.230769230769234,26.666666666666668,20.689655172413794,19.35483870967742,21.428571428571427,30.0,29.03225806451613,25.0,41.37931034482759,51.724137931034484,43.75
2005,47.540983606557376,58.92857142857143,25.423728813559322,20.689655172413794,15.0,8.928571428571429,16.666666666666664,25.423728813559322,28.333333333333332,23.728813559322035,37.93103448275862,56.896551724137936
2006,20.967741935483872,55.55555555555556,10.526315789473683,19.298245614035086,15.254237288135593,20.0,19.672131147540984,22.950819672131146,35.0,32.20338983050847,56.666666666666664,49.18032786885246
2007,50.0,26.785714285714285,16.39344262295082,24.324324324324326,16.94915254237288,20.0,32.25806451612903,23.333333333333332,33.33333333333333,22.58064516129032,45.0,42.3728813559322
2008,61.66666666666667,31.57894736842105,26.229508196721312,23.214285714285715,25.423728813559322,10.0,15.0,17.24137931034483,28.8135593220339,21.311475409836063,41.66666666666667,50.81967213114754
2009,32.78688524590164,28.30188679245283,34.42622950819672,6.779661016949152,31.666666666666664,12.068965517241379,14.754098360655737,27.11864406779661,16.666666666666664,29.03225806451613,60.0,41.935483870967744
2010,45.76271186440678,44.642857142857146,32.25806451612903,25.0,17.741935483870968,27.11864406779661,23.333333333333332,22.58064516129032,41.66666666666667,33.87096774193548,36.666666666666664,35.483870967741936
2011,45.90163934426229,33.92857142857143,20.967741935483872,16.94915254237288,20.967741935483872,18.64406779661017,16.129032258064516,18.0327868852459,10.0,24.193548387096776,45.0,62.903225806451616
2012,46.774193548387096,46.55172413793103,12.903225806451612,18.333333333333332,29.03225806451613,22.033898305084744,23.728813559322035,21.311475409836063,15.0,54.09836065573771,39.6551724137931,49.18032786885246
2013,48.38709677419355,26.785714285714285,34.42622950819672,26.666666666666668,31.147540983606557,20.689655172413794,25.862068965517242,32.20338983050847,33.89830508474576,33.33333333333333,24.137931034482758,30.64516129032258
2014,44.06779661016949,32.142857142857146,27.419354838709676,18.64406779661017,18.0327868852459,22.033898305084744,11.666666666666666,23.333333333333332,44.827586206896555,27.86885245901639,33.33333333333333,53.2258064516129
2015,35.483870967741936,21.428571428571427,22.58064516129032,20.0,29.508196721311474,17.543859649122805,28.333333333333332,36.0655737704918,39.6551724137931,41.935483870967744,61.66666666666667,37.096774193548384
2016,51.66666666666667,46.55172413793103,21.311475409836063,20.33898305084746,25.806451612903224,33.89830508474576,24.59016393442623,35.0,25.423728813559322,56.451612903225815,40.0,43.333333333333336
2017,41.935483870967744,38.18181818181819,40.32258064516129,16.94915254237288,29.03225806451613,20.689655172413794,24.59016393442623,18.333333333333332,39.6551724137931,33.87096774193548,53.333333333333336,45.16129032258064
2018,50.0,47.27272727272727,20.967741935483872,16.666666666666664,24.193548387096776,25.0,24.193548387096776,19.35483870967742,26.666666666666668,33.87096774193548,40.0,46.774193548387096
2019,38.70967741935484,41.07142857142857,14.516129032258066,23.728813559322035,21.311475409836063,11.666666666666666,23.333333333333332,14.516129032258066,33.89830508474576,22.950819672131146,55.00000000000001,50.0
2020,33.87096774193548,42.10526315789473,22.950819672131146,26.666666666666668,24.59016393442623,11.864406779661017,13.333333333333334,30.64516129032258,31.666666666666664,35.483870967741936,36.206896551724135,33.87096774193548
2021,51.61290322580645,32.72727272727273,20.967741935483872,30.0,9.836065573770492,20.689655172413794,25.806451612903224,24.193548387096776,35.714285714285715,37.096774193548384,36.666666666666664,48.38709677419355
2022,41.935483870967744,41.07142857142857,16.39344262295082,13.559322033898304,30.64516129032258,13.793103448275861,22.58064516129032,20.967741935483872,20.689655172413794,30.64516129032258,28.333333333333332,45.16129032258064
2023,40.98360655737705,41.07142857142857,32.25806451612903,30.0,38.70967741935484,30.508474576271187,20.967741935483872,24.193548387096776,40.0,58.06451612903226,60.3448275862069,63.934426229508205
2024,63.934426229508205,50.0,29.03225806451613,53.333333333333336,29.508196721311474,20.33898305084746,29.03225806451613,37.096774193548384,38.333333333333336,37.096774193548384,45.0,74.19354838709677
2025,56.451612903225815,51.78571428571429,39.34426229508197,50.847457627118644,39.34426229508197,46.666666666666664,27.419354838709676,45.76271186440678,38.983050847457626,53.2258064516129,50.0,63.934426229508205
2026,66.66666666666666,66.0,37.096774193548384,32.758620689655174,30.0,36.206896551724135,28.947368421052634,,,,,
