bin_left,bin_right,bin_center,month,days
-inf,-20.0,-20.0,1,32
-20.0,-12.0,-16.0,1,30
-12.0,-8.0,-10.0,1,28
-8.0,-6.0,-7.0,1,28
-6.0,-4.0,-5.0,1,69
-4.0,-3.0,-3.5,1,65
-3.0,-2.0,-2.5,1,158
-2.0,-1.5,-1.75,1,208
-1.5,-1.0,-1.25,1,634
-1.0,-0.5,-0.75,1,2993
-0.5,0.0,-0.25,1,3864
0.0,0.5,0.25,1,2575
0.5,1.0,0.75,1,803
1.0,1.5,1.25,1,474
1.5,2.0,1.75,1,379
2.0,3.0,2.5,1,504
3.0,4.0,3.5,1,235
4.0,6.0,5.0,1,203
6.0,8.0,7.0,1,71
8.0,12.0,10.0,1,40
12.0,20.0,16.0,1,42
20.0,inf,20.0,1,48
-inf,-20.0,-20.0,2,17
-20.0,-12.0,-16.0,2,20
-12.0,-8.0,-10.0,2,28
-8.0,-6.0,-7.0,2,22
-6.0,-4.0,-5.0,2,50
-4.0,-3.0,-3.5,2,48
-3.0,-2.0,-2.5,2,115
-2.0,-1.5,-1.75,2,157
-1.5,-1.0,-1.25,2,545
-1.0,-0.5,-0.75,2,2981
-0.5,0.0,-0.25,2,3405
0.0,0.5,0.25,2,2106
0.5,1.0,0.75,2,602
1.0,1.5,1.25,2,406
1.5,2.0,1.75,2,334
2.0,3.0,2.5,2,413
3.0,4.0,3.5,2,190
4.0,6.0,5.0,2,149
6.0,8.0,7.0,2,52
8.0,12.0,10.0,2,56
12.0,20.0,16.0,2,48
20.0,inf,20.0,2,42
-inf,-20.0,-20.0,3,17
-20.0,-12.0,-16.0,3,13
-12.0,-8.0,-10.0,3,26
-8.0,-6.0,-7.0,3,34
-6.0,-4.0,-5.0,3,49
-4.0,-3.0,-3.5,3,49
-3.0,-2.0,-2.5,3,120
-2.0,-1.5,-1.75,3,183
-1.5,-1.0,-1.25,3,616
-1.0,-0.5,-0.75,3,4441
-0.5,0.0,-0.25,3,3084
0.0,0.5,0.25,3,1557
0.5,1.0,0.75,3,422
1.0,1.5,1.25,3,332
1.5,2.0,1.75,3,305
2.0,3.0,2.5,3,377
3.0,4.0,3.5,3,169
4.0,6.0,5.0,3,114
6.0,8.0,7.0,3,33
8.0,12.0,10.0,3,28
12.0,20.0,16.0,3,44
20.0,inf,20.0,3,38
-inf,-20.0,-20.0,4,14
-20.0,-12.0,-16.0,4,10
-12.0,-8.0,-10.0,4,21
-8.0,-6.0,-7.0,4,19
-6.0,-4.0,-5.0,4,54
-4.0,-3.0,-3.5,4,46
