bin_left,bin_right,bin_center,month,pressure_hpa,days
-inf,-20.0,-20.0,1,500.0,0
-20.0,-12.0,-16.0,1,500.0,0
-12.0,-8.0,-10.0,1,500.0,0
-8.0,-6.0,-7.0,1,500.0,0
-6.0,-4.0,-5.0,1,500.0,0
-4.0,-3.0,-3.5,1,500.0,0
-3.0,-2.0,-2.5,1,500.0,0
-2.0,-1.5,-1.75,1,500.0,0
-1.5,-1.0,-1.25,1,500.0,0
-1.0,-0.5,-0.75,1,500.0,1068
-0.5,0.0,-0.25,1,500.0,392
0.0,0.5,0.25,1,500.0,0
0.5,1.0,0.75,1,500.0,0
1.0,1.5,1.25,1,500.0,0
1.5,2.0,1.75,1,500.0,0
2.0,3.0,2.5,1,500.0,0
3.0,4.0,3.5,1,500.0,0
4.0,6.0,5.0,1,500.0,0
6.0,8.0,7.0,1,500.0,0
8.0,12.0,10.0,1,500.0,0
12.0,20.0,16.0,1,500.0,0
20.0,inf,20.0,1,500.0,0
-inf,-20.0,-20.0,1,750.0,0
-20.0,-12.0,-16.0,1,750.0,0
-12.0,-8.0,-10.0,1,750.0,0
-8.0,-6.0,-7.0,1,750.0,0
-6.0,-4.0,-5.0,1,750.0,0
-4.0,-3.0,-3.5,1,750.0,0
-3.0,-2.0,-2.5,1,750.0,0
-2.0,-1.5,-1.75,1,750.0,0
-1.5,-1.0,-1.25,1,750.0,0
-1.0,-0.5,-0.75,1,750.0,196
-0.5,0.0,-0.25,1,750.0,766
0.0,0.5,0.25,1,750.0,439
0.5,1.0,0.75,1,750.0,55
1.0,1.5,1.25,1,750.0,4
1.5,2.0,1.75,1,750.0,0
2.0,3.0,2.5,1,750.0,0
3.0,4.0,3.5,1,750.0,0
4.0,6.0,5.0,1,750.0,0
6.0,8.0,7.0,1,750.0,0
8.0,12.0,10.0,1,750.0,0
12.0,20.0,16.0,1,750.0,0
20.0,inf,20.0,1,750.0,0
-inf,-20.0,-20.0,1,850.0,0
-20.0,-12.0,-16.0,1,850.0,0
-12.0,-8.0,-10.0,1,850.0,0
-8.0,-6.0,-7.0,1,850.0,0
-6.0,-4.0,-5.0,1,850.0,0
-4.0,-3.0,-3.5,1,850.0,0
-3.0,-2.0,-2.5,1,850.0,0
-2.0,-1.5,-1.75,1,850.0,0
-1.5,-1.0,-1.25,1,850.0,1
-1.0,-0.5,-0.75,1,850.0,274
-0.5,0.0,-0.25,1,850.0,378
0.0,0.5,0.25,1,850.0,343
0.5,1.0,0.75,1,850.0,202
1.0,1.5,1.25,1,850.0,111
1.5,2.0,1.75,1,850.0,40
2.0,3.0,2.5,1,850.0,22
3.0,4.0,3.5,1,850.0,2
4.0,6.0,5.0,1,850.0,0
6.0,8.0,7.0,1,850.0,0
8.0,12.0,10.0,1,850.0,0
12.0,20.0,16.0,1,850.0,0
20.0,inf,20.0,1,850.0,0
-inf,-20.0,-20.0,2,500.0,0
-20.0,-12.0,-16.0,2,500.0,0
-12.0,-8.0,-10.0,2,500.0,0
-8.0,-6.0,-7.0,2,500.0,0
-6.0,-4.0,-5.0,2,500.0,0
-4.0,-3.0,-3.5,2,500.0,0
