bin_left,bin_right,bin_center,month,position_type,count
0.0,50.0,25.0,0,E,0
50.0,100.0,75.0,0,E,3
100.0,150.0,125.0,0,E,8
150.0,250.0,200.0,0,E,96
250.0,400.0,325.0,0,E,155
400.0,600.0,500.0,0,E,109
600.0,800.0,700.0,0,E,70
800.0,1000.0,900.0,0,E,28
1000.0,1500.0,1250.0,0,E,39
1500.0,2000.0,1750.0,0,E,21
2000.0,3000.0,2500.0,0,E,2
3000.0,4500.0,3750.0,0,E,1
4500.0,inf,4500.0,0,E,0
0.0,50.0,25.0,0,G,429
50.0,100.0,75.0,0,G,692
100.0,150.0,125.0,0,G,883
150.0,250.0,200.0,0,G,1933
250.0,400.0,325.0,0,G,1220
400.0,600.0,500.0,0,G,529
600.0,800.0,700.0,0,G,405
800.0,1000.0,900.0,0,G,119
1000.0,1500.0,1250.0,0,G,278
1500.0,2000.0,1750.0,0,G,124
2000.0,3000.0,2500.0,0,G,29
3000.0,4500.0,3750.0,0,G,0
4500.0,inf,4500.0,0,G,0
0.0,50.0,25.0,0,HE,0
50.0,100.0,75.0,0,HE,0
100.0,150.0,125.0,0,HE,0
150.0,250.0,200.0,0,HE,0
250.0,400.0,325.0,0,HE,20
400.0,600.0,500.0,0,HE,163
600.0,800.0,700.0,0,HE,568
800.0,1000.0,900.0,0,HE,373
1000.0,1500.0,1250.0,0,HE,1816
1500.0,2000.0,1750.0,0,HE,2127
2000.0,3000.0,2500.0,0,HE,3863
3000.0,4500.0,3750.0,0,HE,1665
4500.0,inf,4500.0,0,HE,2228
