bin_left,bin_right,bin_center,month,count
0.0,50.0,25.0,1,45
50.0,100.0,75.0,1,41
100.0,150.0,125.0,1,64
150.0,250.0,200.0,1,184
250.0,400.0,325.0,1,148
400.0,600.0,500.0,1,128
600.0,800.0,700.0,1,201
800.0,1000.0,900.0,1,94
1000.0,1500.0,1250.0,1,407
1500.0,2000.0,1750.0,1,386
2000.0,3000.0,2500.0,1,467
3000.0,4500.0,3750.0,1,138
4500.0,inf,4500.0,1,261
0.0,50.0,25.0,2,42
50.0,100.0,75.0,2,57
100.0,150.0,125.0,2,83
150.0,250.0,200.0,2,253
250.0,400.0,325.0,2,198
400.0,600.0,500.0,2,88
600.0,800.0,700.0,2,115
800.0,1000.0,900.0,2,53
1000.0,1500.0,1250.0,2,290
1500.0,2000.0,1750.0,2,313
2000.0,3000.0,2500.0,2,402
3000.0,4500.0,3750.0,2,120
4500.0,inf,4500.0,2,251
0.0,50.0,25.0,3,58
50.0,100.0,75.0,3,88
100.0,150.0,125.0,3,117
150.0,250.0,200.0,3,315
250.0,400.0,325.0,3,227
400.0,600.0,500.0,3,81
600.0,800.0,700.0,3,57
800.0,1000.0,900.0,3,20
1000.0,1500.0,1250.0,3,102
1500.0,2000.0,1750.0,3,164
2000.0,3000.0,2500.0,3,318
3000.0,4500.0,3750.0,3,77
4500.0,inf,4500.0,3,308
0.0,50.0,25.0,4,43
50.0,100.0,75.0,4,76
100.0,150.0,125.0,4,101
150.0,250.0,200.0,4,146
250.0,400.0,325.0,4,53
400.0,600.0,500.0,4,18
600.0,800.0,700.0,4,36
800.0,1000.0,900.0,4,18
1000.0,1500.0,1250.0,4,62
1500.0,2000.0,1750.0,4,113
2000.0,3000.0,2500.0,4,314
3000.0,4500.0,3750.0,4,92
4500.0,inf,4500.0,4,249
0.0,50.0,25.0,5,20
50.0,100.0,75.0,5,30
100.0,150.0,125.0,5,30
150.0,250.0,200.0,5,49
250.0,400.0,325.0,5,34
400.0,600.0,500.0,5,24
600.0,800.0,700.0,5,33
800.0,1000.0,900.0,5,19
1000.0,1500.0,1250.0,5,66
1500.0,2000.0,1750.0,5,84
2000.0,3000.0,2500.0,5,228
3000.0,4500.0,3750.0,5,161
4500.0,inf,4500.0,5,145
0.0,50.0,25.0,6,30
50.0,100.0,75.0,6,33
100.0,150.0,125.0,6,35
150.0,250.0,200.0,6,75
250.0,400.0,325.0,6,33
400.0,600.0,500.0,6,36
600.0,800.0,700.0,6,21
800.0,1000.0,900.0,6,14
1000.0,1500.0,1250.0,6,52
1500.0,2000.0,1750.0,6,45
2000.0,3000.0,2500.0,6,177
3000.0,4500.0,3750.0,6,160
4500.0,inf,4500.0,6,32
0.0,50.0,25.0,7,30
50.0,100.0,75.0,7,54
100.0,150.0,125.0,7,38
150.0,250.0,200.0,7,112
250.0,400.0,325.0,7,68
400.0,600.0,500.0,7,44
600.0,800.0,700.0,7,38
800.0,1000.0,900.0,7,24
1000.0,1500.0,1250.0,7,46
1500.0,2000.0,1750.0,7,65
2000.0,3000.0,2500.0,7,161
3000.0,4500.0,3750.0,7,148
4500.0,inf,4500.0,7,41
0.0,50.0,25.0,8,47
50.0,100.0,75.0,8,82
100.0,150.0,125.0,8,102
150.0,250.0,200.0,8,214
250.0,400.0,325.0,8,117
400.0,600.0,500.0,8,37
600.0,800.0,700.0,8,49
800.0,1000.0,900.0,8,21
1000.0,1500.0,1250.0,8,63
1500.0,2000.0,1750.0,8,88
2000.0,3000.0,2500.0,8,222
3000.0,4500.0,3750.0,8,178
4500.0,inf,4500.0,8,35
0.0,50.0,25.0,9,31
50.0,100.0,75.0,9,96
100.0,150.0,125.0,9,99
150.0,250.0,200.0,9,214
250.0,400.0,325.0,9,118
400.0,600.0,500.0,9,69
600.0,800.0,700.0,9,45
800.0,1000.0,900.0,9,31
1000.0,1500.0,1250.0,9,76
1500.0,2000.0,1750.0,9,134
2000.0,3000.0,2500.0,9,266
3000.0,4500.0,3750.0,9,166
4500.0,inf,4500.0,9,89
0.0,50.0,25.0,10,28
50.0,100.0,75.0,10,51
100.0,150.0,125.0,10,75
150.0,250.0,200.0,10,153
250.0,400.0,325.0,10,109
400.0,600.0,500.0,10,49
600.0,800.0,700.0,10,60
800.0,1000.0,900.0,10,41
1000.0,1500.0,1250.0,10,185
1500.0,2000.0,1750.0,10,224
2000.0,3000.0,2500.0,10,406
3000.0,4500.0,3750.0,10,148
4500.0,inf,4500.0,10,226
0.0,50.0,25.0,11,21
50.0,100.0,75.0,11,42
100.0,150.0,125.0,11,71
150.0,250.0,200.0,11,163
250.0,400.0,325.0,11,140
400.0,600.0,500.0,11,114
600.0,800.0,700.0,11,181
800.0,1000.0,900.0,11,83
1000.0,1500.0,1250.0,11,341
1500.0,2000.0,1750.0,11,279
2000.0,3000.0,2500.0,11,417
3000.0,4500.0,3750.0,11,129
4500.0,inf,4500.0,11,279
0.0,50.0,25.0,12,34
50.0,100.0,75.0,12,45
100.0,150.0,125.0,12,76
150.0,250.0,200.0,12,151
250.0,400.0,325.0,12,150
400.0,600.0,500.0,12,113
600.0,800.0,700.0,12,207
800.0,1000.0,900.0,12,102
1000.0,1500.0,1250.0,12,443
1500.0,2000.0,1750.0,12,377
2000.0,3000.0,2500.0,12,516
3000.0,4500.0,3750.0,12,149
4500.0,inf,4500.0,12,312
