bin_left,bin_right,bin_center,month,position_type,count
0.0,50.0,25.0,1,E,0
50.0,100.0,75.0,1,E,0
100.0,150.0,125.0,1,E,0
150.0,250.0,200.0,1,E,3
250.0,400.0,325.0,1,E,14
400.0,600.0,500.0,1,E,13
600.0,800.0,700.0,1,E,17
800.0,1000.0,900.0,1,E,5
1000.0,1500.0,1250.0,1,E,19
1500.0,2000.0,1750.0,1,E,11
2000.0,3000.0,2500.0,1,E,0
3000.0,4500.0,3750.0,1,E,0
4500.0,inf,4500.0,1,E,0
0.0,50.0,25.0,1,G,45
50.0,100.0,75.0,1,G,41
100.0,150.0,125.0,1,G,64
150.0,250.0,200.0,1,G,181
250.0,400.0,325.0,1,G,132
400.0,600.0,500.0,1,G,99
600.0,800.0,700.0,1,G,108
800.0,1000.0,900.0,1,G,32
1000.0,1500.0,1250.0,1,G,85
1500.0,2000.0,1750.0,1,G,50
2000.0,3000.0,2500.0,1,G,18
3000.0,4500.0,3750.0,1,G,0
4500.0,inf,4500.0,1,G,0
0.0,50.0,25.0,1,HE,0
50.0,100.0,75.0,1,HE,0
100.0,150.0,125.0,1,HE,0
150.0,250.0,200.0,1,HE,0
250.0,400.0,325.0,1,HE,2
400.0,600.0,500.0,1,HE,16
600.0,800.0,700.0,1,HE,76
800.0,1000.0,900.0,1,HE,57
1000.0,1500.0,1250.0,1,HE,303
1500.0,2000.0,1750.0,1,HE,325
2000.0,3000.0,2500.0,1,HE,449
3000.0,4500.0,3750.0,1,HE,138
4500.0,inf,4500.0,1,HE,261
0.0,50.0,25.0,2,E,0
50.0,100.0,75.0,2,E,0
100.0,150.0,125.0,2,E,1
150.0,250.0,200.0,2,E,2
250.0,400.0,325.0,2,E,4
400.0,600.0,500.0,2,E,7
600.0,800.0,700.0,2,E,7
800.0,1000.0,900.0,2,E,2
1000.0,1500.0,1250.0,2,E,5
1500.0,2000.0,1750.0,2,E,3
2000.0,3000.0,2500.0,2,E,2
3000.0,4500.0,3750.0,2,E,0
4500.0,inf,4500.0,2,E,0
0.0,50.0,25.0,2,G,42
50.0,100.0,75.0,2,G,57
100.0,150.0,125.0,2,G,82
150.0,250.0,200.0,2,G,251
250.0,400.0,325.0,2,G,191
400.0,600.0,500.0,2,G,71
600.0,800.0,700.0,2,G,57
800.0,1000.0,900.0,2,G,16
1000.0,1500.0,1250.0,2,G,37
1500.0,2000.0,1750.0,2,G,19
2000.0,3000.0,2500.0,2,G,3
3000.0,4500.0,3750.0,2,G,0
4500.0,inf,4500.0,2,G,0
0.0,50.0,25.0,2,HE,0
50.0,100.0,75.0,2,HE,0
100.0,150.0,125.0,2,HE,0
150.0,250.0,200.0,2,HE,0
