profile_id,datetime_utc,year,month,cycle,layer_index,position_type,base_pressure_hpa,top_pressure_hpa,base_height_m,top_height_m,base_height_agl_m,top_height_agl_m,depth_m,delta_t_c,gamma_c_per_100m,confirm_drop_c
31004_19991001_1200_12,1999-10-01 12:00:00,1999,10,12,0,HE,675.0,657.0,3379.1,3592.7,2699.1,2912.7,213.5999999999999,1.0,0.46816479400749084,-3.5999999999999943
31004_19991005_1200_12,1999-10-05 12:00:00,1999,10,12,0,G,935.0,920.0,680.0,816.2,0.0,136.20000000000005,136.20000000000005,5.199999999999989,3.8179148311306803,-4.3999999999999755
31004_19991005_1200_12,1999-10-05 12:00:00,1999,10,12,1,HE,765.0,725.0,2340.9,2774.8,1660.9,2094.8,433.9000000000001,2.2000000000000135,0.5070292694169193,-7.600000000000019
31004_19991006_1200_12,1999-10-06 12:00:00,1999,10,12,0,G,929.0,915.0,680.0,807.9,0.0,127.89999999999998,127.89999999999998,3.7999999999999563,2.9710711493353847,-3.599999999999966
31004_19991007_1200_12,1999-10-07 12:00:00,1999,10,12,0,HE,801.0,781.0,1877.7,2084.8,1197.7,1404.8000000000002,207.10000000000014,0.8000000000000096,0.3862868179623414,-2.8000000000000096
31004_19991008_1200_12,1999-10-08 12:00:00,1999,10,12,0,G,922.0,909.0,680.0,799.6,0.0,119.60000000000002,119.60000000000002,1.199999999999989,1.0033444816053418,-3.400000000000034
31004_19991012_1200_12,1999-10-12 12:00:00,1999,10,12,0,HE,700.0,663.0,2799.3,3419.3,2119.3,2739.3,620.0,1.200000000000017,0.19354838709677694,-4.600000000000023
31004_19991013_1200_12,1999-10-13 12:00:00,1999,10,12,0,HE,848.0,804.0,1487.4,1926.5,807.4000000000001,1246.5,439.0999999999999,0.8000000000000114,0.1821908449100459,-4.200000000000017
31004_19991014_1200_12,1999-10-14 12:00:00,1999,10,12,0,HE,806.0,744.0,1941.2,2592.2,1261.2,1912.1999999999998,650.9999999999998,5.200000000000017,0.7987711213517694,-2.200000000000017
31004_19991016_1200_12,1999-10-16 12:00:00,1999,10,12,0,HE,827.0,743.0,1685.8,2559.9,1005.8,1879.9,874.1000000000001,0.9999999999999716,0.11440338634023241,-1.799999999999983
31004_19991017_1200_12,1999-10-17 12:00:00,1999,10,12,0,G,925.0,912.0,689.6,808.3,9.600000000000023,128.29999999999995,118.69999999999993,1.6000000000000227,1.3479359730413005,-3.1999999999999904
31004_19991017_1200_12,1999-10-17 12:00:00,1999,10,12,1,HE,780.0,760.0,2104.1,2315.6,1424.1,1635.6,211.5,0.3999999999999808,0.18912529550826515,-2.6000000000000245
31004_19991019_1200_12,1999-10-19 12:00:00,1999,10,12,0,HE,780.0,682.0,2156.8,3237.8,1476.8000000000002,2557.8,1081.0,2.800000000000008,0.259019426456985,-4.0
31004_19991020_1200_12,1999-10-20 12:00:00,1999,10,12,0,G,935.0,896.0,680.0,1038.0,0.0,358.0,358.0,2.4000000000000057,0.6703910614525155,-1.5999999999999943
31004_19991113_1200_12,1999-11-13 12:00:00,1999,11,12,0,HE,765.0,744.0,2418.7,2643.7,1738.6999999999998,1963.6999999999998,225.0,0.40000000000000213,0.17777777777777873,-0.6000000000000192
31004_19991114_1200_12,1999-11-14 12:00:00,1999,11,12,0,HE,745.0,725.0,2615.7,2834.7,1935.6999999999998,2154.7,219.0,0.799999999999983,0.36529680365296024,-0.5999999999999943
31004_19991114_1200_12,1999-11-14 12:00:00,1999,11,12,1,HE,686.0,667.0,3276.2,3498.6,2596.2,2818.6,222.4000000000001,1.0,0.449640287769784,-10.599999999999994
31004_19991116_1200_12,1999-11-16 12:00:00,1999,11,12,0,HE,806.0,765.0,1914.9,2340.9,1234.9,1660.9,426.0,1.599999999999966,0.3755868544600859,-2.5999999999999943
31004_19991118_1200_12,1999-11-18 12:00:00,1999,11,12,0,G,920.0,906.0,680.0,809.2,0.0,129.20000000000005,129.20000000000005,0.6000000000000192,0.464396284829736,-1.8000000000000078
31004_19991119_1200_12,1999-11-19 12:00:00,1999,11,12,0,G,923.0,908.0,680.0,818.0,0.0,138.0,138.0,5.599999999999998,4.057971014492752,-3.0
31004_19991120_1200_12,1999-11-20 12:00:00,1999,11,12,0,G,929.0,914.0,680.0,817.1,0.0,137.10000000000002,137.10000000000002,6.0,4.376367614879649,-2.1999999999999886
31004_19991121_1200_12,1999-11-21 12:00:00,1999,11,12,0,G,931.0,916.0,680.0,816.8,0.0,136.79999999999995,136.79999999999995,6.400000000000006,4.678362573099421,-1.4000000000000057
31004_19991122_1200_12,1999-11-22 12:00:00,1999,11,12,0,G,934.0,869.0,680.0,1284.4,0.0,604.4000000000001,604.4000000000001,5.599999999999994,0.9265387160820638,-2.199999999999992
31004_19991124_1200_12,1999-11-24 12:00:00,1999,11,12,0,G,940.0,925.0,680.0,799.6,0.0,119.60000000000002,119.60000000000002,0.6000000000000192,0.5016722408026916,-2.600000000000019
31004_19991124_1200_12,1999-11-24 12:00:00,1999,11,12,1,HE,783.0,762.0,2195.2,2416.1,1515.1999999999998,1736.1,220.9000000000001,0.5999999999999943,0.2716161158895401,-2.4000000000000057
31004_19991125_1200_12,1999-11-25 12:00:00,1999,11,12,0,G,929.0,914.0,680.0,817.1,0.0,137.10000000000002,137.10000000000002,3.4000000000000057,2.4799416484318053,-5.599999999999994
31004_19991127_1200_12,1999-11-27 12:00:00,1999,11,12,0,G,925.0,914.0,709.6,817.1,29.600000000000023,137.10000000000002,107.5,1.0,0.9302325581395349,-2.799999999999983
31004_19991128_1200_12,1999-11-28 12:00:00,1999,11,12,0,HE,710.0,690.0,2839.0,3067.6,2159.0,2387.6,228.5999999999999,0.8000000000000114,0.34995625546807163,-9.0
31004_19991129_1200_12,1999-11-29 12:00:00,1999,11,12,0,HE,774.0,732.0,2202.2,2654.3,1522.1999999999998,1974.3000000000002,452.10000000000036,1.8000000000000114,0.39814200398142224,-0.8000000000000114
31004_19991130_1200_12,1999-11-30 12:00:00,1999,11,12,0,G,931.0,916.0,680.0,816.8,0.0,136.79999999999995,136.79999999999995,1.1999999999999922,0.877192982456135,-3.4000000000000057
31004_19991201_1200_12,1999-12-01 12:00:00,1999,12,12,0,HE,741.0,720.0,2676.2,2907.2,1996.1999999999998,2227.2,231.0,0.5999999999999943,0.2597402597402573,-8.0
31004_19991202_1200_12,1999-12-02 12:00:00,1999,12,12,0,HE,829.0,786.0,1709.9,2146.6,1029.9,1466.6,436.6999999999998,0.8000000000000114,0.18319212273872493,-3.8000000000000114
31004_19991208_1200_12,1999-12-08 12:00:00,1999,12,12,0,HE,860.0,837.0,1272.4,1497.5,592.4000000000001,817.5,225.0999999999999,1.0,0.44424700133274114,-5.0
31004_19991209_1200_12,1999-12-09 12:00:00,1999,12,12,0,G,931.0,818.0,680.0,1758.3,0.0,1078.3,1078.3,10.200000000000017,0.9459334137067623,-1.8000000000000114
31004_19991210_1200_12,1999-12-10 12:00:00,1999,12,12,0,HE,845.0,733.0,1552.1,2712.3,872.0999999999999,2032.3000000000002,1160.2000000000003,6.199999999999989,0.5343906223064978,-2.0
31004_19991224_1200_12,1999-12-24 12:00:00,1999,12,12,0,G,934.0,895.0,680.0,1038.4,0.0,358.4000000000001,358.4000000000001,8.400000000000007,2.3437500000000013,-2.1999999999999904
31004_19991224_1200_12,1999-12-24 12:00:00,1999,12,12,1,HE,762.0,742.0,2364.2,2579.5,1684.1999999999998,1899.5,215.30000000000018,0.2000000000000135,0.09289363678588636,-2.600000000000019
31004_19991226_1200_12,1999-12-26 12:00:00,1999,12,12,0,G,935.0,920.0,680.0,816.2,0.0,136.20000000000005,136.20000000000005,2.6000000000000227,1.9089574155653612,-3.4000000000000057
31004_19991227_1200_12,1999-12-27 12:00:00,1999,12,12,0,G,932.0,917.0,680.0,816.7,0.0,136.70000000000005,136.70000000000005,9.400000000000006,6.8763716166788615,-2.8000000000000114
31004_19991228_1200_12,1999-12-28 12:00:00,1999,12,12,0,G,930.0,890.0,680.0,1049.3,0.0,369.29999999999995,369.29999999999995,9.599999999999994,2.5995125913891135,-1.1999999999999886
31004_19991230_1200_12,1999-12-30 12:00:00,1999,12,12,0,G,941.0,875.0,680.0,1289.2,0.0,609.2,609.2,11.400000000000006,1.8713066316480638,-6.199999999999992
31004_19991231_1200_12,1999-12-31 12:00:00,1999,12,12,0,E,925.0,902.0,819.5,1053.4,139.5,373.4000000000001,233.9000000000001,1.4000000000000057,0.5985463873450214,-2.8000000000000114
31004_20000103_1200_12,2000-01-03 12:00:00,2000,1,12,0,G,941.0,850.0,680.0,1439.3,0.0,759.3,759.3,16.600000000000023,2.1862241538258953,-9.600000000000023
31004_20000104_1200_12,2000-01-04 12:00:00,2000,1,12,0,E,925.0,882.0,849.5,1284.6,169.5,604.5999999999999,435.0999999999999,11.199999999999994,2.5741208917490224,-1.599999999999996
31004_20000106_1200_12,2000-01-06 12:00:00,2000,1,12,0,E,925.0,722.0,879.5,2952.6,199.5,2272.6,2073.1,2.4000000000000057,0.1157686556364867,-2.6000000000000227
31004_20000108_1200_12,2000-01-08 12:00:00,2000,1,12,0,E,923.0,850.0,824.7,1399.4,144.70000000000005,719.4000000000001,574.7,7.7999999999999865,1.357229859056897,-6.599999999999994
31004_20000109_1200_12,2000-01-09 12:00:00,2000,1,12,0,E,923.0,805.0,824.7,1960.1,144.70000000000005,1280.1,1135.3999999999999,9.199999999999992,0.8102871234807111,-4.199999999999992
31004_20000111_1200_12,2000-01-11 12:00:00,2000,1,12,0,G,948.0,932.0,680.0,823.4,0.0,143.39999999999998,143.39999999999998,3.400000000000002,2.3709902370990257,-1.0
31004_20000111_1200_12,2000-01-11 12:00:00,2000,1,12,1,HE,857.0,788.0,1523.2,2212.3,843.2,1532.3000000000002,689.1000000000001,6.199999999999992,0.8997242780438239,-1.1999999999999922
31004_20000113_1200_12,2000-01-13 12:00:00,2000,1,12,0,G,933.0,925.0,680.0,749.6,0.0,69.60000000000002,69.60000000000002,0.8000000000000114,1.1494252873563378,-0.4000000000000057
31004_20000114_1200_12,2000-01-14 12:00:00,2000,1,12,0,G,938.0,898.0,680.0,1046.1,0.0,366.0999999999999,366.0999999999999,4.400000000000002,1.2018574160065565,-1.2000000000000135
31004_20000115_1200_12,2000-01-15 12:00:00,2000,1,12,0,G,941.0,925.0,680.0,809.6,0.0,129.60000000000002,129.60000000000002,0.8000000000000114,0.6172839506172926,-1.0
31004_20000116_1200_12,2000-01-16 12:00:00,2000,1,12,0,G,940.0,850.0,680.0,1429.4,0.0,749.4000000000001,749.4000000000001,5.800000000000008,0.773952495329598,-5.600000000000019
31004_20000117_1200_12,2000-01-17 12:00:00,2000,1,12,0,G,938.0,898.0,680.0,1046.1,0.0,366.0999999999999,366.0999999999999,3.199999999999992,0.8740781207320384,-1.0
31004_20000118_1200_12,2000-01-18 12:00:00,2000,1,12,0,G,945.0,850.0,680.0,1439.3,0.0,759.3,759.3,3.799999999999983,0.5004609508758044,-5.799999999999983
31004_20000119_1200_12,2000-01-19 12:00:00,2000,1,12,0,G,944.0,850.0,680.0,1449.3,0.0,769.3,769.3,13.200000000000014,1.715845573898351,-7.800000000000008
31004_20000120_1200_12,2000-01-20 12:00:00,2000,1,12,0,G,938.0,850.0,680.0,1503.3,0.0,823.3,823.3,8.0,0.971699259079315,-6.400000000000006
31004_20000129_1200_12,2000-01-29 12:00:00,2000,1,12,0,HE,843.0,776.0,1728.6,2405.3,1048.6,1725.3000000000002,676.7000000000003,1.5999999999999979,0.2364415546032211,-3.0
