profile_id,datetime_utc,year,month,cycle,profile_status,strict_surface_ok,eligible_article,surface_temperature_c,inversion_detected,inversion_candidate,inversion_quality,inversion_top_pressure_hpa,inversion_top_height_m,inversion_top_height_agl_m,inversion_top_temp_c,inversion_delta_t_c,inversion_confirm_drop_c
31004_19991001_1200_12,1999-10-01 12:00:00,1999,10,12,good,True,True,-3.5,False,False,none,,,,,,
31004_19991002_1200_12,1999-10-02 12:00:00,1999,10,12,good,True,True,-3.099999999999966,False,False,none,,,,,,
31004_19991003_1200_12,1999-10-03 12:00:00,1999,10,12,good,True,True,-2.5,False,False,none,,,,,,
31004_19991004_1200_12,1999-10-04 12:00:00,1999,10,12,good,True,True,-7.299999999999954,False,False,none,,,,,,
31004_19991005_1200_12,1999-10-05 12:00:00,1999,10,12,good,True,True,-15.699999999999989,True,True,confirmed,920.0,816.2,136.20000000000005,-10.5,5.199999999999989,-4.3999999999999755
31004_19991006_1200_12,1999-10-06 12:00:00,1999,10,12,good,True,True,-12.299999999999956,True,True,confirmed,915.0,807.9,127.89999999999998,-8.5,3.7999999999999563,-3.599999999999966
31004_19991007_1200_12,1999-10-07 12:00:00,1999,10,12,good,True,True,-5.099999999999966,False,False,none,,,,,,
31004_19991008_1200_12,1999-10-08 12:00:00,1999,10,12,good,True,True,3.200000000000045,True,True,confirmed,909.0,799.6,119.60000000000002,4.400000000000034,1.199999999999989,-3.400000000000034
31004_19991009_1200_12,1999-10-09 12:00:00,1999,10,12,good,True,True,2.200000000000045,False,False,none,,,,,,
31004_19991010_1200_12,1999-10-10 12:00:00,1999,10,12,good,True,True,0.0,False,True,rejected_no_lapse,910.0,808.6,128.60000000000002,1.400000000000034,1.400000000000034,
31004_19991011_1200_12,1999-10-11 12:00:00,1999,10,12,good,True,True,-4.2999999999999545,False,False,none,,,,,,
31004_19991012_1200_12,1999-10-12 12:00:00,1999,10,12,good,True,True,-9.699999999999989,False,False,none,,,,,,
31004_19991013_1200_12,1999-10-13 12:00:00,1999,10,12,good,True,True,-14.099999999999966,False,False,none,,,,,,
31004_19991014_1200_12,1999-10-14 12:00:00,1999,10,12,good,True,True,-14.699999999999989,False,False,none,,,,,,
31004_19991016_1200_12,1999-10-16 12:00:00,1999,10,12,good,True,True,-11.299999999999956,False,False,none,,,,,,
31004_19991017_1200_12,1999-10-17 12:00:00,1999,10,12,good,True,True,-9.899999999999975,False,False,none,,,,,,
31004_19991018_1200_12,1999-10-18 12:00:00,1999,10,12,good,True,True,-1.5,False,False,none,,,,,,
31004_19991019_1200_12,1999-10-19 12:00:00,1999,10,12,good,True,True,-15.299999999999956,False,False,none,,,,,,
31004_19991020_1200_12,1999-10-20 12:00:00,1999,10,12,good,True,True,-21.69999999999999,True,True,confirmed,896.0,1038.0,358.0,-19.299999999999983,2.4000000000000057,-1.5999999999999943
31004_19991021_1200_12,1999-10-21 12:00:00,1999,10,12,good,True,True,-17.299999999999983,False,False,none,,,,,,
31004_19991022_1200_12,1999-10-22 12:00:00,1999,10,12,good,True,True,-13.5,False,True,rejected_no_lapse,901.0,1027.1,347.0999999999999,-6.099999999999966,7.400000000000034,
31004_19991113_1200_12,1999-11-13 12:00:00,1999,11,12,good,True,True,-24.49999999999997,False,True,rejected_no_lapse,929.0,814.9,134.89999999999998,-23.49999999999997,1.0,
31004_19991114_1200_12,1999-11-14 12:00:00,1999,11,12,good,True,True,-19.09999999999997,False,False,none,,,,,,
31004_19991115_1200_12,1999-11-15 12:00:00,1999,11,12,good,True,True,-18.09999999999997,False,False,none,,,,,,
31004_19991116_1200_12,1999-11-16 12:00:00,1999,11,12,good,True,True,-12.699999999999989,False,False,none,,,,,,
31004_19991117_1200_12,1999-11-17 12:00:00,1999,11,12,good,True,True,-15.099999999999966,False,False,none,,,,,,
31004_19991118_1200_12,1999-11-18 12:00:00,1999,11,12,good,True,True,-18.69999999999999,True,True,confirmed,906.0,809.2,129.20000000000005,-18.09999999999997,0.6000000000000192,-1.8000000000000078
31004_19991119_1200_12,1999-11-19 12:00:00,1999,11,12,good,True,True,-30.09999999999997,True,True,confirmed,908.0,818.0,138.0,-24.49999999999997,5.599999999999998,-3.0
31004_19991120_1200_12,1999-11-20 12:00:00,1999,11,12,good,True,True,-33.29999999999998,True,True,confirmed,914.0,817.1,137.10000000000002,-27.299999999999983,6.0,-2.1999999999999886
31004_19991121_1200_12,1999-11-21 12:00:00,1999,11,12,good,True,True,-30.69999999999999,True,True,confirmed,916.0,816.8,136.79999999999995,-24.299999999999983,6.400000000000006,-1.4000000000000057
31004_19991122_1200_12,1999-11-22 12:00:00,1999,11,12,good,True,True,-32.49999999999997,True,True,confirmed,869.0,1284.4,604.4000000000001,-26.899999999999977,5.599999999999994,-2.199999999999992
31004_19991123_1200_12,1999-11-23 12:00:00,1999,11,12,good,True,True,-31.899999999999977,False,False,none,,,,,,
31004_19991124_1200_12,1999-11-24 12:00:00,1999,11,12,good,True,True,-25.69999999999999,True,True,confirmed,925.0,799.6,119.60000000000002,-25.09999999999997,0.6000000000000192,-2.600000000000019
31004_19991125_1200_12,1999-11-25 12:00:00,1999,11,12,good,True,True,-25.299999999999983,True,True,confirmed,914.0,817.1,137.10000000000002,-21.899999999999977,3.4000000000000057,-5.599999999999994
31004_19991126_1200_12,1999-11-26 12:00:00,1999,11,12,good,True,True,-25.09999999999997,False,False,none,,,,,,
31004_19991127_1200_12,1999-11-27 12:00:00,1999,11,12,good,True,True,-22.899999999999977,False,False,none,,,,,,
31004_19991128_1200_12,1999-11-28 12:00:00,1999,11,12,good,True,True,-19.09999999999997,False,False,none,,,,,,
31004_19991129_1200_12,1999-11-29 12:00:00,1999,11,12,good,True,True,-21.69999999999999,False,False,none,,,,,,
31004_19991130_1200_12,1999-11-30 12:00:00,1999,11,12,good,True,True,-24.09999999999997,True,True,confirmed,916.0,816.8,136.79999999999995,-22.899999999999977,1.1999999999999922,-3.4000000000000057
31004_19991201_1200_12,1999-12-01 12:00:00,1999,12,12,good,True,True,-29.69999999999999,False,False,none,,,,,,
31004_19991202_1200_12,1999-12-02 12:00:00,1999,12,12,good,True,True,-17.899999999999977,False,False,none,,,,,,
31004_19991203_1200_12,1999-12-03 12:00:00,1999,12,12,good,True,True,-15.099999999999966,False,False,none,,,,,,
31004_19991204_1200_12,1999-12-04 12:00:00,1999,12,12,good,True,True,-14.699999999999989,False,False,none,,,,,,
31004_19991205_1200_12,1999-12-05 12:00:00,1999,12,12,good,True,True,-12.899999999999975,False,False,none,,,,,,
31004_19991206_1200_12,1999-12-06 12:00:00,1999,12,12,good,True,True,-14.299999999999956,False,False,none,,,,,,
31004_19991207_1200_12,1999-12-07 12:00:00,1999,12,12,good,True,True,-10.699999999999989,False,False,none,,,,,,
31004_19991208_1200_12,1999-12-08 12:00:00,1999,12,12,good,True,True,-20.49999999999997,False,False,none,,,,,,
31004_19991209_1200_12,1999-12-09 12:00:00,1999,12,12,good,True,True,-38.69999999999999,True,True,confirmed,818.0,1758.3,1078.3,-28.49999999999997,10.200000000000017,-1.8000000000000114
31004_19991210_1200_12,1999-12-10 12:00:00,1999,12,12,good,True,True,-39.29999999999998,False,True,rejected_no_lapse,922.0,824.9,144.89999999999998,-36.49999999999997,2.8000000000000114,
31004_19991211_1200_12,1999-12-11 12:00:00,1999,12,12,good,True,True,-40.69999999999999,False,True,rejected_no_lapse,700.0,2789.3,2109.3,-28.899999999999977,11.800000000000011,
31004_19991212_1200_12,1999-12-12 12:00:00,1999,12,12,good,True,True,-41.29999999999998,False,True,rejected_no_lapse,831.0,1751.3,1071.3,-23.49999999999997,17.80000000000001,
31004_19991224_1200_12,1999-12-24 12:00:00,1999,12,12,good,True,True,-23.299999999999983,True,True,confirmed,895.0,1038.4,358.4000000000001,-14.899999999999975,8.400000000000007,-2.1999999999999904
31004_19991225_1200_12,1999-12-25 12:00:00,1999,12,12,short,True,False,-12.5,False,False,none,,,,,,
31004_19991226_1200_12,1999-12-26 12:00:00,1999,12,12,good,True,True,-18.69999999999999,True,True,confirmed,920.0,816.2,136.20000000000005,-16.099999999999966,2.6000000000000227,-3.4000000000000057
31004_19991227_1200_12,1999-12-27 12:00:00,1999,12,12,good,True,True,-27.899999999999977,True,True,confirmed,917.0,816.7,136.70000000000005,-18.49999999999997,9.400000000000006,-2.8000000000000114
31004_19991228_1200_12,1999-12-28 12:00:00,1999,12,12,good,True,True,-30.899999999999977,True,True,confirmed,890.0,1049.3,369.29999999999995,-21.299999999999983,9.599999999999994,-1.1999999999999886
31004_19991229_1200_12,1999-12-29 12:00:00,1999,12,12,good,True,True,-28.49999999999997,False,True,rejected_no_lapse,873.0,1281.7,601.7,-24.299999999999983,4.199999999999989,
31004_19991230_1200_12,1999-12-30 12:00:00,1999,12,12,good,True,True,-36.29999999999998,True,True,confirmed,875.0,1289.2,609.2,-24.899999999999977,11.400000000000006,-6.199999999999992
