profile_id,year,month,cycle,has_G,has_E,has_HE
31004_19991001_1200_12,1999,10,12,False,False,True
31004_19991002_1200_12,1999,10,12,False,False,False
31004_19991003_1200_12,1999,10,12,False,False,False
31004_19991004_1200_12,1999,10,12,False,False,False
31004_19991005_1200_12,1999,10,12,True,False,True
31004_19991006_1200_12,1999,10,12,True,False,False
31004_19991007_1200_12,1999,10,12,False,False,True
31004_19991008_1200_12,1999,10,12,True,False,False
31004_19991009_1200_12,1999,10,12,False,False,False
31004_19991010_1200_12,1999,10,12,False,False,False
31004_19991011_1200_12,1999,10,12,False,False,False
31004_19991012_1200_12,1999,10,12,False,False,True
31004_19991013_1200_12,1999,10,12,False,False,True
31004_19991014_1200_12,1999,10,12,False,False,True
31004_19991016_1200_12,1999,10,12,False,False,True
31004_19991017_1200_12,1999,10,12,True,False,True
31004_19991018_1200_12,1999,10,12,False,False,False
31004_19991019_1200_12,1999,10,12,False,False,True
31004_19991020_1200_12,1999,10,12,True,False,False
31004_19991021_1200_12,1999,10,12,False,False,False
31004_19991022_1200_12,1999,10,12,False,False,False
31004_19991113_1200_12,1999,11,12,False,False,True
31004_19991114_1200_12,1999,11,12,False,False,True
31004_19991115_1200_12,1999,11,12,False,False,False
31004_19991116_1200_12,1999,11,12,False,False,True
31004_19991117_1200_12,1999,11,12,False,False,False
31004_19991118_1200_12,1999,11,12,True,False,False
31004_19991119_1200_12,1999,11,12,True,False,False
31004_19991120_1200_12,1999,11,12,True,False,False
31004_19991121_1200_12,1999,11,12,True,False,False
31004_19991122_1200_12,1999,11,12,True,False,False
31004_19991123_1200_12,1999,11,12,False,False,False
31004_19991124_1200_12,1999,11,12,True,False,True
31004_19991125_1200_12,1999,11,12,True,False,False
31004_19991126_1200_12,1999,11,12,False,False,False
31004_19991127_1200_12,1999,11,12,True,False,False
31004_19991128_1200_12,1999,11,12,False,False,True
31004_19991129_1200_12,1999,11,12,False,False,True
31004_19991130_1200_12,1999,11,12,True,False,False
31004_19991201_1200_12,1999,12,12,False,False,True
31004_19991202_1200_12,1999,12,12,False,False,True
31004_19991203_1200_12,1999,12,12,False,False,False
31004_19991204_1200_12,1999,12,12,False,False,False
31004_19991205_1200_12,1999,12,12,False,False,False
31004_19991206_1200_12,1999,12,12,False,False,False
31004_19991207_1200_12,1999,12,12,False,False,False
31004_19991208_1200_12,1999,12,12,False,False,True
31004_19991209_1200_12,1999,12,12,True,False,False
31004_19991210_1200_12,1999,12,12,False,False,True
31004_19991211_1200_12,1999,12,12,False,False,False
31004_19991212_1200_12,1999,12,12,False,False,False
31004_19991224_1200_12,1999,12,12,True,False,True
31004_19991226_1200_12,1999,12,12,True,False,False
