month,cycle,profiles,inversions,frequency_percent
1,00,736,167,22.690217391304348
1,12,775,192,24.774193548387096
2,00,665,171,25.71428571428571
2,12,722,234,32.40997229916898
3,00,733,233,31.78717598908595
3,12,775,312,40.25806451612903
4,00,724,90,12.430939226519337
4,12,735,161,21.904761904761905
5,00,790,33,4.177215189873418
5,12,787,62,7.878017789072427
6,00,767,38,4.954367666232073
6,12,757,76,10.039630118890356
7,00,761,47,6.176084099868594
7,12,758,102,13.456464379947231
8,00,748,102,13.636363636363635
8,12,747,244,32.663989290495316
9,00,735,141,19.183673469387756
9,12,735,233,31.700680272108844
10,00,766,118,15.404699738903393
10,12,763,129,16.90694626474443
11,00,741,128,17.27395411605938
11,12,736,154,20.92391304347826
12,00,767,175,22.816166883963493
12,12,757,156,20.607661822985467
