year,pressure_hpa,median_temperature_c,q25,q75,profiles
1999,500.0,-37.999999999999986,-42.39999999999997,-30.749999999999986,58
1999,700.0,-25.09999999999998,-29.19999999999998,-18.899999999999977,58
1999,850.0,-19.99999999999997,-25.599999999999987,-14.599999999999994,58
1999,925.0,-19.59999999999997,-25.39999999999997,-13.199999999999973,46
2000,500.0,-30.799999999999983,-38.89999999999998,-18.299999999999983,330
2000,700.0,-15.299999999999956,-25.299999999999983,-2.9499999999999744,330
2000,850.0,-6.399999999999977,-21.69999999999999,6.950000000000003,330
2000,925.0,-2.799999999999983,-22.69999999999999,11.0,300
2001,500.0,-27.69999999999999,-37.69999999999999,-17.49999999999997,577
2001,700.0,-13.699999999999989,-23.69999999999999,-2.6999999999999886,577
2001,850.0,-6.2999999999999545,-18.899999999999977,6.800000000000011,577
2001,925.0,-2.5,-17.899999999999977,10.800000000000011,488
2002,500.0,-30.299999999999983,-37.69999999999999,-18.899999999999977,691
2002,700.0,-15.899999999999975,-24.09999999999997,-2.9999999999999716,691
2002,850.0,-8.899999999999977,-18.399999999999977,6.2000000000000455,691
2002,925.0,-5.099999999999966,-18.34999999999998,11.25000000000004,620
2003,500.0,-30.899999999999977,-38.04999999999997,-18.949999999999974,606
2003,700.0,-15.699999999999989,-24.84999999999998,-4.2999999999999545,606
2003,850.0,-5.699999999999989,-18.24999999999998,5.800000000000011,606
2003,925.0,-2.8999999999999773,-18.09999999999997,10.200000000000044,525
2004,500.0,-31.899999999999977,-38.49999999999997,-19.49999999999997,353
2004,700.0,-17.69999999999999,-25.49999999999997,-5.099999999999966,353
2004,850.0,-9.5,-21.299999999999983,2.400000000000034,353
2004,925.0,-6.2999999999999545,-22.24999999999998,6.800000000000011,306
2005,500.0,-30.09999999999997,-38.29999999999998,-19.899999999999977,686
2005,700.0,-15.699999999999989,-24.899999999999977,-4.699999999999989,686
2005,850.0,-8.099999999999966,-21.69999999999999,5.0,686
2005,925.0,-6.199999999999989,-23.69999999999999,8.0,596
2006,500.0,-31.09999999999997,-39.89999999999998,-18.899999999999977,711
2006,700.0,-16.5,-26.299999999999983,-2.799999999999983,711
2006,850.0,-8.5,-21.69999999999999,5.900000000000006,711
2006,925.0,-7.999999999999972,-22.49999999999997,8.800000000000011,614
2007,500.0,-29.09999999999997,-37.89999999999998,-17.49999999999997,698
2007,700.0,-15.299999999999956,-24.69999999999999,-3.149999999999963,698
2007,850.0,-7.899999999999977,-19.49999999999997,5.800000000000011,698
2007,925.0,-4.899999999999977,-18.649999999999984,9.150000000000032,618
2008,500.0,-29.899999999999977,-38.29999999999998,-18.649999999999984,712
2008,700.0,-15.19999999999996,-24.949999999999974,-2.84999999999998,712
2008,850.0,-6.899999999999977,-20.09999999999997,7.0,712
2008,925.0,-2.6999999999999886,-18.09999999999997,11.400000000000034,625
2009,500.0,-30.99999999999997,-40.89999999999998,-18.24999999999998,716
2009,700.0,-15.299999999999956,-26.549999999999976,-3.099999999999966,716
