profile_id,year,month,cycle,pressure_hpa,height_agl_m,gamma_c_per_100m
31004_19991001_1200_12,1999,10,12,850.0,769.3,-0.72760345611641
31004_19991001_1200_12,1999,10,12,750.0,1856.358823529412,-0.602968460111318
31004_19991001_1200_12,1999,10,12,500.0,4710.9,-0.4793824903514121
31004_19991002_1200_12,1999,10,12,850.0,739.4000000000001,-0.7578053955744164
31004_19991002_1200_12,1999,10,12,750.0,1822.9537190082647,-0.6101746624971397
31004_19991002_1200_12,1999,10,12,500.0,4660.9,-0.6061847225066563
31004_19991003_1200_12,1999,10,12,850.0,709.4000000000001,-0.537473872797845
31004_19991003_1200_12,1999,10,12,750.0,1782.9483870967742,-0.585937500000001
31004_19991003_1200_12,1999,10,12,500.0,4680.9,-0.48355899419729237
31004_19991004_1200_12,1999,10,12,850.0,679.4000000000001,-0.30312215822976657
31004_19991004_1200_12,1999,10,12,750.0,1666.0,-0.5000337860666246
31004_19991004_1200_12,1999,10,12,500.0,4620.8,-0.4793824903514122
31004_19991005_1200_12,1999,10,12,850.0,729.4000000000001,-0.4309018159433686
31004_19991005_1200_12,1999,10,12,750.0,1823.6125000000002,-0.41810891394496047
31004_19991005_1200_12,1999,10,12,500.0,4630.8,-0.5058127676932492
31004_19991006_1200_12,1999,10,12,850.0,679.4000000000001,-0.12311480455524924
31004_19991006_1200_12,1999,10,12,750.0,1770.80625,-0.4724409448818914
31004_19991006_1200_12,1999,10,12,500.0,4600.8,-0.40791352233326533
31004_19991007_1200_12,1999,10,12,850.0,659.4000000000001,-0.4852896572641778
31004_19991007_1200_12,1999,10,12,750.0,1693.5592592592593,-0.20031778661977517
31004_19991007_1200_12,1999,10,12,500.0,4670.9,-0.46185698359611504
31004_19991008_1200_12,1999,10,12,750.0,1688.3853658536586,-0.8364858586720512
31004_19991008_1200_12,1999,10,12,500.0,4720.9,-0.49770895876125765
31004_19991009_1200_12,1999,10,12,750.0,1686.2166666666667,-0.6241143785126334
31004_19991009_1200_12,1999,10,12,500.0,4670.9,-0.5733397037744867
31004_19991010_1200_12,1999,10,12,750.0,1726.1399999999999,-0.818555179135833
31004_19991010_1200_12,1999,10,12,500.0,4670.9,-0.7545352384010281
31004_19991011_1200_12,1999,10,12,750.0,1708.65,-0.16834229600186887
31004_19991011_1200_12,1999,10,12,500.0,4680.9,-0.6662436548223356
31004_19991012_1200_12,1999,10,12,850.0,659.4000000000001,-0.8752735229759337
31004_19991012_1200_12,1999,10,12,750.0,1753.3282051282054,-0.18704644752385965
31004_19991012_1200_12,1999,10,12,500.0,4600.8,-0.3949224259520446
31004_19991013_1200_12,1999,10,12,850.0,709.4000000000001,-0.6564551422319501
31004_19991013_1200_12,1999,10,12,750.0,1715.2615384615383,-0.13727229623285034
31004_19991013_1200_12,1999,10,12,500.0,4580.8,-0.4770717663993418
31004_19991014_1200_12,1999,10,12,850.0,729.4000000000001,-0.8256589393458221
31004_19991014_1200_12,1999,10,12,750.0,1847.8199999999997,0.3004238121635899
31004_19991014_1200_12,1999,10,12,500.0,4590.8,-0.8044785403275971
31004_19991016_1200_12,1999,10,12,850.0,709.4000000000001,-0.6251953735542356
31004_19991016_1200_12,1999,10,12,750.0,1807.0583333333334,-0.0804743431091955
31004_19991016_1200_12,1999,10,12,500.0,4620.8,-0.48133795635325255
31004_19991017_1200_12,1999,10,12,850.0,659.4000000000001,-0.24622960911049052
31004_19991017_1200_12,1999,10,12,750.0,1719.5500000000002,-0.19179675832036563
31004_19991017_1200_12,1999,10,12,500.0,4610.8,-0.5664576168318823
31004_19991018_1200_12,1999,10,12,750.0,1701.7636363636366,-0.5134348793428031
31004_19991018_1200_12,1999,10,12,500.0,4620.8,-0.6528309490227683
31004_19991019_1200_12,1999,10,12,850.0,689.4000000000001,-0.5398539218799582
31004_19991019_1200_12,1999,10,12,750.0,1797.3609756097562,-0.0880545233608648
31004_19991019_1200_12,1999,10,12,500.0,4590.8,-0.46125834513453384
31004_19991020_1200_12,1999,10,12,850.0,709.4000000000001,-0.06351222610352582
31004_19991020_1200_12,1999,10,12,750.0,1823.4,-0.22989009064237903
31004_19991020_1200_12,1999,10,12,500.0,4530.7,-0.5746647788789866
31004_19991021_1200_12,1999,10,12,850.0,769.3,-0.15878056525881235
31004_19991021_1200_12,1999,10,12,750.0,1881.948780487805,0.3415273594542561
31004_19991021_1200_12,1999,10,12,500.0,4730.9,-0.5619104956853302
31004_19991022_1200_12,1999,10,12,850.0,779.3,0.030316810671524252
31004_19991022_1200_12,1999,10,12,750.0,1850.0603773584903,-0.21391957399344558
31004_19991022_1200_12,1999,10,12,500.0,4811.0,-0.4758883248730966
31004_19991113_1200_12,1999,11,12,850.0,759.3,-0.4591669399803233
31004_19991113_1200_12,1999,11,12,750.0,1899.4142857142856,-0.1679029671210894
31004_19991113_1200_12,1999,11,12,500.0,4530.7,-0.4385595007168752
31004_19991114_1200_12,1999,11,12,850.0,759.3,-0.48402710551790906
31004_19991114_1200_12,1999,11,12,750.0,1883.376923076923,-0.2805720933415455
31004_19991114_1200_12,1999,11,12,500.0,4570.8,-0.4830314386841565
31004_19991115_1200_12,1999,11,12,850.0,779.3,-0.41949015811552026
31004_19991115_1200_12,1999,11,12,750.0,1773.6910447761193,-0.16900765787806962
31004_19991115_1200_12,1999,11,12,500.0,4610.8,-0.46639460314816306
31004_19991116_1200_12,1999,11,12,850.0,719.4000000000001,-0.2500781494216981
31004_19991116_1200_12,1999,11,12,750.0,1782.8384615384616,-0.07522767220988394
31004_19991116_1200_12,1999,11,12,500.0,4640.8,-0.5873954721599023
31004_19991117_1200_12,1999,11,12,750.0,1718.4510948905108,-0.4516171880188624
31004_19991117_1200_12,1999,11,12,500.0,4420.6,-0.598827647282081
31004_19991118_1200_12,1999,11,12,750.0,1692.2873239436622,-0.5235936402528567
31004_19991118_1200_12,1999,11,12,500.0,4350.6,-0.6039212350614548
31004_19991119_1200_12,1999,11,12,750.0,1714.0206896551722,-0.5197376562306649
31004_19991119_1200_12,1999,11,12,500.0,4230.5,-0.5395365292764899
31004_19991120_1200_12,1999,11,12,850.0,639.4000000000001,0.3935716628402764
31004_19991120_1200_12,1999,11,12,750.0,1763.613725490196,-0.021976143675145266
31004_19991120_1200_12,1999,11,12,500.0,4360.6,-0.39294409088967736
31004_19991121_1200_12,1999,11,12,850.0,659.4000000000001,0.3607740242702506
31004_19991121_1200_12,1999,11,12,750.0,1762.5727272727272,-0.1779989946353066
31004_19991121_1200_12,1999,11,12,500.0,4410.6,-0.5188619061795597
31004_19991122_1200_12,1999,11,12,850.0,679.4000000000001,0.4919645785503443
31004_19991122_1200_12,1999,11,12,750.0,1782.6928571428575,-0.16638504217893116
31004_19991122_1200_12,1999,11,12,500.0,4390.6,-0.5514151553009092
