bin_left,bin_right,bin_center,month,position_type,profiles,eligible_profiles,recurrence_percent
0.0,50.0,25.0,1,E,0,1511,0.0
50.0,100.0,75.0,1,E,0,1511,0.0
100.0,150.0,125.0,1,E,0,1511,0.0
150.0,250.0,200.0,1,E,3,1511,0.1985440105890139
250.0,400.0,325.0,1,E,14,1511,0.9265387160820648
400.0,600.0,500.0,1,E,13,1511,0.8603573792190603
600.0,800.0,700.0,1,E,17,1511,1.1250827266710788
800.0,1000.0,900.0,1,E,5,1511,0.3309066843150232
1000.0,1500.0,1250.0,1,E,19,1511,1.257445400397088
1500.0,2000.0,1750.0,1,E,11,1511,0.727994705493051
2000.0,3000.0,2500.0,1,E,0,1511,0.0
3000.0,4500.0,3750.0,1,E,0,1511,0.0
4500.0,inf,4500.0,1,E,0,1511,0.0
0.0,50.0,25.0,1,G,45,1511,2.9781601588352085
50.0,100.0,75.0,1,G,41,1511,2.71343481138319
100.0,150.0,125.0,1,G,64,1511,4.2356055592322965
150.0,250.0,200.0,1,G,181,1511,11.97882197220384
250.0,400.0,325.0,1,G,132,1511,8.735936465916613
400.0,600.0,500.0,1,G,99,1511,6.551952349437459
600.0,800.0,700.0,1,G,108,1511,7.1475843812045
800.0,1000.0,900.0,1,G,32,1511,2.1178027796161483
1000.0,1500.0,1250.0,1,G,85,1511,5.625413633355394
1500.0,2000.0,1750.0,1,G,50,1511,3.3090668431502315
2000.0,3000.0,2500.0,1,G,18,1511,1.1912640635340834
3000.0,4500.0,3750.0,1,G,0,1511,0.0
4500.0,inf,4500.0,1,G,0,1511,0.0
0.0,50.0,25.0,1,HE,0,1511,0.0
50.0,100.0,75.0,1,HE,0,1511,0.0
100.0,150.0,125.0,1,HE,0,1511,0.0
150.0,250.0,200.0,1,HE,0,1511,0.0
250.0,400.0,325.0,1,HE,2,1511,0.13236267372600927
400.0,600.0,500.0,1,HE,16,1511,1.0589013898080741
600.0,800.0,700.0,1,HE,76,1511,5.029781601588352
800.0,1000.0,900.0,1,HE,57,1511,3.7723362011912642
1000.0,1500.0,1250.0,1,HE,303,1511,20.052945069490406
1500.0,2000.0,1750.0,1,HE,325,1511,21.508934480476505
2000.0,3000.0,2500.0,1,HE,449,1511,29.71542025148908
3000.0,4500.0,3750.0,1,HE,138,1511,9.133024487094639
4500.0,inf,4500.0,1,HE,261,1511,17.27332892124421
0.0,50.0,25.0,2,E,0,1388,0.0
50.0,100.0,75.0,2,E,0,1388,0.0
100.0,150.0,125.0,2,E,1,1388,0.07204610951008646
