month,position_type,median,q25,q75,n
1,G,354.9000000000001,190.3,738.3,855
1,E,693.0500000000001,437.575,1201.8249999999998,82
1,HE,2045.6999999999998,1456.05,2952.7,1627
2,G,239.35000000000002,162.60000000000002,394.15,826
2,E,687.3,421.29999999999995,1353.0,33
2,HE,2092.8,1506.4250000000002,3138.425,1406
3,G,209.39999999999998,136.10000000000002,283.72499999999997,874
3,E,440.9000000000001,291.9,571.9000000000001,29
3,HE,2261.1,1801.6,4590.3,1029
4,G,140.60000000000002,89.72500000000002,210.025,406
4,E,238.29999999999995,191.39999999999998,334.70000000000005,29
4,HE,2323.55,1962.025,4616.099999999999,886
5,G,146.25,73.14999999999998,228.575,140
5,E,290.05,199.525,337.85,32
5,HE,2647.5,1836.45,3885.35,751
6,G,151.34999999999997,71.94999999999999,220.90000000000003,192
6,E,369.29999999999995,259.35,476.85,38
6,HE,2626.9,1856.1,3469.8,513
7,G,173.20000000000005,82.0,238.29999999999995,273
7,E,295.0,211.39999999999998,379.0999999999999,53
7,HE,2367.3,1566.95,3397.35,543
8,G,173.5,101.35,246.79999999999995,548
8,E,296.70000000000005,214.8,450.79999999999995,51
8,HE,2418.4,1659.75,3321.3,656
9,G,181.79999999999995,116.60000000000002,257.70000000000005,593
9,E,416.65,324.425,569.25,38
9,HE,2324.8,1708.85,3337.8,803
10,G,201.60000000000002,127.0,310.70000000000005,467
10,E,347.0999999999999,284.79999999999995,570.5999999999999,33
10,HE,2243.3,1654.6999999999998,3347.7,1255
11,G,283.20000000000005,173.225,571.425,660
11,E,519.4,360.5249999999999,740.625,50
11,HE,2083.2,1374.525,3116.575,1550
12,G,345.29999999999995,183.8,762.6999999999999,807
12,E,683.35,458.67499999999995,959.9,64
12,HE,2072.5,1446.8,3072.95,1804
