year,profiles,inversions,frequency_percent,moving_average_percent,sen_trend_percent
2005,686,129,18.80466472303207,23.059012219909615,21.810657673786864
2006,711,186,26.160337552742618,22.139764782909737,21.510058378711392
2007,698,169,24.212034383954155,21.901755960406003,21.20945908363592
2008,712,138,19.382022471910112,22.284469424639365,20.90885978856045
2009,716,150,20.949720670391063,20.385735247424176,20.608260493484977
2010,724,150,20.718232044198896,20.135306240619517,20.307661198409505
2011,726,121,16.666666666666664,20.572627236433572,20.007061903334034
2012,723,166,22.959889349930844,22.128847676971816,19.706462608258448
2013,714,154,21.568627450980394,21.661904913139963,19.405863313182977
2014,717,206,28.730822873082285,21.629542453593036,19.105264018107505
2015,631,116,18.38351822503962,20.366274708433497,18.804664723032033
2016,721,119,16.50485436893204,20.496993662681867,18.50406542795656
2017,721,120,16.643550624133148,19.86132632563447,18.20346613288109
2018,729,162,22.22222222222222,19.775782901621017,17.902866837805618
2019,724,185,25.552486187845304,20.13132172312547,17.602267542730146
2020,724,130,17.955801104972377,20.172777344155193,17.301668247654675
2021,722,132,18.282548476454295,19.066263934193508,17.001068952579203
2022,724,122,16.85082872928177,16.534641868092212,16.70046965750373
2023,725,121,16.689655172413794,16.544589680338735,16.39987036242826
2024,729,94,12.894375857338819,16.110099981309844,16.099271067352788
2025,722,130,18.005540166204987,15.863190398652534,15.798671772277316
