bin_left,bin_right,bin_center,month,position_type,profiles,eligible_profiles,recurrence_percent
0.0,50.0,25.0,0,E,13,17991,0.07225835139792118
50.0,100.0,75.0,0,E,29,17991,0.1611917069645934
100.0,150.0,125.0,0,E,76,17991,0.42243343894169305
150.0,250.0,200.0,0,E,106,17991,0.5891834806292036
250.0,400.0,325.0,0,E,119,17991,0.6614418320271247
400.0,600.0,500.0,0,E,77,17991,0.4279917736646101
600.0,800.0,700.0,0,E,40,17991,0.22233338891668059
800.0,1000.0,900.0,0,E,26,17991,0.14451670279584236
1000.0,1500.0,1250.0,0,E,33,17991,0.18342504585626146
1500.0,2000.0,1750.0,0,E,11,17991,0.061141681952087155
2000.0,3000.0,2500.0,0,E,2,17991,0.011116669445834029
3000.0,4500.0,3750.0,0,E,0,17991,0.0
4500.0,inf,4500.0,0,E,0,17991,0.0
0.0,50.0,25.0,0,G,433,17991,2.406758935023067
50.0,100.0,75.0,0,G,696,17991,3.8686009671502415
100.0,150.0,125.0,0,G,886,17991,4.924684564504474
150.0,250.0,200.0,0,G,1928,17991,10.716469345784004
250.0,400.0,325.0,0,G,1215,17991,6.753376688344172
400.0,600.0,500.0,0,G,528,17991,2.9348007337001834
600.0,800.0,700.0,0,G,405,17991,2.2511255627813904
800.0,1000.0,900.0,0,G,119,17991,0.6614418320271247
1000.0,1500.0,1250.0,0,G,278,17991,1.54521705297093
1500.0,2000.0,1750.0,0,G,124,17991,0.6892335056417098
2000.0,3000.0,2500.0,0,G,29,17991,0.1611917069645934
3000.0,4500.0,3750.0,0,G,0,17991,0.0
4500.0,inf,4500.0,0,G,0,17991,0.0
0.0,50.0,25.0,0,HE,1133,17991,6.297593241064976
50.0,100.0,75.0,0,HE,1144,17991,6.358734923017065
100.0,150.0,125.0,0,HE,1318,17991,7.325885164804625
150.0,250.0,200.0,0,HE,3051,17991,16.95847923961981
250.0,400.0,325.0,0,HE,2935,17991,16.313712411761436
400.0,600.0,500.0,0,HE,1480,17991,8.22633538991718
600.0,800.0,700.0,0,HE,784,17991,4.357734422766939
800.0,1000.0,900.0,0,HE,426,17991,2.367850591962648
1000.0,1500.0,1250.0,0,HE,452,17991,2.5123672947584903
1500.0,2000.0,1750.0,0,HE,92,17991,0.5113667945083653
2000.0,3000.0,2500.0,0,HE,8,17991,0.044466677783336114
3000.0,4500.0,3750.0,0,HE,0,17991,0.0
4500.0,inf,4500.0,0,HE,0,17991,0.0
