year,1,2,3,4,5,6,7,8,9,10,11,12
1999,,,,,,,,,,33.33333333333333,55.55555555555556,57.89473684210527
2000,90.47619047619048,67.85714285714286,71.42857142857143,22.22222222222222,2.7027027027027026,9.67741935483871,10.714285714285714,25.925925925925924,57.14285714285714,38.70967741935484,46.666666666666664,70.0
2001,63.33333333333333,55.55555555555556,61.53846153846154,20.689655172413794,8.19672131147541,12.068965517241379,16.94915254237288,35.55555555555556,24.561403508771928,30.64516129032258,25.0,55.55555555555556
2002,44.26229508196721,40.74074074074074,46.2962962962963,29.09090909090909,9.836065573770492,14.035087719298245,22.22222222222222,45.90163934426229,28.8135593220339,30.64516129032258,40.0,45.16129032258064
2003,61.29032258064516,70.9090909090909,47.540983606557376,25.49019607843137,6.382978723404255,3.389830508474576,9.836065573770492,21.052631578947366,33.92857142857143,25.0,63.33333333333333,48.38709677419355
2004,63.33333333333333,73.07692307692307,40.0,10.344827586206897,3.225806451612903,14.285714285714285,6.666666666666667,12.903225806451612,35.714285714285715,58.620689655172406,20.689655172413794,71.875
2005,42.62295081967213,64.28571428571429,55.932203389830505,25.862068965517242,3.3333333333333335,10.714285714285714,11.904761904761903,23.728813559322035,56.666666666666664,28.8135593220339,62.06896551724138,67.24137931034483
2006,77.41935483870968,59.25925925925925,80.7017543859649,24.561403508771928,1.694915254237288,15.0,37.704918032786885,68.85245901639344,58.333333333333336,50.847457627118644,46.666666666666664,40.98360655737705
2007,48.38709677419355,83.92857142857143,72.1311475409836,35.13513513513514,22.033898305084744,15.0,14.516129032258066,26.666666666666668,51.66666666666667,30.64516129032258,28.333333333333332,52.54237288135594
2008,51.66666666666667,61.40350877192983,55.73770491803278,21.428571428571427,5.084745762711865,16.666666666666664,11.666666666666666,29.310344827586203,37.28813559322034,27.86885245901639,53.333333333333336,67.21311475409836
2009,67.21311475409836,73.58490566037736,57.377049180327866,15.254237288135593,10.0,3.4482758620689653,9.836065573770492,28.8135593220339,46.666666666666664,27.419354838709676,40.0,51.61290322580645
2010,54.23728813559322,51.78571428571429,64.51612903225806,18.333333333333332,1.6129032258064515,15.254237288135593,6.666666666666667,32.25806451612903,33.33333333333333,43.54838709677419,48.333333333333336,62.903225806451616
2011,45.90163934426229,48.214285714285715,46.774193548387096,23.728813559322035,6.451612903225806,10.16949152542373,14.516129032258066,42.62295081967213,26.666666666666668,19.35483870967742,55.00000000000001,67.74193548387096
2012,62.903225806451616,50.0,62.903225806451616,18.333333333333332,8.064516129032258,23.728813559322035,30.508474576271187,31.147540983606557,48.333333333333336,27.86885245901639,65.51724137931035,57.377049180327866
2013,87.09677419354838,67.85714285714286,62.295081967213115,30.0,4.918032786885246,8.620689655172415,13.793103448275861,33.89830508474576,38.983050847457626,41.66666666666667,56.896551724137936,67.74193548387096
2014,66.10169491525424,76.78571428571429,70.96774193548387,61.016949152542374,9.836065573770492,22.033898305084744,31.666666666666664,51.66666666666667,37.93103448275862,40.98360655737705,51.66666666666667,58.06451612903226
2015,48.38709677419355,64.28571428571429,54.83870967741935,28.333333333333332,11.475409836065573,5.263157894736842,13.333333333333334,42.62295081967213,46.55172413793103,20.967741935483872,33.33333333333333,35.483870967741936
2016,21.666666666666668,43.103448275862064,47.540983606557376,35.59322033898305,3.225806451612903,8.47457627118644,8.19672131147541,35.0,40.67796610169492,12.903225806451612,58.333333333333336,45.0
2017,41.935483870967744,58.18181818181818,45.16129032258064,15.254237288135593,6.451612903225806,12.068965517241379,22.950819672131146,33.33333333333333,29.310344827586203,32.25806451612903,28.333333333333332,64.51612903225806
2018,53.2258064516129,70.9090909090909,54.83870967741935,38.333333333333336,24.193548387096776,16.666666666666664,16.129032258064516,37.096774193548384,41.66666666666667,35.483870967741936,60.0,45.16129032258064
2019,59.67741935483871,42.857142857142854,80.64516129032258,35.59322033898305,11.475409836065573,21.666666666666668,38.333333333333336,53.2258064516129,45.76271186440678,27.86885245901639,38.333333333333336,40.32258064516129
2020,41.935483870967744,35.08771929824561,42.62295081967213,33.33333333333333,18.0327868852459,15.254237288135593,15.0,32.25806451612903,58.333333333333336,35.483870967741936,31.03448275862069,33.87096774193548
2021,62.903225806451616,74.54545454545455,54.83870967741935,26.666666666666668,11.475409836065573,8.620689655172415,17.741935483870968,32.25806451612903,37.5,22.58064516129032,48.333333333333336,45.16129032258064
2022,70.96774193548387,62.5,65.57377049180327,27.11864406779661,9.67741935483871,10.344827586206897,29.03225806451613,25.806451612903224,31.03448275862069,12.903225806451612,46.666666666666664,53.2258064516129
2023,63.934426229508205,51.78571428571429,41.935483870967744,26.666666666666668,3.225806451612903,11.864406779661017,22.58064516129032,51.61290322580645,46.666666666666664,29.03225806451613,29.310344827586203,40.98360655737705
2024,59.01639344262295,60.3448275862069,43.54838709677419,20.0,8.19672131147541,8.47457627118644,19.35483870967742,38.70967741935484,20.0,20.967741935483872,45.0,29.03225806451613
2025,64.51612903225806,57.14285714285714,72.1311475409836,28.8135593220339,9.836065573770492,10.0,9.67741935483871,40.67796610169492,38.983050847457626,37.096774193548384,35.0,73.77049180327869
2026,33.33333333333333,54.0,64.51612903225806,39.6551724137931,13.333333333333334,15.517241379310345,10.526315789473683,,,,,
