bin_left,bin_right,bin_center,month,days
-inf,-20.0,-20.0,0,244
-20.0,-12.0,-16.0,0,198
-12.0,-8.0,-10.0,0,253
-8.0,-6.0,-7.0,0,247
-6.0,-4.0,-5.0,0,562
-4.0,-3.0,-3.5,0,568
-3.0,-2.0,-2.5,0,1565
-2.0,-1.5,-1.75,0,2175
-1.5,-1.0,-1.25,0,8488
-1.0,-0.5,-0.75,0,66473
-0.5,0.0,-0.25,0,40933
0.0,0.5,0.25,0,22047
0.5,1.0,0.75,0,6079
1.0,1.5,1.25,0,3646
1.5,2.0,1.75,0,2726
2.0,3.0,2.5,0,3417
3.0,4.0,3.5,0,1413
4.0,6.0,5.0,0,1147
6.0,8.0,7.0,0,461
8.0,12.0,10.0,0,400
12.0,20.0,16.0,0,349
20.0,inf,20.0,0,338
