bin_left,bin_right,bin_center,month,position_type,profiles,eligible_profiles,recurrence_percent
0.0,50.0,25.0,0,E,0,17991,0.0
50.0,100.0,75.0,0,E,3,17991,0.01667500416875104
100.0,150.0,125.0,0,E,8,17991,0.044466677783336114
150.0,250.0,200.0,0,E,96,17991,0.5336001334000333
250.0,400.0,325.0,0,E,155,17991,0.8615418820521371
400.0,600.0,500.0,0,E,109,17991,0.6058584847979546
600.0,800.0,700.0,0,E,70,17991,0.389083430604191
800.0,1000.0,900.0,0,E,28,17991,0.1556333722416764
1000.0,1500.0,1250.0,0,E,39,17991,0.21677505419376353
1500.0,2000.0,1750.0,0,E,21,17991,0.1167250291812573
2000.0,3000.0,2500.0,0,E,2,17991,0.011116669445834029
3000.0,4500.0,3750.0,0,E,1,17991,0.005558334722917014
4500.0,inf,4500.0,0,E,0,17991,0.0
0.0,50.0,25.0,0,G,429,17991,2.384525596131399
50.0,100.0,75.0,0,G,692,17991,3.8463676282585735
100.0,150.0,125.0,0,G,883,17991,4.908009560335723
150.0,250.0,200.0,0,G,1933,17991,10.744261019398587
250.0,400.0,325.0,0,G,1220,17991,6.781168361958757
400.0,600.0,500.0,0,G,529,17991,2.9403590684231005
600.0,800.0,700.0,0,G,405,17991,2.2511255627813904
800.0,1000.0,900.0,0,G,119,17991,0.6614418320271247
1000.0,1500.0,1250.0,0,G,278,17991,1.54521705297093
1500.0,2000.0,1750.0,0,G,124,17991,0.6892335056417098
2000.0,3000.0,2500.0,0,G,29,17991,0.1611917069645934
3000.0,4500.0,3750.0,0,G,0,17991,0.0
4500.0,inf,4500.0,0,G,0,17991,0.0
0.0,50.0,25.0,0,HE,0,17991,0.0
50.0,100.0,75.0,0,HE,0,17991,0.0
100.0,150.0,125.0,0,HE,0,17991,0.0
150.0,250.0,200.0,0,HE,0,17991,0.0
250.0,400.0,325.0,0,HE,20,17991,0.11116669445834029
400.0,600.0,500.0,0,HE,163,17991,0.9060085598354732
600.0,800.0,700.0,0,HE,568,17991,3.1571341226168643
800.0,1000.0,900.0,0,HE,373,17991,2.0732588516480464
1000.0,1500.0,1250.0,0,HE,1816,17991,10.093935856817298
1500.0,2000.0,1750.0,0,HE,2127,17991,11.822577955644489
2000.0,3000.0,2500.0,0,HE,3863,17991,21.471847034628425
3000.0,4500.0,3750.0,0,HE,1665,17991,9.254627313656828
4500.0,inf,4500.0,0,HE,2228,17991,12.383969762659106
